city,lat,lon,child_u20
Tashkent,41.31543,69.39042,185.0
Tashkent,41.36062,69.43320,130.4
Tashkent,41.31376,69.10588,181.0
Tashkent,41.30335,69.11015,190.8
Tashkent,41.27944,69.11858,124.6
Tashkent,41.30747,69.13324,171.4
Tashkent,41.33078,69.15134,158.5
Tashkent,41.33561,69.11148,151.1
Tashkent,41.24706,69.15501,159.0
Tashkent,41.25291,69.15022,161.4
Tashkent,41.24325,69.14555,151.5
Tashkent,41.22255,69.10619,142.5
Tashkent,41.19278,69.15203,156.1
Tashkent,41.18660,69.15525,143.4
Tashkent,41.20244,69.16441,141.2
Tashkent,41.17372,69.15980,174.5
Tashkent,41.24308,69.14197,154.0
Tashkent,41.20808,69.18532,105.0
Tashkent,41.17923,69.13334,178.9
Tashkent,41.17025,69.12539,168.7
Tashkent,41.17244,69.20674,2587.8
Tashkent,41.20382,69.13955,115.3
Tashkent,41.21819,69.16195,141.7
Tashkent,41.17025,69.12539,168.7
Tashkent,41.33152,69.13156,129.9
Tashkent,41.20587,69.12100,147.0
Tashkent,41.22713,69.12485,147.3
Tashkent,41.19954,69.15912,143.4
Tashkent,41.28019,69.10251,162.8
Tashkent,41.30748,69.13743,172.6
Tashkent,41.37139,69.38134,212.9
Tashkent,41.38411,69.35812,218.5
Tashkent,41.36644,69.41250,206.4
Tashkent,41.39106,69.39907,178.0
Tashkent,41.37736,69.43381,175.1
Tashkent,41.40272,69.44426,215.0
Tashkent,41.34839,69.43244,141.0
Tashkent,41.36015,69.34483,229.5
Tashkent,41.41582,69.42646,185.2
Tashkent,41.39937,69.36553,225.8
Tashkent,41.35648,69.35407,222.3
Tashkent,41.38565,69.41374,162.6
Tashkent,41.39301,69.35281,231.6
Tashkent,41.40700,69.30804,218.5
Tashkent,41.29824,69.39204,220.2
Tashkent,41.39896,69.33699,222.0
Tashkent,41.38565,69.41374,162.6
Tashkent,41.40888,69.39683,154.0
Tashkent,41.41606,69.36281,144.6
Tashkent,41.15442,69.24867,3347.7
Tashkent,41.18630,69.44025,96.3
Tashkent,41.17244,69.41116,82.6
Tashkent,41.23683,69.37180,215.1
Tashkent,41.41949,69.26739,194.3
Tashkent,41.40631,69.21912,200.8
Tashkent,41.40036,69.19476,204.6
Tashkent,41.40564,69.26703,197.7
Tashkent,41.40133,69.28438,201.9
Tashkent,41.38500,69.32184,219.5
Tashkent,41.41646,69.31069,230.6
Tashkent,41.36935,69.16686,170.3
Tashkent,41.37802,69.24239,201.8
Tashkent,41.40848,69.19148,213.4
Tashkent,41.41380,69.19481,221.2
Tashkent,41.39619,69.20457,183.6
Tashkent,41.22752,69.40245,147.3
Tashkent,41.27806,69.44678,161.9
Tashkent,41.25578,69.42922,198.3
Tashkent,41.22441,69.40576,156.5
Tashkent,41.32355,69.44538,168.4
Tashkent,41.18542,69.44025,159.8
Tashkent,41.18395,69.35546,94.5
Tashkent,41.15785,69.35546,98.5
Tashkent,41.22998,69.37519,213.9
Tashkent,41.18679,69.42786,99.4
Tashkent,41.18179,69.11048,132.0
Tashkent,41.18144,69.22784,4237.8
Tashkent,41.20746,69.10676,168.1
Tashkent,41.19046,69.12672,179.7
Tashkent,41.15924,69.11429,163.8
Tashkent,41.16106,69.10834,133.7
Tashkent,41.16231,69.18798,2304.9
Tashkent,41.23364,69.33899,238.1
Tashkent,41.23387,69.35070,222.2
Tashkent,41.25324,69.22359,179.5
Tashkent,41.25324,69.37663,228.7
Tashkent,41.25050,69.30492,192.6
Tashkent,41.27725,69.29022,168.6
Tashkent,41.28464,69.28976,174.0
Tashkent,41.28215,69.27280,179.3
Tashkent,41.29577,69.28089,184.7
Tashkent,41.30436,69.27139,190.0
Tashkent,41.24681,69.30321,192.6
Tashkent,41.27385,69.27565,172.9
Tashkent,41.26863,69.29851,165.6
Tashkent,41.27460,69.29539,175.3
Tashkent,41.27571,69.28693,168.6
Tashkent,41.24302,69.32452,204.6
Tashkent,41.25726,69.31535,191.0
Tashkent,41.24662,69.31452,191.0
Tashkent,41.25054,69.30908,192.6
Tashkent,41.28182,69.28987,174.0
Tashkent,41.29335,69.27121,182.9
Tashkent,41.29693,69.27769,184.7
Tashkent,41.23654,69.23541,156.4
Tashkent,41.31732,69.29862,185.7
Tashkent,41.34158,69.33356,246.8
Tashkent,41.35980,69.38953,247.1
Tashkent,41.34838,69.35171,226.5
Tashkent,41.31375,69.28288,192.8
Tashkent,41.31109,69.29276,182.1
Tashkent,41.32342,69.31796,212.5
Tashkent,41.32021,69.34735,238.0
Tashkent,41.33121,69.37259,217.2
Tashkent,41.32563,69.30299,184.0
