lat,lon,rwi
42.8679120,74.7399902,0.449
42.8840141,74.5422363,1.472
42.8840141,74.5861816,0.958
42.9162059,74.6081543,1.386
42.8679120,74.5861816,1.514
42.8356950,74.6520996,0.797
42.8518056,74.6301270,1.451
42.8679120,74.5422363,1.251
42.8679120,74.4763184,0.878
42.9322955,74.5422363,0.156
42.8840141,74.5202637,1.062
42.9483809,74.7180176,0.145
42.8195802,74.4982910,0.838
42.9322955,74.7180176,0.460
42.8195802,74.5642090,1.438
42.8518056,74.5202637,0.793
42.8356950,74.6081543,1.212
42.8840141,74.6081543,1.441
42.8034612,74.6740723,0.259
42.8195802,74.6740723,0.344
42.9483809,74.5422363,0.446
42.9322955,74.6740723,0.779
42.8195802,74.6301270,1.313
42.9483809,74.7399902,0.185
42.9322955,74.6081543,1.094
42.8518056,74.5642090,1.809
42.8034612,74.6960449,0.552
42.8034612,74.6520996,1.200
42.9322955,74.4982910,0.819
42.9322955,74.5202637,0.087
42.8356950,74.7399902,0.039
42.8518056,74.6081543,0.976
42.9162059,74.5642090,0.992
42.8518056,74.5861816,1.234
42.9162059,74.6520996,0.999
42.8356950,74.6960449,0.049
42.8356950,74.5861816,1.284
42.8195802,74.4763184,-0.057
42.9162059,74.6740723,0.336
42.8356950,74.5202637,1.098
42.8195802,74.5202637,0.421
42.8518056,74.4543457,-0.191
42.7873380,74.4543457,-0.351
42.8840141,74.6520996,1.421
42.7873380,74.6740723,0.652
42.8840141,74.5642090,1.299
42.9162059,74.6960449,-0.069
42.8356950,74.4763184,0.098
42.9483809,74.5861816,0.472
42.8840141,74.4982910,0.658
42.9483809,74.6081543,0.997
42.8518056,74.6520996,0.937
42.8034612,74.6301270,0.573
42.9162059,74.5422363,0.327
42.9162059,74.4763184,0.021
42.8679120,74.4982910,0.987
42.9483809,74.4982910,0.428
42.8034612,74.7399902,0.724
42.9001121,74.6301270,1.181
42.8679120,74.6520996,1.444
42.8356950,74.5422363,0.908
42.8034612,74.4543457,0.815
42.9001121,74.6520996,0.925
42.8518056,74.4763184,0.311
42.9483809,74.6520996,0.432
42.8679120,74.5642090,0.926
42.8840141,74.4763184,0.754
42.7873380,74.5202637,0.909
42.9322955,74.6960449,0.607
42.9483809,74.5202637,0.097
42.9483809,74.5642090,-0.128
42.9322955,74.6520996,0.686
42.9483809,74.6301270,0.570
42.8679120,74.4543457,0.345
42.8034612,74.5861816,1.137
42.9001121,74.6960449,0.151
42.8356950,74.6740723,0.165
42.9322955,74.5861816,0.885
42.9001121,74.6740723,0.359
42.8034612,74.6081543,0.586
42.8195802,74.6960449,0.262
42.7873380,74.4982910,0.503
42.8679120,74.6740723,0.672
42.8518056,74.4982910,1.221
42.8034612,74.4982910,0.120
42.9001121,74.5422363,1.189
42.8356950,74.5642090,1.637
42.8034612,74.4763184,0.219
42.8840141,74.6740723,0.818
42.8356950,74.6301270,1.158
42.8356950,74.4543457,-0.261
42.9162059,74.6301270,0.793
42.8034612,74.7180176,0.753
42.9322955,74.6301270,1.250
42.9322955,74.7399902,0.314
42.7873380,74.6520996,1.063
42.8195802,74.5861816,0.991
42.9001121,74.4763184,0.528
42.7873380,74.7180176,0.525
42.9483809,74.4543457,-0.147
42.8034612,74.5642090,0.891
42.8195802,74.5422363,0.798
42.7873380,74.4763184,0.081
42.8679120,74.6960449,1.080
42.8679120,74.7180176,0.775
42.8034612,74.5202637,0.996
42.9322955,74.4543457,0.354
42.9483809,74.4763184,1.055
42.8195802,74.6520996,0.660
42.9162059,74.7399902,0.017
42.9001121,74.5642090,1.516
42.9001121,74.6081543,1.297
42.8840141,74.4543457,0.900
42.9483809,74.6960449,-0.090
42.9322955,74.5642090,0.296
42.8518056,74.6960449,1.436
42.9001121,74.4543457,-0.058
42.8356950,74.4982910,0.772
42.7873380,74.6960449,0.320
42.9162059,74.5861816,1.261
42.8034612,74.5422363,0.697
42.8195802,74.6081543,1.244
42.8679120,74.5202637,1.143
42.7873380,74.5861816,0.587
42.9162059,74.5202637,0.666
42.8840141,74.6301270,1.521
42.9322955,74.4763184,0.417
42.8840141,74.7399902,0.290
42.8840141,74.6960449,1.222
42.9001121,74.5202637,0.284
42.8195802,74.7180176,-0.180
42.8679120,74.6301270,1.352
42.8840141,74.7180176,0.749
42.7873380,74.7399902,-0.273
42.8518056,74.6740723,1.073
42.8518056,74.5422363,1.450
42.9162059,74.4543457,-0.142
42.8679120,74.6081543,1.415
42.9001121,74.5861816,1.522
