lat,lon,settlement_year,cohort,infiltration_obj
41.30757,69.30771,2005,1992-2010,0.65
41.25781,69.15703,1985,Soviet (<=1991),0.8
41.28917,69.24727,1985,Soviet (<=1991),0.8
41.29452,69.22287,1991,Soviet (<=1991),0.8
41.27442,69.26259,1985,Soviet (<=1991),0.8
41.33477,69.32621,1998,1992-2010,0.65
41.29757,69.25035,1985,Soviet (<=1991),0.8
41.26959,69.27191,1985,Soviet (<=1991),0.8
41.32152,69.24432,1985,Soviet (<=1991),0.8
41.31039,69.18156,1985,Soviet (<=1991),0.8
41.33904,69.28629,1985,Soviet (<=1991),0.8
41.30918,69.24363,1985,Soviet (<=1991),0.8
41.29912,69.35989,1985,Soviet (<=1991),0.8
41.33079,69.27806,1985,Soviet (<=1991),0.8
41.33492,69.25334,1985,Soviet (<=1991),0.8
41.35786,69.37442,1985,Soviet (<=1991),0.8
41.36822,69.27707,1985,Soviet (<=1991),0.8
41.27143,69.26051,1985,Soviet (<=1991),0.8
41.29696,69.27454,1985,Soviet (<=1991),0.8
41.36956,69.26831,2002,1992-2010,0.65
41.35811,69.21074,1985,Soviet (<=1991),0.8
41.27655,69.20515,1985,Soviet (<=1991),0.8
41.24605,69.21776,1985,Soviet (<=1991),0.8
41.38949,69.28002,1985,Soviet (<=1991),0.8
41.29416,69.24924,1985,Soviet (<=1991),0.8
41.26428,69.22366,1985,Soviet (<=1991),0.8
41.29017,69.25684,1985,Soviet (<=1991),0.8
41.33265,69.33001,2011,post-2010,0.5
41.29489,69.22553,1985,Soviet (<=1991),0.8
41.27923,69.30892,1985,Soviet (<=1991),0.8
41.32099,69.25186,1985,Soviet (<=1991),0.8
41.35853,69.23877,1985,Soviet (<=1991),0.8
41.36657,69.41696,1985,Soviet (<=1991),0.8
41.31806,69.29632,1985,Soviet (<=1991),0.8
41.29540,69.17737,1985,Soviet (<=1991),0.8
41.30797,69.28330,1985,Soviet (<=1991),0.8
41.37804,69.29543,2008,1992-2010,0.65
41.34371,69.21158,1985,Soviet (<=1991),0.8
41.34388,69.21176,1985,Soviet (<=1991),0.8
41.32526,69.25836,1985,Soviet (<=1991),0.8
41.32686,69.28369,1985,Soviet (<=1991),0.8
41.35644,69.17395,2007,1992-2010,0.65
41.29899,69.27502,1985,Soviet (<=1991),0.8
41.29319,69.34167,1991,Soviet (<=1991),0.8
41.32534,69.28632,1985,Soviet (<=1991),0.8
41.29466,69.27618,1985,Soviet (<=1991),0.8
41.31663,69.29094,1985,Soviet (<=1991),0.8
41.40881,69.14622,2011,post-2010,0.5
41.29461,69.25264,1991,Soviet (<=1991),0.8
41.30235,69.28747,1985,Soviet (<=1991),0.8
41.33796,69.20412,1985,Soviet (<=1991),0.8
41.31985,69.29519,1985,Soviet (<=1991),0.8
41.31307,69.24066,1985,Soviet (<=1991),0.8
41.30784,69.24497,1985,Soviet (<=1991),0.8
41.31800,69.29623,1985,Soviet (<=1991),0.8
41.32090,69.25323,1985,Soviet (<=1991),0.8
41.30742,69.26626,1985,Soviet (<=1991),0.8
41.32332,69.23791,1985,Soviet (<=1991),0.8
41.31977,69.29805,1997,1992-2010,0.65
41.34813,69.24192,1985,Soviet (<=1991),0.8
41.28281,69.19093,1985,Soviet (<=1991),0.8
41.32036,69.29993,1985,Soviet (<=1991),0.8
41.29898,69.39185,2002,1992-2010,0.65
41.34008,69.25151,1985,Soviet (<=1991),0.8
41.28458,69.17882,1985,Soviet (<=1991),0.8
41.28130,69.20243,1985,Soviet (<=1991),0.8
41.26096,69.19582,1985,Soviet (<=1991),0.8
41.28332,69.20189,1985,Soviet (<=1991),0.8
41.31845,69.32172,1985,Soviet (<=1991),0.8
41.30748,69.24518,1985,Soviet (<=1991),0.8
41.32424,69.24448,1985,Soviet (<=1991),0.8
41.29291,69.26500,1985,Soviet (<=1991),0.8
41.33609,69.20129,1997,1992-2010,0.65
41.30334,69.24753,1985,Soviet (<=1991),0.8
41.38084,69.27358,2001,1992-2010,0.65
41.26606,69.35623,1985,Soviet (<=1991),0.8
41.30786,69.28348,1994,1992-2010,0.65
41.29644,69.27376,1985,Soviet (<=1991),0.8
41.27622,69.20503,1985,Soviet (<=1991),0.8
41.35115,69.22212,1985,Soviet (<=1991),0.8
41.26611,69.16923,1985,Soviet (<=1991),0.8
41.29485,69.21824,1985,Soviet (<=1991),0.8
41.30678,69.24596,1985,Soviet (<=1991),0.8
41.28371,69.18348,2011,post-2010,0.5
41.28691,69.34744,1985,Soviet (<=1991),0.8
41.28691,69.34745,1985,Soviet (<=1991),0.8
41.28698,69.34758,1993,1992-2010,0.65
41.28708,69.34776,1985,Soviet (<=1991),0.8
41.35971,69.20503,1996,1992-2010,0.65
41.30161,69.27600,1985,Soviet (<=1991),0.8
41.31059,69.24326,1985,Soviet (<=1991),0.8
41.34805,69.35214,1985,Soviet (<=1991),0.8
41.33954,69.18112,1992,1992-2010,0.65
41.33958,69.17924,1991,Soviet (<=1991),0.8
41.29599,69.26756,1985,Soviet (<=1991),0.8
41.30813,69.24510,1985,Soviet (<=1991),0.8
41.34648,69.38345,1985,Soviet (<=1991),0.8
41.34880,69.38336,1985,Soviet (<=1991),0.8
41.41760,69.31166,1985,Soviet (<=1991),0.8
41.33504,69.35201,1985,Soviet (<=1991),0.8
41.34082,69.25012,1985,Soviet (<=1991),0.8
41.34405,69.22540,1991,Soviet (<=1991),0.8
41.33912,69.22322,1985,Soviet (<=1991),0.8
41.29736,69.25043,1985,Soviet (<=1991),0.8
41.32862,69.25724,1985,Soviet (<=1991),0.8
41.32353,69.25676,1985,Soviet (<=1991),0.8
41.31884,69.35742,1985,Soviet (<=1991),0.8
41.31627,69.21703,1991,Soviet (<=1991),0.8
41.34288,69.16954,1985,Soviet (<=1991),0.8
41.33276,69.32244,1985,Soviet (<=1991),0.8
41.34106,69.24929,1985,Soviet (<=1991),0.8
41.28860,69.21334,1998,1992-2010,0.65
41.28773,69.21269,1985,Soviet (<=1991),0.8
41.30658,69.27317,2002,1992-2010,0.65
41.29397,69.33719,1985,Soviet (<=1991),0.8
41.33632,69.21720,1985,Soviet (<=1991),0.8
41.29578,69.26166,1985,Soviet (<=1991),0.8
41.23479,69.21566,2007,1992-2010,0.65
41.23406,69.21614,2009,1992-2010,0.65
41.31841,69.28815,1985,Soviet (<=1991),0.8
41.32874,69.25724,1985,Soviet (<=1991),0.8
41.33616,69.24934,1985,Soviet (<=1991),0.8
41.33064,69.26441,1985,Soviet (<=1991),0.8
41.32824,69.29181,1985,Soviet (<=1991),0.8
41.32561,69.30280,1985,Soviet (<=1991),0.8
41.29501,69.25317,1985,Soviet (<=1991),0.8
41.29291,69.22018,1985,Soviet (<=1991),0.8
41.29471,69.22044,1985,Soviet (<=1991),0.8
41.25037,69.30734,1985,Soviet (<=1991),0.8
41.25036,69.30871,1985,Soviet (<=1991),0.8
41.24729,69.29867,1985,Soviet (<=1991),0.8
41.30419,69.27387,1985,Soviet (<=1991),0.8
41.28368,69.35086,1985,Soviet (<=1991),0.8
41.24677,69.30541,1985,Soviet (<=1991),0.8
41.35051,69.34335,2006,1992-2010,0.65
41.17747,69.24733,1995,1992-2010,0.65
41.29618,69.27847,1985,Soviet (<=1991),0.8
41.29296,69.36583,1991,Soviet (<=1991),0.8
41.29454,69.34648,1985,Soviet (<=1991),0.8
41.29497,69.34470,1985,Soviet (<=1991),0.8
41.30874,69.23502,1992,1992-2010,0.65
41.30831,69.23610,1985,Soviet (<=1991),0.8
41.36936,69.20893,2006,1992-2010,0.65
41.36947,69.21899,1985,Soviet (<=1991),0.8
41.36811,69.19837,2007,1992-2010,0.65
41.28196,69.28908,1985,Soviet (<=1991),0.8
41.36451,69.23207,1991,Soviet (<=1991),0.8
