lat,lon,dist_m,infiltration,indoor_pm25
37.90827,58.40818,1155,0.65,14.8
37.92497,58.41013,699,0.8,18.3
37.90142,58.49703,1041,0.8,18.2
37.89779,58.51855,1010,0.65,14.8
37.95400,58.36152,714,0.8,18.3
37.96425,58.33838,638,0.8,18.3
37.96986,58.33776,220,0.65,15.6
37.97364,58.34138,222,0.65,15.6
37.99540,58.45797,582,0.65,14.9
37.88580,58.48317,212,0.65,15.6
37.88560,58.48342,234,0.65,15.5
37.96571,58.32737,198,0.65,15.7
37.96540,58.43497,1076,0.65,14.8
37.96592,58.43504,1097,0.65,14.8
37.97619,58.25707,325,0.8,18.7
37.94027,58.43751,304,0.8,18.8
37.94924,58.39223,397,0.8,18.5
38.01864,58.40200,149,0.65,16.0
37.94334,58.39788,149,0.8,19.7
37.96934,58.32128,868,0.65,14.8
37.92068,58.37962,234,0.8,19.1
37.97569,58.53555,2020,0.65,14.8
37.92442,58.39874,484,0.8,18.4
37.92158,58.40070,231,0.8,19.1
37.92431,58.39487,373,0.8,18.6
37.88015,58.35804,421,0.65,15.0
37.94929,58.35176,1298,0.65,14.8
37.94532,58.35037,1331,0.8,18.2
37.95633,58.35589,855,0.8,18.3
37.95470,58.35426,1087,0.8,18.2
37.89722,58.34987,299,0.65,15.3
37.89591,58.35997,102,0.65,16.5
37.89941,58.33956,367,0.65,15.1
37.90241,58.33102,390,0.65,15.1
37.90950,58.34235,220,0.65,15.6
37.89290,58.35918,239,0.65,15.5
37.89140,58.33185,492,0.65,14.9
37.91471,58.33896,351,0.65,15.1
37.95524,58.40944,331,0.8,18.7
37.92080,58.41975,248,0.8,19.0
37.92088,58.42308,48,0.8,21.1
37.93366,58.40563,382,0.8,18.6
38.04893,58.21601,1005,0.8,18.2
38.04583,58.21591,711,0.8,18.3
37.91513,58.34937,256,0.8,19.0
37.93634,58.43708,368,0.8,18.6
37.90563,58.38434,345,0.8,18.6
37.95475,58.38176,386,0.8,18.5
37.95257,58.35864,848,0.8,18.3
37.91043,58.36857,128,0.8,19.9
37.91527,58.41670,361,0.8,18.6
37.91515,58.43397,907,0.8,18.2
37.91340,58.42812,396,0.8,18.5
37.91341,58.42978,542,0.8,18.3
37.91896,58.43500,581,0.8,18.3
37.89956,58.38224,230,0.8,19.1
37.89951,58.38642,179,0.8,19.5
37.90296,58.39405,451,0.8,18.4
37.91348,58.41357,564,0.8,18.3
37.95253,58.40071,786,0.8,18.3
37.91269,58.40125,695,0.8,18.3
37.91460,58.40132,486,0.8,18.4
37.90890,58.41369,850,0.8,18.3
37.91473,58.39393,374,0.8,18.6
37.93620,58.42038,565,0.8,18.3
37.92188,58.40991,354,0.8,18.6
37.96121,58.40100,943,0.65,14.8
37.94826,58.41211,293,0.8,18.8
37.91748,58.36597,505,0.8,18.4
37.89222,58.39461,346,0.65,15.1
37.89983,58.39325,401,0.8,18.5
37.88364,58.39204,395,0.65,15.1
37.91531,58.41057,367,0.8,18.6
37.96186,58.43579,752,0.8,18.3
37.98713,58.39930,450,0.65,15.0
37.95669,58.39332,1142,0.8,18.2
37.89844,58.38434,317,0.65,15.2
37.90244,58.35308,303,0.5,11.7
37.90472,58.45880,1457,0.65,14.8
37.94972,58.41364,310,0.8,18.7
37.94629,58.38501,213,0.8,19.2
37.92135,58.38410,130,0.8,19.9
37.89233,58.49593,1352,0.65,14.8
37.91811,58.37770,368,0.8,18.6
37.91795,58.37608,247,0.8,19.0
37.98532,58.40844,195,0.8,19.3
37.87870,58.36096,418,0.65,15.0
37.90246,58.48821,581,0.5,11.5
37.90242,58.41916,366,0.5,11.6
37.95870,58.32564,118,0.8,20.1
37.92867,58.36622,275,0.8,18.9
37.97702,58.43204,1138,0.8,18.2
37.92240,58.41635,420,0.8,18.5
37.93264,58.37107,271,0.8,18.9
37.90148,58.50204,892,0.65,14.8
37.90737,58.50670,136,0.8,19.9
37.89779,58.41908,290,0.65,15.3
37.89864,58.39328,350,0.65,15.1
37.90762,58.47866,327,0.8,18.7
37.88610,58.52318,2260,0.8,18.2
38.00441,58.40624,148,0.65,16.0
37.89441,58.36221,359,0.65,15.1
37.94656,58.39922,508,0.8,18.4
37.90355,58.37010,414,0.8,18.5
37.91368,58.39391,376,0.8,18.6
37.90746,58.38437,326,0.8,18.7
37.92104,58.35284,194,0.8,19.3
37.95664,58.36838,97,0.65,16.5
37.95339,58.40773,336,0.8,18.7
37.89272,58.40264,279,0.65,15.3
37.89267,58.40985,274,0.65,15.3
37.88762,58.40792,840,0.65,14.8
37.88759,58.40977,840,0.65,14.8
38.00742,58.39693,459,0.65,15.0
37.97892,58.33000,514,0.65,14.9
37.97644,58.32772,854,0.65,14.8
37.94338,58.35284,1080,0.8,18.2
38.02105,58.26284,496,0.65,14.9
38.02589,58.26292,955,0.65,14.8
38.03555,58.26895,2133,0.8,18.2
37.90229,58.34654,101,0.65,16.5
38.00868,58.30254,912,0.8,18.2
37.97059,58.34552,380,0.8,18.6
37.93567,58.28452,3630,0.8,18.2
37.96865,58.33112,155,0.5,12.3
37.96699,58.33390,141,0.8,19.8
37.97899,58.25214,442,0.5,11.5
37.97965,58.25254,524,0.5,11.5
37.98115,58.25032,600,0.65,14.9
37.98124,58.24814,524,0.8,18.4
37.96730,58.21870,411,0.8,18.5
37.95947,58.20893,1200,0.8,18.2
37.93405,58.23228,507,0.8,18.4
38.02458,58.24072,109,0.65,16.4
37.89000,58.37097,642,0.8,18.3
37.96842,58.23546,250,0.8,19.0
37.95674,58.35747,734,0.8,18.3
37.98428,58.28843,1493,0.8,18.2
37.90767,58.40842,1221,0.8,18.2
38.02479,58.26432,912,0.65,14.8
37.93837,58.43313,4,0.8,22.1
37.95090,58.34380,1912,0.8,18.2
37.90929,58.41524,715,0.8,18.3
37.96010,58.38531,469,0.65,15.0
