school_i,dist_m,no2_umol_m2
0,550,271.5
1,1348,212.1
2,3896,128.4
3,3434,140.4
4,2348,155.4
5,1516,149.6
6,776,159.7
7,4115,125.1
8,786,205.0
9,541,190.6
10,1447,184.5
11,1862,145.4
12,22,169.9
13,680,171.3
14,147,194.8
15,1828,166.4
16,1599,173.6
17,207,221.0
18,257,153.7
19,181,152.2
20,285,202.5
21,1550,166.7
22,978,202.7
23,181,152.2
24,2377,135.7
25,331,160.7
26,1164,162.1
27,34,182.6
28,3694,133.5
29,1169,159.2
30,1243,244.3
31,3112,232.4
32,308,241.9
33,2214,224.7
34,80,194.3
35,2076,182.9
36,2443,221.3
37,408,258.1
38,4066,173.6
39,2948,217.1
40,271,273.0
41,1794,208.1
42,2951,232.4
43,151,175.0
44,2334,269.1
45,1902,204.2
46,1794,208.1
47,4206,195.1
48,1377,182.6
49,1276,183.4
50,2745,165.8
51,113,179.1
52,638,260.3
53,2531,146.3
54,1388,138.4
55,738,138.3
56,1065,161.9
57,1332,182.6
58,346,213.8
59,126,162.3
60,1112,136.8
61,1566,179.6
62,885,132.1
63,492,125.6
64,62,145.7
65,3,229.1
66,107,205.5
67,859,216.2
68,273,221.2
69,145,212.1
70,2701,165.8
71,2105,206.7
72,2430,179.7
73,111,244.0
74,1844,173.3
75,1678,147.6
76,1309,219.7
77,604,145.4
78,1501,155.0
79,238,138.9
80,651,143.3
81,2120,177.8
82,340,283.0
83,1273,272.3
84,527,268.7
85,511,279.6
86,691,305.2
87,1250,316.3
88,781,315.8
89,244,311.9
90,181,306.3
91,262,302.6
92,280,305.2
93,454,310.4
94,1126,318.0
95,1052,316.3
96,1119,313.9
97,242,302.3
98,332,312.5
99,310,304.5
100,694,305.2
101,944,315.8
102,25,307.4
103,152,302.6
104,519,278.3
105,195,309.8
106,17,280.9
107,3,248.4
108,125,284.7
109,116,298.7
110,276,310.5
111,44,300.4
112,745,306.3
113,196,287.1
114,509,299.0
115,274,311.4
116,477,282.6
117,357,286.3
118,834,291.8
119,424,285.5
120,196,248.4
121,481,259.4
122,452,303.1
123,383,263.4
124,242,300.7
125,342,268.1
126,1093,266.1
127,977,266.1
128,360,285.5
129,492,295.6
130,100,286.3
131,41,235.1
