lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.31543,69.39042,6-sonli umumiy o'rta ta'lim maktabi,550,-2.57,35.5
41.36062,69.43320,10-sonli umumiy o'rta ta'lim maktabi,1348,-2.34,35.6
41.31376,69.10588,1-sonli umumiy o'rta ta'lim maktabi,3895,0.6,38.5
41.30335,69.11015,6-sonli umumiy o'rta ta'lim maktabi,3432,0.36,38.3
41.27944,69.11858,7-sonli umumiy o'rta ta'lim maktabi,2347,-0.23,37.7
41.30747,69.13324,8-sonli umumiy o'rta ta'lim maktabi,1515,0.41,38.3
41.33078,69.15134,9-sonli umumiy o'rta ta'lim maktabi,776,1.27,39.2
41.33561,69.11148,12-sonli umumiy o'rta ta'lim maktabi,4113,1.08,39.0
41.24706,69.15501,13-sonli umumiy o'rta ta'lim maktabi,785,-0.84,37.1
41.25291,69.15022,14-sonli umumiy o'rta ta'lim maktabi,541,-0.84,37.2
41.24325,69.14555,15-sonli umumiy ta'lim maktabi,1447,-0.76,37.1
41.22255,69.10619,16-sonli umumiy o'rta ta'lim maktabi,1861,-0.65,37.2
41.19278,69.15203,32-sonli umumiy o'rta ta'lim maktabi,22,-1.14,41.1
41.18660,69.15525,33-sonli umumiy o'rta ta'lim maktabi,680,-1.28,36.7
41.20244,69.16441,34-sonli umumiy o'rta ta'lim maktabi,147,-0.98,38.8
41.17372,69.15980,35-sonli umumiy o'rta ta'lim maktabi,1827,-1.53,36.4
41.24308,69.14197,39-sonli boshlang`ich ta'lim maktabi,1599,-0.74,37.2
41.20808,69.18532,334-sonli umumiy o’rta ta’lim maktabi,207,-0.65,38.5
41.17923,69.13334,Toshkent viloyati Zangiota tumani  MMTB ,257,-1.14,37.7
41.17025,69.12539,43-sonli umumiy o'rta ta'lim maktabi,181,-1.12,38.3
41.17244,69.20674,Zangiota tuman 22-sonli umumiy o'rta ta',285,-3.05,35.6
41.20382,69.13955,38-sonli umumiy o'rta ta'lim maktabi,1550,-0.92,37.0
41.21819,69.16195,36-sonli umumiy o'rta ta'lim maktabi,978,-0.71,37.2
41.17025,69.12539,44-sonli umumiy o'rta ta'lim maktabi,181,-1.12,38.3
41.33152,69.13156,2-sonli umumiy o'rta ta'lim maktabi,2376,1.15,39.1
41.20587,69.12100,30-sonli umumiy o'rta ta'lim maktabi,331,-0.83,37.6
41.22713,69.12485,Toshkent viloyati Zangiota tumani 40-son,1164,-0.71,37.2
