lat,lon,dist_m,infiltration,indoor_pm25
43.25484,76.96426,1433,0.8,27.4
43.22892,76.91748,1507,0.8,27.4
43.33390,76.94083,638,0.8,27.4
43.24197,76.76138,1440,0.8,27.4
43.21276,76.76223,1764,0.8,27.4
43.25962,76.77337,3171,0.8,27.4
43.17883,76.76869,614,0.65,22.3
43.33729,76.88223,425,0.65,22.4
43.18563,76.78218,1275,0.65,22.2
43.20098,76.76385,1928,0.65,22.2
43.21809,76.75224,1056,0.65,22.2
43.17586,76.76387,131,0.65,23.6
43.29718,77.02599,249,0.8,28.1
43.34823,76.84196,657,0.65,22.3
43.29925,77.04832,152,0.8,28.8
43.30519,77.04330,282,0.65,22.7
43.25501,76.75604,2952,0.8,27.4
43.30814,76.92288,619,0.8,27.4
43.33483,76.94857,952,0.8,27.4
43.23201,76.94684,451,0.8,27.6
43.20619,76.87961,1041,0.8,27.4
43.30083,76.93426,329,0.8,27.8
43.20436,76.89570,770,0.8,27.4
43.22756,76.89761,2494,0.8,27.4
43.29568,76.93878,262,0.8,28.1
43.26861,76.96461,1123,0.8,27.4
43.33978,76.96588,0,0.8,31.3
43.23419,76.89430,2766,0.65,22.2
43.34437,76.98846,109,0.65,23.8
43.19810,76.87673,300,0.65,22.7
43.32201,76.95061,628,0.8,27.4
43.25430,76.95162,1831,0.8,27.4
43.26044,76.88582,161,0.8,28.7
43.31661,76.93776,587,0.8,27.4
43.19928,76.79266,2410,0.65,22.2
43.23991,76.91190,2714,0.8,27.4
43.19917,76.87628,383,0.65,22.5
43.26243,76.95951,1167,0.8,27.4
43.29729,76.85120,1341,0.65,22.2
43.23310,76.91979,1724,0.8,27.4
43.20287,76.90199,337,0.65,22.6
43.25608,76.94689,1588,0.8,27.4
43.33624,76.94388,894,0.8,27.4
43.26846,76.86362,402,0.5,17.3
43.21723,76.88660,2100,0.65,22.2
43.20046,76.88256,633,0.8,27.4
43.25401,76.96737,1170,0.8,27.4
43.34993,76.99081,362,0.8,27.7
43.23160,76.92437,1349,0.8,27.4
43.22586,76.96361,347,0.65,22.6
43.33566,76.94669,1120,0.65,22.2
43.23537,76.87965,2464,0.8,27.4
43.25139,76.84759,176,0.8,28.6
43.21684,76.88903,2213,0.8,27.4
43.24845,76.93751,2343,0.8,27.4
43.25626,76.85165,380,0.8,27.7
43.35000,76.95599,581,0.8,27.4
43.25547,76.95945,1828,0.8,27.4
43.19934,76.87804,469,0.8,27.5
43.23505,76.88640,2531,0.8,27.4
43.25381,76.87461,448,0.8,27.6
43.20197,76.89813,438,0.8,27.6
43.24817,76.93037,2348,0.8,27.4
43.24826,76.95557,1670,0.8,27.4
43.34132,76.98936,169,0.8,28.7
43.21579,76.89677,1662,0.8,27.4
43.27420,76.83680,692,0.65,22.3
43.19767,76.88416,322,0.8,27.8
43.25390,76.93914,1768,0.65,22.2
43.19191,76.96725,4138,0.5,17.1
43.26073,76.87894,299,0.8,27.9
43.22146,76.96376,837,0.65,22.2
43.28455,76.88716,67,0.8,29.9
43.20858,76.97249,2352,0.8,27.4
43.19948,76.79384,2391,0.65,22.2
43.22859,76.90770,2000,0.8,27.4
43.22768,76.84087,287,0.8,27.9
43.26679,76.94569,392,0.8,27.7
43.27022,76.95116,71,0.8,29.9
43.22051,76.87579,1676,0.8,27.4
43.27236,76.98212,218,0.8,28.3
43.19384,76.90633,670,0.8,27.4
43.34573,76.95924,519,0.8,27.5
43.21056,76.87479,891,0.8,27.4
43.22989,76.86243,1352,0.8,27.4
43.26835,76.98528,104,0.8,29.4
43.28844,76.88309,478,0.8,27.5
43.21881,76.94962,1016,0.65,22.2
43.31205,76.95591,16,0.65,25.2
43.25002,76.85811,230,0.65,22.9
43.22139,76.89369,2238,0.65,22.2
43.31418,76.96604,773,0.65,22.2
43.23726,76.83304,558,0.65,22.3
43.24764,76.94828,2139,0.8,27.4
43.21511,76.87803,1406,0.8,27.4
43.30149,76.95908,547,0.8,27.5
43.28876,76.97745,503,0.8,27.5
43.23110,76.91586,1774,0.8,27.4
43.30005,76.86962,1018,0.65,22.2
43.22999,76.83858,370,0.8,27.7
43.33617,76.97711,312,0.8,27.9
43.27757,76.98700,199,0.8,28.4
43.22078,76.95387,831,0.8,27.4
43.32534,76.96810,399,0.8,27.6
43.22045,76.85875,532,0.8,27.5
43.19904,76.90828,241,0.65,22.9
43.24096,76.83064,243,0.65,22.9
43.21508,76.88725,2014,0.65,22.2
43.25109,76.83496,244,0.65,22.9
43.25402,76.97967,188,0.8,28.5
43.23125,76.85033,564,0.8,27.5
43.24952,76.90919,1721,0.8,27.4
43.20913,76.87997,1190,0.8,27.4
43.27202,76.84500,1072,0.65,22.2
43.34397,77.00642,782,0.8,27.4
43.20167,76.84186,276,0.5,17.5
43.26243,76.94504,869,0.65,22.2
43.23364,76.85745,1198,0.8,27.4
43.22429,76.84074,460,0.8,27.5
43.32011,76.91302,633,0.5,17.1
43.32340,76.88541,1574,0.8,27.4
43.31856,76.93478,327,0.8,27.8
43.28390,77.00195,483,0.8,27.5
43.32686,76.91885,704,0.8,27.4
43.22832,76.85095,469,0.8,27.5
43.24982,76.90303,1475,0.8,27.4
43.22141,76.83640,923,0.65,22.2
43.21188,76.84650,810,0.65,22.2
43.31882,76.91106,537,0.65,22.3
43.34322,76.93336,64,0.8,30.0
43.22113,76.83622,951,0.8,27.4
43.25560,76.88109,211,0.8,28.3
43.22189,76.85966,681,0.8,27.4
43.27447,76.95474,416,0.65,22.4
43.26936,76.94071,67,0.8,29.9
43.33661,76.91359,186,0.8,28.5
43.19959,76.85458,433,0.65,22.4
43.18661,76.82971,73,0.65,24.2
43.25639,76.87872,133,0.65,23.6
43.25669,76.87894,98,0.8,29.4
43.34711,77.02071,1922,0.65,22.2
43.22543,76.86862,1505,0.8,27.4
43.33637,76.91154,319,0.8,27.8
43.20420,76.82486,1377,0.65,22.2
43.23605,76.98015,723,0.65,22.3
43.30440,76.90028,294,0.65,22.7
43.25668,76.92063,1287,0.8,27.4
43.21706,76.86987,1061,0.8,27.4
43.25943,76.87214,121,0.8,29.1
43.22217,76.84401,350,0.65,22.5
43.22521,77.04563,5882,0.65,22.2
43.23501,76.82169,714,0.8,27.4
43.32030,76.97931,543,0.8,27.5
43.32644,76.93130,40,0.8,30.4
43.21364,76.86134,285,0.65,22.7
43.25370,76.87029,464,0.8,27.5
43.29689,76.86177,1599,0.65,22.2
43.22712,76.86854,1599,0.65,22.2
43.27314,76.96206,902,0.8,27.4
43.24882,76.92197,2129,0.8,27.4
43.34108,76.81161,1780,0.8,27.4
43.24359,76.93864,1796,0.8,27.4
43.23216,76.86264,1506,0.8,27.4
43.24999,76.81450,797,0.5,17.1
43.23459,76.83601,413,0.65,22.4
43.29038,76.95276,432,0.8,27.6
43.25935,76.93104,1112,0.8,27.4
43.21008,76.78177,2369,0.8,27.4
43.24963,76.90427,1538,0.8,27.4
43.27239,76.92870,351,0.8,27.7
43.22151,76.86304,887,0.8,27.4
43.29248,76.96592,93,0.8,29.5
43.22630,76.85179,416,0.65,22.4
43.24537,76.90015,1813,0.65,22.2
43.25917,76.92072,1020,0.8,27.4
43.17646,76.90491,2182,0.65,22.2
43.29192,76.94180,125,0.8,29.1
43.28898,76.93245,295,0.5,17.4
43.22988,76.91296,1834,0.8,27.4
43.28227,76.97528,839,0.8,27.4
43.23408,76.82777,906,0.8,27.4
43.24186,76.90028,2174,0.8,27.4
43.24647,76.89170,1416,0.65,22.2
43.19011,76.92429,1713,0.65,22.2
