lat,lon,dist_m,infiltration,indoor_pm25
51.00448,71.37251,9999,0.5,9.2
51.12474,71.21573,9999,0.65,12.0
51.24743,71.25399,9999,0.65,12.0
51.28607,71.64505,9999,0.5,9.2
51.11828,71.21286,9999,0.65,12.0
51.21344,71.63009,9999,0.8,14.8
51.05194,71.56685,9999,0.65,12.0
51.08060,71.23333,9999,0.65,12.0
51.19078,71.40231,9999,0.5,9.2
51.18723,71.41830,9999,0.65,12.0
51.17080,71.41724,9999,0.8,14.8
51.10036,71.40981,9999,0.65,12.0
51.16324,71.41611,9999,0.8,14.8
51.17074,71.41587,9999,0.65,12.0
51.13438,71.36982,9999,0.65,12.0
51.17081,71.42495,9999,0.8,14.8
51.17451,71.42947,9999,0.8,14.8
51.15870,71.45422,9999,0.8,14.8
51.17759,71.42042,9999,0.65,12.0
51.17859,71.42730,9999,0.8,14.8
51.20452,71.39767,9999,0.8,14.8
51.10863,71.68574,9999,0.65,12.0
51.18333,71.41870,9999,0.65,12.0
51.14927,71.46143,9999,0.8,14.8
51.11285,71.64471,9999,0.8,14.8
51.19830,71.42453,9999,0.8,14.8
51.14288,71.41517,9999,0.65,12.0
51.14750,71.52551,9999,0.65,12.0
51.13364,71.46390,9999,0.65,12.0
51.15342,71.47122,9999,0.65,12.0
51.16590,71.40959,9999,0.65,12.0
51.11407,71.47593,9999,0.65,12.0
51.14714,71.57901,9999,0.65,12.0
51.12658,71.59518,9999,0.8,14.8
51.17616,71.39967,9999,0.8,14.8
51.20782,71.40089,9999,0.65,12.0
51.04233,71.42863,9999,0.65,12.0
51.14067,71.37209,9999,0.65,12.0
51.12848,71.25461,9999,0.65,12.0
51.15731,71.50346,9999,0.65,12.0
51.17442,71.44823,9999,0.8,14.8
51.14983,71.46643,9999,0.8,14.8
51.10666,71.44131,9999,0.8,14.8
51.14313,71.48145,9999,0.65,12.0
51.14053,71.37189,9999,0.65,12.0
51.14532,71.46636,9999,0.65,12.0
51.20098,71.36496,9999,0.65,12.0
51.17236,71.38546,9999,0.65,12.0
51.19167,71.41270,9999,0.8,14.8
51.14274,71.38513,9999,0.5,9.2
51.16698,71.43245,9999,0.8,14.8
51.15303,71.47531,9999,0.8,14.8
51.19968,71.45423,9999,0.8,14.8
51.15017,71.51772,9999,0.65,12.0
51.16977,71.37930,9999,0.65,12.0
51.19178,71.37954,9999,0.8,14.8
51.13169,71.43472,9999,0.65,12.0
51.19839,71.38860,9999,0.8,14.8
51.11585,71.43755,9999,0.65,12.0
51.09973,71.41463,9999,0.65,12.0
51.12336,71.51985,9999,0.8,14.8
51.15803,71.48476,9999,0.8,14.8
51.18588,71.37747,9999,0.8,14.8
51.19763,71.33694,9999,0.65,12.0
51.13742,71.47652,9999,0.65,12.0
51.15617,71.49332,9999,0.65,12.0
51.15519,71.44155,9999,0.8,14.8
51.16739,71.40478,9999,0.8,14.8
51.12332,71.48328,9999,0.5,9.2
51.12159,71.49506,9999,0.5,9.2
51.16715,71.44510,9999,0.65,12.0
51.11038,71.43501,9999,0.5,9.2
51.18130,71.40218,9999,0.8,14.8
51.12108,71.41693,9999,0.65,12.0
51.16154,71.43896,9999,0.8,14.8
51.19590,71.39892,9999,0.8,14.8
51.15192,71.50357,9999,0.65,12.0
51.12947,71.36517,9999,0.65,12.0
51.19909,71.42656,9999,0.8,14.8
51.09631,71.44012,9999,0.65,12.0
51.15967,71.43124,9999,0.8,14.8
51.17818,71.40770,9999,0.65,12.0
51.17093,71.40177,9999,0.65,12.0
51.18112,71.47205,9999,0.8,14.8
51.11190,71.42863,9999,0.65,12.0
51.18664,71.34469,9999,0.65,12.0
51.19905,71.38207,9999,0.8,14.8
51.16595,71.45646,9999,0.65,12.0
51.18078,71.47192,9999,0.8,14.8
51.16778,71.38470,9999,0.5,9.2
51.17890,71.33917,9999,0.8,14.8
51.16119,71.40697,9999,0.8,14.8
51.12517,71.50307,9999,0.65,12.0
51.12164,71.51968,9999,0.8,14.8
51.12067,71.50700,9999,0.65,12.0
51.16342,71.45582,9999,0.8,14.8
51.07301,71.43717,9999,0.65,12.0
51.12123,71.41708,9999,0.65,12.0
51.14651,71.38377,9999,0.65,12.0
51.26849,71.66224,9999,0.65,12.0
51.16464,71.40249,9999,0.65,12.0
51.13139,71.46230,9999,0.65,12.0
51.11361,71.45932,9999,0.65,12.0
51.11591,71.48959,9999,0.65,12.0
51.19157,71.38040,9999,0.8,14.8
