lat,lon,dist_m,infiltration,indoor_pm25
42.92049,74.61681,401,0.65,23.4
42.83004,74.61588,497,0.8,28.6
42.81841,74.63083,409,0.8,28.7
42.91579,74.56968,256,0.8,29.2
42.93656,74.60596,336,0.8,28.9
42.93650,74.62521,937,0.65,23.1
42.92830,74.63204,164,0.65,24.2
42.88477,74.56292,47,0.8,31.4
42.86338,74.47808,1237,0.5,17.8
42.93750,74.58949,1447,0.8,28.5
42.80383,74.55383,2527,0.65,23.1
42.90655,74.61031,180,0.8,29.7
42.92367,74.59135,1562,0.65,23.1
42.84131,74.51896,367,0.65,23.4
42.85285,74.50471,556,0.65,23.2
42.84883,74.58961,267,0.8,29.2
42.88187,74.52615,818,0.8,28.5
42.84678,74.59586,386,0.8,28.8
42.90778,74.63789,488,0.8,28.6
42.91742,74.63460,391,0.65,23.4
42.80919,74.70882,5184,0.8,28.5
42.80780,74.65377,857,0.65,23.2
42.88491,74.65675,398,0.8,28.8
42.88123,74.67391,574,0.8,28.6
42.90606,74.67493,2139,0.8,28.5
42.94623,74.70035,1851,0.65,23.1
42.92988,74.65443,1185,0.65,23.1
42.92282,74.57007,130,0.65,24.5
42.92567,74.60329,693,0.8,28.5
42.92567,74.60329,693,0.8,28.5
42.90203,74.55264,1196,0.65,23.1
42.93109,74.57200,175,0.65,24.1
42.86860,74.72982,92,0.8,30.6
42.87313,74.71018,427,0.65,23.3
42.80385,74.74406,7249,0.8,28.5
42.94052,74.72698,2273,0.8,28.5
42.94460,74.48479,231,0.8,29.3
42.78063,74.45803,6571,0.65,23.1
42.87504,74.46840,98,0.65,24.8
42.87809,74.48319,359,0.8,28.8
42.79458,74.51240,3399,0.65,23.1
42.83490,74.52370,984,0.8,28.5
42.87183,74.54438,421,0.8,28.7
42.87909,74.58537,259,0.8,29.2
42.86453,74.56328,88,0.8,30.7
42.87057,74.57362,82,0.65,25.0
42.80601,74.55975,2510,0.65,23.1
42.85437,74.54189,1116,0.8,28.5
42.82416,74.56194,595,0.65,23.2
42.86236,74.54470,239,0.8,29.3
42.87187,74.55787,479,0.8,28.6
42.81063,74.54867,1672,0.65,23.1
42.84113,74.56395,312,0.65,23.5
42.83448,74.56732,540,0.65,23.2
42.86058,74.53767,409,0.8,28.7
42.81016,74.53503,1616,0.65,23.1
42.87254,74.58020,374,0.8,28.8
42.86846,74.58319,300,0.8,29.0
42.85812,74.57863,671,0.8,28.5
42.87942,74.57445,81,0.8,30.8
42.87363,74.55785,426,0.65,23.3
42.80000,74.50000,2943,0.65,23.1
42.85058,74.53944,712,0.8,28.5
42.82047,74.54927,689,0.65,23.2
42.83315,74.56543,390,0.65,23.4
42.85144,74.57970,553,0.65,23.2
42.81067,74.58283,2068,0.65,23.1
42.87355,74.60809,254,0.8,29.2
42.87801,74.54774,195,0.8,29.6
42.89028,74.57063,393,0.8,28.8
42.87695,74.53751,187,0.8,29.6
42.89079,74.54856,99,0.65,24.8
42.84593,74.59847,300,0.8,29.0
42.89489,74.59206,1231,0.8,28.5
42.87597,74.60248,3,0.65,26.3
42.84054,74.62698,167,0.8,29.8
42.88922,74.55627,437,0.8,28.7
42.85856,74.60676,169,0.8,29.8
42.85514,74.60406,218,0.8,29.4
42.85698,74.60415,13,0.8,32.1
42.84530,74.58171,184,0.8,29.7
42.88945,74.55662,476,0.8,28.6
42.85562,74.61523,124,0.65,24.6
42.90438,74.59454,1450,0.8,28.5
42.83290,74.62675,396,0.65,23.4
42.83865,74.62645,335,0.8,28.9
42.84283,74.61150,5,0.65,26.3
42.83784,74.62312,69,0.8,31.0
42.86824,74.60463,541,0.8,28.6
42.85603,74.65524,44,0.65,25.6
42.85192,74.68576,943,0.8,28.5
42.85549,74.61259,150,0.8,29.9
42.84940,74.61761,455,0.8,28.7
42.82636,74.62260,31,0.65,25.8
42.84034,74.63857,146,0.65,24.4
42.81487,74.63586,382,0.8,28.8
42.85702,74.61343,24,0.8,31.9
42.86058,74.60073,259,0.8,29.2
42.87891,74.62155,399,0.8,28.8
42.88620,74.60884,160,0.65,24.3
42.88715,74.59190,371,0.8,28.8
42.89069,74.60059,728,0.65,23.2
42.88468,74.63785,129,0.8,30.2
42.86853,74.63333,220,0.8,29.4
42.86968,74.62645,455,0.8,28.7
42.87853,74.68697,586,0.8,28.6
42.86852,74.62204,447,0.8,28.7
42.87275,74.64132,252,0.65,23.7
42.86847,74.70020,799,0.65,23.2
42.88315,74.63616,34,0.8,31.7
42.88573,74.62358,13,0.8,32.1
42.87881,74.68281,651,0.8,28.5
42.87167,74.61993,413,0.8,28.7
42.85989,74.60872,153,0.8,29.9
42.87118,74.61391,202,0.8,29.5
42.86921,74.61982,577,0.8,28.6
42.88499,74.61810,21,0.8,32.0
42.87520,74.61657,37,0.8,31.6
42.87876,74.66216,402,0.8,28.8
42.87888,74.66431,416,0.8,28.7
42.87650,74.55913,130,0.8,30.2
42.87462,74.56976,310,0.8,29.0
42.90414,74.59464,1440,0.8,28.5
