lat,lon,dist_m,infiltration,indoor_pm25
41.31543,69.39042,550,0.65,24.7
41.36062,69.43320,1348,0.65,24.6
41.31376,69.10588,3896,0.8,30.3
41.30335,69.11015,3434,0.65,24.6
41.27944,69.11858,2348,0.65,24.6
41.30747,69.13324,1516,0.65,24.6
41.33078,69.15134,776,0.8,30.3
41.33561,69.11148,4115,0.8,30.3
41.24706,69.15501,786,0.8,30.3
41.25291,69.15022,541,0.8,30.4
41.24325,69.14555,1447,0.8,30.3
41.22255,69.10619,1862,0.8,30.3
41.19278,69.15203,22,0.65,27.4
41.18660,69.15525,680,0.65,24.7
41.20244,69.16441,147,0.65,25.9
41.17372,69.15980,1828,0.8,30.3
41.24308,69.14197,1599,0.65,24.6
41.20808,69.18532,207,0.65,25.5
41.17923,69.13334,257,0.8,31.0
41.17025,69.12539,181,0.65,25.6
41.17244,69.20674,285,0.65,25.1
41.20382,69.13955,1550,0.8,30.3
41.21819,69.16195,978,0.8,30.3
41.17025,69.12539,181,0.65,25.6
41.33152,69.13156,2377,0.8,30.3
41.20587,69.12100,331,0.65,25.0
41.22713,69.12485,1164,0.65,24.6
41.19954,69.15912,34,0.8,33.5
41.28019,69.10251,3694,0.65,24.6
41.30748,69.13743,1169,0.8,30.3
41.37139,69.38134,1243,0.65,24.6
41.38411,69.35812,3112,0.8,30.3
41.36644,69.41250,308,0.8,30.8
41.39106,69.39907,2214,0.8,30.3
41.37736,69.43381,80,0.8,32.7
41.40272,69.44426,2076,0.65,24.6
41.34839,69.43244,2443,0.8,30.3
41.36015,69.34483,408,0.8,30.6
41.41582,69.42646,4066,0.8,30.3
41.39937,69.36553,2948,0.5,19.0
41.35648,69.35407,271,0.8,31.0
41.38565,69.41374,1794,0.65,24.6
41.39301,69.35281,2951,0.8,30.3
41.40700,69.30804,151,0.8,31.8
41.29824,69.39204,2334,0.8,30.3
41.39896,69.33699,1902,0.65,24.6
41.38565,69.41374,1794,0.65,24.6
41.40888,69.39683,4206,0.8,30.3
41.41606,69.36281,1377,0.65,24.6
41.15442,69.24867,1276,0.8,30.3
41.18630,69.44025,2745,0.8,30.3
41.17244,69.41116,113,0.65,26.2
41.23683,69.37180,638,0.65,24.7
41.41949,69.26739,2531,0.65,24.6
41.40631,69.21912,1388,0.65,24.6
41.40036,69.19476,738,0.65,24.7
41.40564,69.26703,1065,0.65,24.6
41.40133,69.28438,1332,0.65,24.6
41.38500,69.32184,346,0.65,25.0
41.41646,69.31069,126,0.8,32.0
41.36935,69.16686,1112,0.65,24.6
41.37802,69.24239,1566,0.65,24.6
41.40848,69.19148,885,0.8,30.3
41.41380,69.19481,492,0.8,30.5
41.39619,69.20457,62,0.65,26.8
41.22752,69.40245,3,0.65,27.8
41.27806,69.44678,107,0.8,32.3
41.25578,69.42922,859,0.8,30.3
41.22441,69.40576,273,0.8,31.0
41.32355,69.44538,145,0.65,25.9
41.18542,69.44025,2701,0.8,30.3
41.18395,69.35546,2105,0.8,30.3
41.15785,69.35546,2430,0.65,24.6
41.22998,69.37519,111,0.65,26.2
41.18679,69.42786,1844,0.65,24.6
41.18179,69.11048,1678,0.65,24.6
41.18144,69.22784,1309,0.8,30.3
41.20746,69.10676,604,0.65,24.7
41.19046,69.12672,1501,0.65,24.6
41.15924,69.11429,238,0.8,31.1
41.16106,69.10834,651,0.8,30.4
41.16231,69.18798,2120,0.8,30.3
41.23364,69.33899,340,0.8,30.7
41.23387,69.35070,1273,0.8,30.3
41.25324,69.22359,527,0.8,30.4
41.25324,69.37663,511,0.8,30.5
41.25050,69.30492,691,0.65,24.7
41.27725,69.29022,1250,0.8,30.3
41.28464,69.28976,781,0.8,30.3
41.28215,69.27280,244,0.8,31.1
41.29577,69.28089,181,0.8,31.5
41.30436,69.27139,262,0.65,25.2
41.24681,69.30321,280,0.65,25.1
41.27385,69.27565,454,0.8,30.5
41.26863,69.29851,1126,0.8,30.3
41.27460,69.29539,1052,0.8,30.3
41.27571,69.28693,1119,0.8,30.3
41.24302,69.32452,242,0.8,31.1
41.25726,69.31535,332,0.8,30.8
41.24662,69.31452,310,0.8,30.8
41.25054,69.30908,694,0.8,30.4
41.28182,69.28987,944,0.8,30.3
41.29335,69.27121,25,0.8,33.7
41.29693,69.27769,152,0.8,31.8
41.23654,69.23541,519,0.65,24.7
41.31732,69.29862,195,0.8,31.4
41.34158,69.33356,17,0.8,33.9
41.35980,69.38953,3,0.65,27.8
41.34838,69.35171,125,0.8,32.1
41.31375,69.28288,116,0.8,32.2
41.31109,69.29276,276,0.8,31.0
41.32342,69.31796,44,0.8,33.3
41.32021,69.34735,745,0.8,30.3
41.33121,69.37259,196,0.8,31.4
41.32563,69.30299,509,0.8,30.5
41.31795,69.32198,274,0.8,31.0
41.34920,69.34312,477,0.8,30.5
41.34646,69.36613,357,0.8,30.7
41.33532,69.36037,834,0.8,30.3
41.33685,69.37317,424,0.5,19.1
41.35946,69.39224,196,0.5,19.6
41.35461,69.38813,481,0.8,30.5
41.32194,69.35527,452,0.65,24.8
41.35846,69.36216,383,0.8,30.6
41.33105,69.32755,242,0.8,31.1
41.35476,69.38329,342,0.8,30.7
41.34840,69.38626,1093,0.8,30.3
41.34226,69.38874,977,0.8,30.3
41.33707,69.37404,360,0.65,24.9
41.33567,69.35325,492,0.5,19.0
41.34361,69.36194,100,0.8,32.4
41.33957,69.23244,41,0.8,33.4
41.36863,69.20132,794,0.65,24.7
41.37272,69.23817,1102,0.65,24.6
