lat,lon,name,dist_m,infiltration,rwi,dens_km2,indoor_pm25,injustice_index
41.31543,69.39042,6-sonli umumiy o'rta ta'lim maktabi,550,0.65,0.45,40,24.7,0.364
41.36062,69.43320,10-sonli umumiy o'rta ta'lim maktabi,1348,0.65,1.00,36,24.6,0.295
41.31376,69.10588,1-sonli umumiy o'rta ta'lim maktabi,3895,0.8,0.42,48,30.3,0.587
41.30335,69.11015,6-sonli umumiy o'rta ta'lim maktabi,3432,0.65,0.98,50,24.6,0.299
41.27944,69.11858,7-sonli umumiy o'rta ta'lim maktabi,2347,0.65,0.97,32,24.6,0.297
41.30747,69.13324,8-sonli umumiy o'rta ta'lim maktabi,1515,0.65,1.38,39,24.6,0.248
41.33078,69.15134,9-sonli umumiy o'rta ta'lim maktabi,776,0.8,0.99,40,30.3,0.517
41.33561,69.11148,12-sonli umumiy o'rta ta'lim maktabi,4113,0.8,1.16,45,30.3,0.497
41.24706,69.15501,13-sonli umumiy o'rta ta'lim maktabi,785,0.8,0.83,40,30.3,0.536
41.25291,69.15022,14-sonli umumiy o'rta ta'lim maktabi,541,0.8,0.83,39,30.4,0.538
41.24325,69.14555,15-sonli umumiy ta'lim maktabi,1447,0.8,1.04,40,30.3,0.510
41.22255,69.10619,16-sonli umumiy o'rta ta'lim maktabi,1861,0.8,0.81,43,30.3,0.539
41.19278,69.15203,32-sonli umumiy o'rta ta'lim maktabi,22,0.65,0.69,40,27.4,0.380
41.18660,69.15525,33-sonli umumiy o'rta ta'lim maktabi,680,0.65,0.69,42,24.7,0.334
41.20244,69.16441,34-sonli umumiy o'rta ta'lim maktabi,147,0.65,0.96,35,25.9,0.320
41.17372,69.15980,35-sonli umumiy o'rta ta'lim maktabi,1827,0.8,0.62,39,30.3,0.562
41.24308,69.14197,39-sonli boshlang`ich ta'lim maktabi,1599,0.65,1.04,40,24.6,0.290
41.20808,69.18532,334-sonli umumiy o’rta ta’lim maktabi,207,0.65,0.64,25,25.5,0.350
41.17923,69.13334,Toshkent viloyati Zangiota tumani  MMTB ,257,0.8,1.09,43,31.0,0.516
41.17025,69.12539,43-sonli umumiy o'rta ta'lim maktabi,181,0.65,0.93,44,25.6,0.321
41.17244,69.20674,Zangiota tuman 22-sonli umumiy o'rta ta',285,0.65,0.14,652,25.1,0.509
41.20382,69.13955,38-sonli umumiy o'rta ta'lim maktabi,1550,0.8,1.00,42,30.3,0.515
41.21819,69.16195,36-sonli umumiy o'rta ta'lim maktabi,978,0.8,0.41,31,30.3,0.587
41.17025,69.12539,44-sonli umumiy o'rta ta'lim maktabi,181,0.65,0.93,44,25.6,0.321
41.33152,69.13156,2-sonli umumiy o'rta ta'lim maktabi,2376,0.8,1.04,36,30.3,0.509
41.20587,69.12100,30-sonli umumiy o'rta ta'lim maktabi,331,0.65,0.80,45,25.0,0.326
41.22713,69.12485,Toshkent viloyati Zangiota tumani 40-son,1164,0.65,0.81,38,24.6,0.318
41.19954,69.15912,27-sonli umumiy o'rta ta'lim maktabi,34,0.8,0.96,38,33.5,0.573
41.28019,69.10251,37-sonli umumiy o'rta ta'lim maktabi,3693,0.65,0.97,44,24.6,0.299
41.30748,69.13743,10-sonli  boshlang'ich ta'lim makabi,1169,0.8,1.38,42,30.3,0.469
41.37139,69.38134,4-sonli umumiy o'rta ta'lim maktabi,1242,0.65,0.95,54,24.6,0.304
41.38411,69.35812,5-sonli umumiy o'rta ta'lim maktabi,3111,0.8,1.27,55,30.3,0.484
41.36644,69.41250,6-sonli ayrim fanlar chuqur o`qitiladiga,308,0.8,1.00,61,30.8,0.527
41.39106,69.39907,7-sonli umumiy o'rta ta'lim maktabi,2214,0.8,0.57,48,30.3,0.569
41.37736,69.43381,9-sonli umumiy o'rta ta'lim maktabi,80,0.8,0.55,49,32.7,0.611
41.40272,69.44426,11-sonli umumiy o'rta ta'lim maktabi,2076,0.65,0.85,58,24.6,0.316
41.34839,69.43244,14-sonli umumiy o'rta ta'lim maktabi,2443,0.8,0.91,40,30.3,0.526
41.36015,69.34483,25-sonli umumiy o'rta ta'lim maktabi,408,0.8,1.19,62,30.6,0.500
41.41582,69.42646,27-sonli umumiy o'rta ta'lim maktabi,4065,0.8,0.69,51,30.3,0.555
41.39937,69.36553,29-sonli umumiy o'rta ta'lim maktabi,2948,0.5,0.53,56,19.0,0.136
41.35648,69.35407,46-sonli umumiy o'rta ta'lim maktabi,271,0.8,1.32,58,31.0,0.490
41.38565,69.41374,8-sonli umumiy o'rta ta'lim maktabi,1794,0.65,0.76,40,24.6,0.325
41.39301,69.35281,30-sonli umumiy o'rta ta'lim maktabi,2951,0.8,1.27,58,30.3,0.485
41.40700,69.30804,33-sonli umumiy o'rta ta'lim maktabi,151,0.8,0.99,58,31.8,0.544
41.29824,69.39204,342-sonli umumiy o'rta ta'lim maktabi,2334,0.8,0.77,56,30.3,0.547
41.39896,69.33699,49-sonli umumiy o'rta ta'lim maktabi,1902,0.65,0.67,55,24.6,0.338
41.38565,69.41374,10-sonli umumiy o'rta ta'lim maktabi,1794,0.65,0.76,40,24.6,0.325
41.40888,69.39683,28-sonli umumiy o'rta ta'lim maktabi,4206,0.8,0.86,47,30.3,0.533
41.41606,69.36281,45-sonli umumiy o'rta ta'lim maktabi,1376,0.65,0.69,36,24.6,0.332
41.15442,69.24867,37-sonli umumiy o'rta ta'lim maktabi,1276,0.8,0.57,978,30.3,0.722
41.18630,69.44025,3-sonli umumiy o'rta ta'lim maktabi,2745,0.8,0.68,45,30.3,0.555
41.17244,69.41116,8-sonli umumiy o'rta ta'lim maktabi,113,0.65,0.05,20,26.2,0.433
41.23683,69.37180,10-sonli umumiy o'rta ta'lim maktabi,638,0.65,1.18,51,24.7,0.276
41.41949,69.26739,13-sonli umumiy o'rta ta'lim maktabi,2531,0.65,0.58,53,24.6,0.349
41.40631,69.21912,17-sonli umumiy o'rta ta'lim maktabi,1388,0.65,1.10,52,24.6,0.284
41.40036,69.19476,18-umumiy o'rta ta'lim maktabi,738,0.65,1.06,52,24.7,0.290
41.40564,69.26703,19-sonli umumiy o'rta ta'lim maktabi,1065,0.65,0.84,51,24.6,0.316
41.40133,69.28438,22-sonli umumiy o'rta ta'lim maktabi,1332,0.65,1.13,51,24.6,0.281
41.38500,69.32184,25-sonli umumiy o'rta ta'lim maktabi,346,0.65,1.02,60,25.0,0.302
41.41646,69.31069,26-sonli umumiy o'rta ta'lim maktabi,126,0.8,1.10,54,32.0,0.534
41.36935,69.16686,27-sonli umumiy o'rta ta'lim maktabi,1111,0.65,0.61,48,24.6,0.344
41.37802,69.24239,28-sonli umumiy o'rta ta'lim maktabi,1565,0.65,1.21,52,24.6,0.272
41.40848,69.19148,30-sonli umumiy o'rta ta'lim maktabi,885,0.8,0.90,54,30.3,0.529
41.41380,69.19481,31-sonli umumiy o'rta ta'lim maktabi,491,0.8,0.74,53,30.5,0.552
41.39619,69.20457,9-sonli umumiy o'rta ta'lim maktabi,62,0.65,1.06,51,26.8,0.325
41.22752,69.40245,13-sonli umumiy o'rta ta'lim maktabi,3,0.65,0.35,38,27.8,0.427
41.27806,69.44678,18-sonli umumiy o'rta ta'lim maktabi,107,0.8,0.59,43,32.3,0.598
41.25578,69.42922,19-sonli ayrim fanlar chuqur o‘qitiladig,859,0.8,0.52,41,30.3,0.574
41.22441,69.40576,20-  sonli umumiy o`rtab ta`lim maktabi,273,0.8,0.35,40,31.0,0.605
41.32355,69.44538,31-sonli umumiy o'rta ta'lim maktabi,145,0.65,0.55,32,25.9,0.370
41.18542,69.44025,"33,Yuqorichirchiq,Tashkent",2700,0.8,0.68,46,30.3,0.556
41.18395,69.35546,38-sonli  umumiy o'rta ta'lim maktabi,2104,0.8,-0.03,26,30.3,0.639
41.15785,69.35546,39-sonli umumiy o'rta ta'lim maktabi,2429,0.65,0.48,29,24.6,0.356
41.22998,69.37519,23-sonli umumiy o'rta ta'lim maktabi,111,0.65,1.18,55,26.2,0.302
41.18679,69.42786,36-sonli umumiy o'rta ta'lim maktabi,1844,0.65,0.33,28,24.6,0.376
41.18179,69.11048,2-sonli umumiy o'rta ta'lim maktabi,1678,0.65,0.94,46,24.6,0.303
41.18144,69.22784,333-sonli umumiy o'rta ta'lim maktabi,1309,0.8,0.97,1007,30.3,0.678
41.20746,69.10676,6-sonli umumiy o'rta ta'lim maktabi,604,0.65,0.80,44,24.7,0.321
41.19046,69.12672,23--sonli umumiy o'rta ta'lim maktabi,1501,0.65,1.09,45,24.6,0.284
41.15924,69.11429,10-sonli ayrim fanlar chuqur o‘qitiladig,238,0.8,0.59,47,31.1,0.580
41.16106,69.10834,57-sonli umumiy o'rta ta'lim maktabi,651,0.8,0.59,42,30.4,0.567
41.16231,69.18798,11-sonli umumiy o'rta ta'lim maktabi,2120,0.8,-0.05,905,30.3,0.787
41.23364,69.33899,289-sonli ixtisoslashtirilgan davlat umu,340,0.8,0.85,61,30.7,0.544
41.23387,69.35070,290-sonli umumiy o'rta ta'lim maktabi,1273,0.8,0.90,54,30.3,0.529
41.25324,69.22359,291-sonli ixtisoslashtirilgan davlat umu,527,0.8,1.20,45,30.4,0.493
41.25324,69.37663,293-sonli umumiy o'rta ta'lim maktabi,511,0.8,0.75,59,30.5,0.551
41.25050,69.30492,31-sonli umumiy o'rta ta'lim maktabi,691,0.65,1.36,48,24.7,0.253
41.27725,69.29022,56-sonli ixtisoslashtirilgan davlat umum,1250,0.8,1.06,43,30.3,0.509
