lat,lon,name
41.31543,69.39042,6-sonli umumiy o'rta ta'lim maktabi
41.36062,69.4332,10-sonli umumiy o'rta ta'lim maktabi
41.313763,69.10588,1-sonli umumiy o'rta ta'lim maktabi
41.303352,69.11015,6-sonli umumiy o'rta ta'lim maktabi
41.279438,69.11858,7-sonli umumiy o'rta ta'lim maktabi
41.307465,69.13324,8-sonli umumiy o'rta ta'lim maktabi
41.330776,69.15134,9-sonli umumiy o'rta ta'lim maktabi
41.335606,69.11148,12-sonli umumiy o'rta ta'lim maktabi
41.247055,69.155014,13-sonli umumiy o'rta ta'lim maktabi
41.252907,69.150215,14-sonli umumiy o'rta ta'lim maktabi
41.24325,69.14555,15-sonli umumiy ta'lim maktabi
41.222553,69.106186,16-sonli umumiy o'rta ta'lim maktabi
41.192776,69.15203,32-sonli umumiy o'rta ta'lim maktabi
41.1866,69.15525,33-sonli umumiy o'rta ta'lim maktabi
41.202435,69.16441,34-sonli umumiy o'rta ta'lim maktabi
41.17372,69.1598,35-sonli umumiy o'rta ta'lim maktabi
41.243076,69.14197,39-sonli boshlang`ich ta'lim maktabi
41.20808,69.18532,334-sonli umumiy o’rta ta’lim maktabi
41.179226,69.13334,Toshkent viloyati Zangiota tumani  MMTB  tasarrufidagi  42-sonli umumiy o'rta ta'lim maktabi
41.17025,69.12539,43-sonli umumiy o'rta ta'lim maktabi
41.172443,69.20674,Zangiota tuman 22-sonli umumiy o'rta ta'lim maktabi
41.203823,69.13955,38-sonli umumiy o'rta ta'lim maktabi
41.218193,69.16195,36-sonli umumiy o'rta ta'lim maktabi
41.17025,69.12539,44-sonli umumiy o'rta ta'lim maktabi
41.331524,69.13156,2-sonli umumiy o'rta ta'lim maktabi
41.20587,69.121,30-sonli umumiy o'rta ta'lim maktabi
41.227135,69.124855,Toshkent viloyati Zangiota tumani 40-sonli umumta'lim maktabi
41.19954,69.15912,27-sonli umumiy o'rta ta'lim maktabi
41.28019,69.10251,37-sonli umumiy o'rta ta'lim maktabi
41.307476,69.13743,10-sonli  boshlang'ich ta'lim makabi
41.37139,69.38134,4-sonli umumiy o'rta ta'lim maktabi
41.38411,69.35812,5-sonli umumiy o'rta ta'lim maktabi
41.36644,69.4125,6-sonli ayrim fanlar chuqur o`qitiladigan sinflari mavjud umumiy o`rta ta`lim maktabi umumiy orta ta’lim maktabi
41.391064,69.39907,7-sonli umumiy o'rta ta'lim maktabi
41.37736,69.43381,9-sonli umumiy o'rta ta'lim maktabi
41.40272,69.44426,11-sonli umumiy o'rta ta'lim maktabi
41.348385,69.43244,14-sonli umumiy o'rta ta'lim maktabi
41.36015,69.344826,25-sonli umumiy o'rta ta'lim maktabi
41.41582,69.42646,27-sonli umumiy o'rta ta'lim maktabi
41.39937,69.36553,29-sonli umumiy o'rta ta'lim maktabi
41.356483,69.354065,46-sonli umumiy o'rta ta'lim maktabi
41.385647,69.41374,8-sonli umumiy o'rta ta'lim maktabi
41.39301,69.35281,30-sonli umumiy o'rta ta'lim maktabi
41.406998,69.308044,33-sonli umumiy o'rta ta'lim maktabi
41.298244,69.39204,342-sonli umumiy o'rta ta'lim maktabi
41.398964,69.33699,49-sonli umumiy o'rta ta'lim maktabi
41.385647,69.41374,10-sonli umumiy o'rta ta'lim maktabi
41.408882,69.396835,28-sonli umumiy o'rta ta'lim maktabi
41.416058,69.36281,45-sonli umumiy o'rta ta'lim maktabi
41.154415,69.248665,37-sonli umumiy o'rta ta'lim maktabi
41.186302,69.440254,3-sonli umumiy o'rta ta'lim maktabi
41.17244,69.411156,8-sonli umumiy o'rta ta'lim maktabi
41.236835,69.371796,10-sonli umumiy o'rta ta'lim maktabi
41.419495,69.26739,13-sonli umumiy o'rta ta'lim maktabi
41.406307,69.219124,17-sonli umumiy o'rta ta'lim maktabi
41.40036,69.194756,18-umumiy o'rta ta'lim maktabi
41.40564,69.26703,19-sonli umumiy o'rta ta'lim maktabi
41.401333,69.28438,22-sonli umumiy o'rta ta'lim maktabi
41.385,69.32184,25-sonli umumiy o'rta ta'lim maktabi
41.41646,69.31069,26-sonli umumiy o'rta ta'lim maktabi
41.369347,69.16686,27-sonli umumiy o'rta ta'lim maktabi
41.378017,69.24239,28-sonli umumiy o'rta ta'lim maktabi
41.408485,69.19148,30-sonli umumiy o'rta ta'lim maktabi
41.413803,69.19481,31-sonli umumiy o'rta ta'lim maktabi
