lat,lon,name
40.767426,72.35944,1-сонли умумий ўрта таълим мактаби
40.757557,72.36155,2-sonli umumiy o'rta ta'lim maktabi
40.81392,72.33597,Andijon shahar 3- umumiy o'rta ta'lim maktabi
40.807987,72.338135,4-sonli umumiy o'rta ta'lim maktabi
40.783714,72.33548,5-sonli umumiy o'rta ta'lim maktabi
40.769436,72.37803,Andijon shahar 6- sonli umumiy o'rta ta'lim maktabi
40.772865,72.36442,7-sonli umumiy o'rta ta'lim maktabi
40.794304,72.35672,8-sonli umumiy o'rta ta'lim maktabi
40.713715,72.404366,Andijon shahar 9- umumiy o'rta ta'lim maktabi
40.773243,72.3529,10-sonli umumiy o'rta ta'lim maktabi
40.748928,72.353645,11-sonli umumiy o'rta ta'lim maktabi
40.745983,72.33861,13-son umumiy o'rta ta'lim maktabi
40.768967,72.34409,14-sonli umumiy o'rta ta'lim maktabi
40.8012,72.336044,18-sonli umumiy o'rta ta'lim maktabi
40.767815,72.379265,Andijon shahar 19-sonli umumiy o'rta ta'lim maktabi
40.788723,72.36148,20-sonli umumiy o'rta ta'lim maktabi
40.81322,72.34165,Andijon shahar 21- umumiy o'rta ta'lim maktabi
40.785316,72.36562,22-sonli umumiy o'rta ta'lim maktabi
40.764835,72.32862,23-sonli umumiy o'rta ta'lim maktabi
40.77401,72.35943,24-sonli umumiy o'rta ta'lim maktabi
40.79807,72.352356,Andijon shahar 25-sonli umumiy o'rta ta'lim maktabionli umumiy o'rta ta'lim maktabi
40.78792,72.316864,Andijon shahar 27-umumiy o'rta ta'lim maktabi
40.7128,72.38039,28-sonli umumiy o'rta ta'lim maktabi
40.792767,72.34363,29-sonli umumiy o'rta ta'lim maktabi
40.750557,72.37246,Andijon shar 31- umumiy o'rta ta'lim maktabi
40.774403,72.33548,Andijon shahar 33-sonli umumiy o‘rta ta'lim maktabi
40.75704,72.36755,Andijon shahar 37- umumiy o'rta ta'lim maktabi
40.817326,72.354164,38-sonli umumiy o'rta ta'lim maktabi
40.78009,72.36134,40-sonli umumiy o'rta ta'lim maktabi
40.740692,72.32776,41-sonli umumiy o'rta ta'lim maktabi
40.77955,72.376816,42-сонли умумий ўрта таълим мактаби
40.752586,72.342995,43-sonli umumiy o'rta ta'lim maktabi
40.812424,72.356346,Andijon shahar MMT bo'limiga qarashli 44-sonli umumiy o'rta ta'lim maktabi
40.778248,72.33718,45-sonli umumiy o'rta ta'lim maktabi
40.744656,72.37616,Andijon shahar 47-umumiy o'rta ta'lim maktabi
40.783936,72.31704,48-sonli umumiy o'rta ta'lim maktabi
40.804447,72.3157,49-sonli umumiy o'rta ta'lim maktabi
40.745003,72.3419,50-sonli umumiy o'rta ta'lim maktabi
40.706676,72.458595,Andijon shahar 54-ayrim fanlar chuqur o‘qitiladigan sinflari mavjud umumiy o‘rta ta’lim maktabi
