iso3,income_group,n_ref_monitors,n_anchor_cities,tier
ABW,HIC,0,0,adaptable_high_income
AFG,LIC,2,2,immediate
AGO,LMC,0,0,near_term_deploy_anchor
ALB,UMC,4,4,immediate
AND,HIC,1,1,adaptable_high_income
ARE,HIC,1,1,adaptable_high_income
ARG,UMC,5,3,immediate
ARM,UMC,1,1,immediate
ASM,HIC,0,0,adaptable_high_income
ATG,HIC,0,0,adaptable_high_income
AUS,HIC,220,101,adaptable_high_income
AUT,HIC,131,91,adaptable_high_income
AZE,UMC,1,1,immediate
BDI,LIC,0,0,near_term_deploy_anchor
BEL,HIC,121,66,adaptable_high_income
BEN,LMC,0,0,near_term_deploy_anchor
BFA,LIC,0,0,near_term_deploy_anchor
BGD,LMC,4,4,immediate
BGR,HIC,5,4,adaptable_high_income
BHR,HIC,1,1,adaptable_high_income
BHS,HIC,0,0,adaptable_high_income
BIH,UMC,18,14,immediate
BLR,UMC,0,0,near_term_deploy_anchor
BLZ,UMC,1,1,immediate
BMU,HIC,0,0,adaptable_high_income
BOL,LMC,0,0,near_term_deploy_anchor
BRA,UMC,66,25,immediate
BRB,HIC,0,0,adaptable_high_income
BRN,HIC,0,0,adaptable_high_income
BTN,LMC,0,0,near_term_deploy_anchor
BWA,UMC,0,0,near_term_deploy_anchor
CAF,LIC,0,0,near_term_deploy_anchor
CAN,HIC,272,35,adaptable_high_income
CHE,HIC,11,3,adaptable_high_income
CHI,HIC,0,0,adaptable_high_income
CHL,HIC,130,73,adaptable_high_income
CHN,UMC,1862,1119,immediate
CIV,LMC,1,1,immediate
CMR,LMC,0,0,near_term_deploy_anchor
COD,LIC,1,1,immediate
COG,LMC,0,0,near_term_deploy_anchor
COL,UMC,45,20,immediate
COM,LMC,0,0,near_term_deploy_anchor
CPV,UMC,0,0,near_term_deploy_anchor
CRI,HIC,1,1,adaptable_high_income
CUB,UMC,0,0,near_term_deploy_anchor
CUW,HIC,1,1,adaptable_high_income
CYM,HIC,0,0,adaptable_high_income
CYP,HIC,8,8,adaptable_high_income
CZE,HIC,63,48,adaptable_high_income
DEU,HIC,405,275,adaptable_high_income
DJI,LMC,0,0,near_term_deploy_anchor
DMA,UMC,0,0,near_term_deploy_anchor
DNK,HIC,0,0,adaptable_high_income
DOM,UMC,0,0,near_term_deploy_anchor
DZA,UMC,1,1,immediate
ECU,UMC,8,7,immediate
EGY,LMC,2,1,immediate
ERI,LIC,0,0,near_term_deploy_anchor
