country_code,n_monitors,n_cities,n_active_2023plus
US,2209,946,1626
CN,1862,1119,11
JP,1121,2,1121
KR,760,3,759
IN,655,413,546
ES,425,222,416
DE,405,275,391
FR,376,280,335
GB,291,135,183
CA,272,35,250
TH,267,110,245
IT,226,194,204
AU,220,101,133
MX,214,121,202
PL,201,158,146
TR,188,68,187
ZA,139,36,130
AT,131,91,131
CL,130,73,110
BE,121,66,115
TW,117,42,91
SE,100,37,90
RS,94,50,94
RO,79,27,79
SK,74,54,73
IE,69,38,69
BR,66,25,62
NL,65,38,59
CZ,63,48,57
NO,63,26,55
HU,57,44,57
PE,46,25,42
CO,45,20,19
VN,43,5,39
FI,35,21,33
GR,32,17,32
PT,30,16,30
MK,27,6,27
XK,25,19,20
BA,18,14,14
SI,18,18,18
NZ,16,14,16
HK,14,6,14
IS,12,5,11
MN,11,6,1
CH,11,3,11
GH,10,3,1
HR,9,9,9
KE,9,4,7
ID,8,6,5
MT,8,5,8
EC,8,7,0
CY,8,8,8
SG,7,3,5
LV,7,5,7
ME,7,6,7
TT,7,6,7
LT,6,6,6
EE,6,6,6
AR,5,3,2
SA,5,4,3
PK,5,3,5
BG,5,4,5
BD,4,4,1
NG,4,3,2
PR,4,3,3
LU,4,1,4
ET,4,3,3
AL,4,4,4
SD,3,2,3
GT,3,2,3
LA,3,3,3
RU,3,2,0
MY,3,3,3
MZ,3,2,3
IL,2,2,0
NP,2,1,2
KZ,2,1,2
LK,2,2,2
JO,2,2,2
TM,2,2,2
KG,2,2,2
AF,2,2,0
UG,2,2,1
TJ,2,2,2
IQ,2,2,2
PH,2,2,1
RW,2,2,2
EG,2,1,2
GI,1,1,1
CR,1,1,1
MM,1,1,1
BH,1,1,1
DZ,1,1,1
CW,1,1,1
AQ,1,1,0
ML,1,1,1
KW,1,1,1
TD,1,1,1
UZ,1,1,1
AD,1,1,1
CI,1,1,1
GN,1,1,1
MG,1,1,1
MD,1,1,1
QA,1,1,1
CD,1,1,1
AZ,1,1,1
AM,1,1,1
-99,1,1,1
BZ,1,1,1
AE,1,1,1
PY,1,1,1
MF,1,1,1
