lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
43.25484,76.96426,27.4,0.8,1.71,1453.2,0.678
43.22892,76.91748,27.4,0.8,1.39,1351.4,0.711
43.33390,76.94083,27.4,0.8,1.42,1252.8,0.690
43.24197,76.76138,27.4,0.8,1.15,189.1,0.550
43.21276,76.76223,27.4,0.8,1.23,154.3,0.532
43.25962,76.77337,27.4,0.8,1.29,164.1,0.524
43.17883,76.76869,22.3,0.65,1.21,152.6,0.321
43.33729,76.88223,22.4,0.65,0.14,833.2,0.609
43.18563,76.78218,22.2,0.65,1.38,166.5,0.294
43.20098,76.76385,22.2,0.65,1.23,138.4,0.312
43.21809,76.75224,22.2,0.65,1.29,154.4,0.306
43.17586,76.76387,23.6,0.65,1.21,152.6,0.344
43.29718,77.02599,28.1,0.8,0.98,112.5,0.576
43.34823,76.84196,22.3,0.65,1.40,173.1,0.293
43.29925,77.04832,28.8,0.8,1.14,104.3,0.563
43.30519,77.04330,22.7,0.65,1.14,123.1,0.334
43.25501,76.75604,27.4,0.8,1.06,142.5,0.557
43.30814,76.92288,27.4,0.8,0.96,1188.1,0.752
43.33483,76.94857,27.4,0.8,0.92,1246.0,0.768
43.23201,76.94684,27.6,0.8,1.31,1228.2,0.706
43.20619,76.87961,27.4,0.8,1.24,1359.8,0.737
43.30083,76.93426,27.8,0.8,0.77,1165.9,0.786
43.20436,76.89570,27.4,0.8,1.26,1453.1,0.749
43.22756,76.89761,27.4,0.8,1.08,1406.8,0.770
43.29568,76.93878,28.1,0.8,0.77,1237.8,0.803
43.26861,76.96461,27.4,0.8,1.43,1388.0,0.712
43.33978,76.96588,31.3,0.8,0.92,1090.3,0.810
43.23419,76.89430,22.2,0.65,1.24,1306.3,0.512
43.34437,76.98846,23.8,0.65,1.29,1300.4,0.531
43.19810,76.87673,22.7,0.65,1.24,1187.2,0.499
43.32201,76.95061,27.4,0.8,1.39,1189.1,0.684
43.25430,76.95162,27.4,0.8,1.71,1382.5,0.666
43.26044,76.88582,28.7,0.8,1.04,1153.9,0.756
43.31661,76.93776,27.4,0.8,1.25,1241.5,0.715
43.19928,76.79266,22.2,0.65,0.52,152.6,0.428
43.23991,76.91190,27.4,0.8,0.84,1334.7,0.797
43.19917,76.87628,22.5,0.65,1.24,1187.2,0.496
43.26243,76.95951,27.4,0.8,1.43,1392.2,0.713
43.29729,76.85120,22.2,0.65,1.21,1207.8,0.500
43.23310,76.91979,27.4,0.8,0.84,1295.4,0.790
43.20287,76.90199,22.6,0.65,1.26,1453.1,0.540
43.25608,76.94689,27.4,0.8,1.33,1382.5,0.726
43.33624,76.94388,27.4,0.8,1.42,1252.8,0.690
43.26846,76.86362,17.3,0.5,1.56,1136.5,0.220
43.21723,76.88660,22.2,0.65,1.08,1446.6,0.560
43.20046,76.88256,27.4,0.8,1.26,1359.8,0.733
43.25401,76.96737,27.4,0.8,1.71,1453.2,0.678
43.34993,76.99081,27.7,0.8,1.29,1300.4,0.725
43.23160,76.92437,27.4,0.8,0.84,1295.4,0.790
43.22586,76.96361,22.6,0.65,1.22,1333.1,0.526
43.33566,76.94669,22.2,0.65,1.42,1246.0,0.472
43.23537,76.87965,27.4,0.8,0.87,1377.4,0.798
43.25139,76.84759,28.6,0.8,1.05,266.0,0.601
43.21684,76.88903,27.4,0.8,1.08,1446.6,0.777
43.24845,76.93751,27.4,0.8,1.33,1325.3,0.716
43.25626,76.85165,27.7,0.8,1.05,266.0,0.585
43.35000,76.95599,27.4,0.8,1.52,334.2,0.517
43.25547,76.95945,27.4,0.8,1.71,1411.4,0.671
43.19934,76.87804,27.5,0.8,1.24,1301.9,0.728
43.23505,76.88640,27.4,0.8,1.24,1367.0,0.739
43.25381,76.87461,27.6,0.8,0.90,1309.9,0.786
43.20197,76.89813,27.6,0.8,1.26,1453.1,0.753
43.24817,76.93037,27.4,0.8,1.33,1328.5,0.717
43.24826,76.95557,27.4,0.8,1.71,1472.8,0.681
43.34132,76.98936,28.7,0.8,1.29,1221.8,0.729
43.21579,76.89677,27.4,0.8,1.08,1386.5,0.766
43.27420,76.83680,22.3,0.65,1.37,1171.8,0.469
43.19767,76.88416,27.8,0.8,1.26,1301.9,0.730
43.25390,76.93914,22.2,0.65,1.33,1300.4,0.496
43.19191,76.96725,17.1,0.5,1.22,1147.7,0.272
43.26073,76.87894,27.9,0.8,0.90,1258.3,0.783
43.22146,76.96376,22.2,0.65,1.22,1339.4,0.520
43.28455,76.88716,29.9,0.8,1.27,1270.3,0.761
43.20858,76.97249,27.4,0.8,1.37,1262.2,0.700
43.19948,76.79384,22.2,0.65,0.52,152.6,0.428
43.22859,76.90770,27.4,0.8,1.39,1298.9,0.702
43.22768,76.84087,27.9,0.8,1.15,262.5,0.571
43.26679,76.94569,27.7,0.8,1.28,1271.3,0.721
43.27022,76.95116,29.9,0.8,1.43,1271.3,0.736
43.22051,76.87579,27.4,0.8,0.86,1410.8,0.806
43.27236,76.98212,28.3,0.8,1.58,1457.6,0.715
43.19384,76.90633,27.4,0.8,1.39,1352.5,0.712
43.34573,76.95924,27.5,0.8,1.52,334.2,0.519
43.21056,76.87479,27.4,0.8,1.24,1308.8,0.728
43.22989,76.86243,27.4,0.8,0.87,1411.1,0.804
43.26835,76.98528,29.4,0.8,1.58,1457.6,0.734
43.28844,76.88309,27.5,0.8,1.27,1156.6,0.700
43.21881,76.94962,22.2,0.65,1.22,1200.3,0.496
43.31205,76.95591,25.2,0.65,1.39,1192.9,0.521
43.25002,76.85811,22.9,0.65,1.05,1049.4,0.510
43.22139,76.89369,22.2,0.65,1.08,1446.6,0.560
43.31418,76.96604,22.2,0.65,1.39,1212.9,0.472
43.23726,76.83304,22.3,0.65,1.27,250.4,0.328
43.24764,76.94828,27.4,0.8,1.71,1399.9,0.669
43.21511,76.87803,27.4,0.8,0.86,1390.9,0.802
43.30149,76.95908,27.5,0.8,1.02,1311.3,0.765
43.28876,76.97745,27.5,0.8,1.67,1355.2,0.670
43.23110,76.91586,27.4,0.8,0.84,1351.4,0.800
43.30005,76.86962,22.2,0.65,0.87,1142.9,0.543
43.22999,76.83858,27.7,0.8,1.14,262.5,0.571
43.33617,76.97711,27.9,0.8,1.14,1196.7,0.734
43.27757,76.98700,28.4,0.8,1.67,1338.5,0.683
43.22078,76.95387,27.4,0.8,1.22,1255.7,0.722
43.32534,76.96810,27.6,0.8,0.92,1141.5,0.753
43.22045,76.85875,27.5,0.8,1.15,1261.2,0.736
43.19904,76.90828,22.9,0.65,1.08,1352.5,0.557
43.24096,76.83064,22.9,0.65,1.27,250.4,0.338
43.21508,76.88725,22.2,0.65,1.08,1407.3,0.553
43.25109,76.83496,22.9,0.65,0.44,249.3,0.469
43.25402,76.97967,28.5,0.8,1.23,1419.7,0.768
