lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
37.90827,58.40818,14.8,0.65,0.74,2957.8,0.571
37.92497,58.41013,18.3,0.8,1.21,2630.8,0.669
37.90142,58.49703,18.2,0.8,1.30,193.2,0.447
37.89779,58.51855,14.8,0.65,0.51,147.1,0.377
37.95400,58.36152,18.3,0.8,0.99,2248.8,0.675
37.96425,58.33838,18.3,0.8,1.05,1682.7,0.618
37.96986,58.33776,15.6,0.65,1.05,158.7,0.302
37.97364,58.34138,15.6,0.65,1.05,158.7,0.302
37.99540,58.45797,14.9,0.65,0.32,81.6,0.406
37.88580,58.48317,15.6,0.65,0.03,127.8,0.479
37.88560,58.48342,15.5,0.65,0.03,127.8,0.477
37.96571,58.32737,15.7,0.65,0.88,143.6,0.333
37.96540,58.43497,14.8,0.65,1.18,2758.0,0.478
37.96592,58.43504,14.8,0.65,1.18,2680.8,0.471
37.97619,58.25707,18.7,0.8,0.10,140.8,0.665
37.94027,58.43751,18.8,0.8,0.91,2793.8,0.747
37.94924,58.39223,18.5,0.8,1.05,2529.1,0.692
38.01864,58.40200,16.0,0.65,0.83,168.6,0.351
37.94334,58.39788,19.7,0.8,1.29,2494.2,0.677
37.96934,58.32128,14.8,0.65,0.88,126.7,0.310
37.92068,58.37962,19.1,0.8,1.18,2907.2,0.716
37.97569,58.53555,14.8,0.65,0.34,41.2,0.398
37.92442,58.39874,18.4,0.8,1.07,2771.0,0.707
37.92158,58.40070,19.1,0.8,1.07,2759.4,0.722
37.92431,58.39487,18.6,0.8,1.07,2771.0,0.711
37.88015,58.35804,15.0,0.65,0.81,981.0,0.399
37.94929,58.35176,14.8,0.65,1.10,2119.0,0.437
37.94532,58.35037,18.2,0.8,1.10,2266.1,0.655
37.95633,58.35589,18.3,0.8,1.10,2119.0,0.645
37.95470,58.35426,18.2,0.8,1.10,2119.0,0.642
37.89722,58.34987,15.3,0.65,0.56,2382.5,0.565
37.89591,58.35997,16.5,0.65,1.45,2549.3,0.452
37.89941,58.33956,15.1,0.65,0.56,2724.1,0.589
37.90241,58.33102,15.1,0.65,0.73,2448.7,0.537
37.90950,58.34235,15.6,0.65,0.56,2781.3,0.605
37.89290,58.35918,15.5,0.65,0.56,2549.3,0.584
37.89140,58.33185,14.9,0.65,0.05,2140.6,0.625
37.91471,58.33896,15.1,0.65,0.68,2768.1,0.572
37.95524,58.40944,18.7,0.8,1.19,2934.5,0.706
37.92080,58.41975,19.0,0.8,1.21,2693.1,0.690
37.92088,58.42308,21.1,0.8,1.21,2693.1,0.740
37.93366,58.40563,18.6,0.8,1.13,2618.7,0.689
38.04893,58.21601,18.2,0.8,0.58,162.8,0.572
38.04583,58.21591,18.3,0.8,0.58,162.8,0.574
37.91513,58.34937,19.0,0.8,0.68,2781.3,0.790
37.93634,58.43708,18.6,0.8,0.91,2793.8,0.742
37.90563,58.38434,18.6,0.8,1.19,2976.0,0.708
37.95475,58.38176,18.5,0.8,1.05,2334.7,0.676
37.95257,58.35864,18.3,0.8,1.10,2119.0,0.645
37.91043,58.36857,19.9,0.8,1.18,2829.2,0.729
37.91527,58.41670,18.6,0.8,1.21,2980.3,0.705
37.91515,58.43397,18.2,0.8,1.08,3039.7,0.722
37.91340,58.42812,18.5,0.8,1.08,2975.5,0.724
37.91341,58.42978,18.3,0.8,1.08,2975.5,0.719
37.91896,58.43500,18.3,0.8,1.08,2966.0,0.719
37.89956,58.38224,19.1,0.8,1.19,2812.2,0.706
37.89951,58.38642,19.5,0.8,1.19,2976.0,0.729
37.90296,58.39405,18.4,0.8,1.19,3035.5,0.708
37.91348,58.41357,18.3,0.8,1.21,2980.3,0.698
37.95253,58.40071,18.3,0.8,1.05,2783.8,0.709
37.91269,58.40125,18.3,0.8,1.07,2957.8,0.720
37.91460,58.40132,18.4,0.8,1.07,2957.8,0.722
37.90890,58.41369,18.3,0.8,0.74,2980.3,0.781
37.91473,58.39393,18.6,0.8,1.07,2925.3,0.724
37.93620,58.42038,18.3,0.8,1.13,2784.4,0.696
37.92188,58.40991,18.6,0.8,1.21,2738.2,0.685
37.96121,58.40100,14.8,0.65,1.05,2928.2,0.513
37.94826,58.41211,18.8,0.8,1.19,2862.8,0.703
37.91748,58.36597,18.4,0.8,1.18,2982.3,0.706
37.89222,58.39461,15.1,0.65,1.19,2961.2,0.499
37.89983,58.39325,18.5,0.8,1.19,3035.5,0.711
37.88364,58.39204,15.1,0.65,0.81,2521.6,0.528
37.91531,58.41057,18.6,0.8,1.21,2980.3,0.705
37.96186,58.43579,18.3,0.8,1.18,2758.0,0.685
37.98713,58.39930,15.0,0.65,0.87,2856.5,0.544
37.95669,58.39332,18.2,0.8,1.05,2641.6,0.694
37.89844,58.38434,15.2,0.65,1.19,2768.4,0.485
37.90244,58.35308,11.7,0.5,0.56,2591.0,0.373
37.90472,58.45880,14.8,0.65,0.12,246.0,0.453
37.94972,58.41364,18.7,0.8,1.19,2934.5,0.706
37.94629,58.38501,19.2,0.8,1.05,2305.4,0.690
37.92135,58.38410,19.9,0.8,1.07,2781.5,0.743
37.89233,58.49593,14.8,0.65,1.30,182.7,0.241
37.91811,58.37770,18.6,0.8,1.18,2907.2,0.704
37.91795,58.37608,19.0,0.8,1.18,2907.2,0.714
37.98532,58.40844,19.3,0.8,0.96,2300.2,0.708
37.87870,58.36096,15.0,0.65,0.89,1978.6,0.467
37.90246,58.48821,11.5,0.5,1.07,199.8,0.081
37.90242,58.41916,11.6,0.5,0.74,3033.0,0.377
37.95870,58.32564,20.1,0.8,1.28,1575.4,0.611
37.92867,58.36622,18.9,0.8,0.61,2950.0,0.815
37.97702,58.43204,18.2,0.8,1.18,209.9,0.470
37.92240,58.41635,18.5,0.8,1.21,2738.2,0.682
37.93264,58.37107,18.9,0.8,0.61,2773.0,0.800
37.90148,58.50204,14.8,0.65,1.30,196.2,0.242
37.90737,58.50670,19.9,0.8,1.30,192.6,0.487
37.89779,58.41908,15.3,0.65,0.74,2581.0,0.552
37.89864,58.39328,15.1,0.65,1.19,2961.2,0.499
37.90762,58.47866,18.7,0.8,1.07,208.5,0.501
37.88610,58.52318,18.2,0.8,0.57,151.9,0.572
38.00441,58.40624,16.0,0.65,0.89,200.7,0.344
37.89441,58.36221,15.1,0.65,1.45,2549.3,0.419
37.94656,58.39922,18.4,0.8,1.05,2494.2,0.687
37.90355,58.37010,18.5,0.8,1.45,2789.1,0.644
37.91368,58.39391,18.6,0.8,1.07,2925.3,0.724
37.90746,58.38437,18.7,0.8,1.19,2911.2,0.705
37.92104,58.35284,19.3,0.8,0.68,2927.7,0.809
37.95664,58.36838,16.5,0.65,0.99,2274.3,0.510
37.95339,58.40773,18.7,0.8,1.19,2783.8,0.694
37.89272,58.40264,15.3,0.65,1.19,2879.1,0.497
37.89267,58.40985,15.3,0.65,0.74,2808.7,0.571
37.88762,58.40792,14.8,0.65,0.22,2380.7,0.614
