lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
51.00448,71.37251,9.2,0.5,0.79,242.6,0.277
51.12474,71.21573,12.0,0.65,0.83,148.8,0.435
51.24743,71.25399,12.0,0.65,0.06,60.1,0.426
51.28607,71.64505,9.2,0.5,1.27,122.5,0.117
51.11828,71.21286,12.0,0.65,0.90,137.9,0.418
51.21344,71.63009,14.8,0.8,0.08,87.3,0.700
51.05194,71.56685,12.0,0.65,0.43,195.2,0.518
51.08060,71.23333,12.0,0.65,0.53,125.0,0.442
51.19078,71.40231,9.2,0.5,1.42,304.6,0.275
51.18723,71.41830,12.0,0.65,1.25,305.2,0.542
51.17080,71.41724,14.8,0.8,1.32,309.2,0.788
51.10036,71.40981,12.0,0.65,0.83,254.1,0.534
51.16324,71.41611,14.8,0.8,1.11,301.2,0.802
51.17074,71.41587,12.0,0.65,1.32,309.2,0.538
51.13438,71.36982,12.0,0.65,0.27,269.5,0.603
51.17081,71.42495,14.8,0.8,1.32,307.3,0.786
51.17451,71.42947,14.8,0.8,1.32,307.3,0.786
51.15870,71.45422,14.8,0.8,1.20,320.5,0.811
51.17759,71.42042,12.0,0.65,1.32,309.2,0.538
51.17859,71.42730,14.8,0.8,1.32,287.6,0.768
51.20452,71.39767,14.8,0.8,0.91,302.1,0.821
51.10863,71.68574,12.0,0.65,0.42,198.5,0.522
51.18333,71.41870,12.0,0.65,1.25,291.4,0.529
51.14927,71.46143,14.8,0.8,1.38,320.1,0.793
51.11285,71.64471,14.8,0.8,0.49,229.8,0.795
51.19830,71.42453,14.8,0.8,0.99,296.1,0.808
51.14288,71.41517,12.0,0.65,1.16,298.8,0.544
51.14750,71.52551,12.0,0.65,0.78,242.1,0.528
51.13364,71.46390,12.0,0.65,0.92,310.6,0.579
51.15342,71.47122,12.0,0.65,1.10,317.9,0.569
51.16590,71.40959,12.0,0.65,1.04,309.9,0.567
51.11407,71.47593,12.0,0.65,0.77,305.5,0.589
51.14714,71.57901,12.0,0.65,0.82,274.2,0.554
51.12658,71.59518,14.8,0.8,0.53,286.3,0.844
51.17616,71.39967,14.8,0.8,1.04,310.2,0.817
51.20782,71.40089,12.0,0.65,0.93,302.1,0.570
51.04233,71.42863,12.0,0.65,1.26,281.9,0.518
51.14067,71.37209,12.0,0.65,0.35,224.2,0.553
51.12848,71.25461,12.0,0.65,0.85,176.8,0.459
51.15731,71.50346,12.0,0.65,1.15,292.9,0.540
51.17442,71.44823,14.8,0.8,1.36,286.9,0.763
51.14983,71.46643,14.8,0.8,1.38,317.5,0.791
51.10666,71.44131,14.8,0.8,0.91,296.7,0.816
51.14313,71.48145,12.0,0.65,0.93,294.9,0.563
51.14053,71.37189,12.0,0.65,0.35,224.2,0.553
51.14532,71.46636,12.0,0.65,1.38,317.5,0.541
51.20098,71.36496,12.0,0.65,0.97,276.4,0.542
51.17236,71.38546,12.0,0.65,0.85,281.9,0.558
51.19167,71.41270,14.8,0.8,1.25,309.9,0.796
51.14274,71.38513,9.2,0.5,0.35,290.1,0.365
51.16698,71.43245,14.8,0.8,1.32,311.4,0.790
51.15303,71.47531,14.8,0.8,1.10,317.9,0.819
51.19968,71.45423,14.8,0.8,0.77,253.1,0.789
51.15017,71.51772,12.0,0.65,1.43,242.4,0.465
51.16977,71.37930,12.0,0.65,0.85,272.7,0.550
51.19178,71.37954,14.8,0.8,1.68,300.6,0.746
51.13169,71.43472,12.0,0.65,0.82,317.8,0.595
51.19839,71.38860,14.8,0.8,1.67,303.9,0.749
51.11585,71.43755,12.0,0.65,0.81,306.5,0.586
51.09973,71.41463,12.0,0.65,0.89,267.6,0.541
51.12336,71.51985,14.8,0.8,0.93,295.8,0.814
51.15803,71.48476,14.8,0.8,1.37,306.4,0.781
51.18588,71.37747,14.8,0.8,1.68,300.8,0.746
51.19763,71.33694,12.0,0.65,0.81,271.2,0.553
51.13742,71.47652,12.0,0.65,0.92,296.9,0.566
51.15617,71.49332,12.0,0.65,1.37,294.9,0.521
51.15519,71.44155,14.8,0.8,1.20,315.3,0.806
51.16739,71.40478,14.8,0.8,1.04,309.9,0.817
51.12332,71.48328,9.2,0.5,0.34,280.8,0.357
51.12159,71.49506,9.2,0.5,0.34,288.1,0.364
51.16715,71.44510,12.0,0.65,1.36,309.2,0.534
51.11038,71.43501,9.2,0.5,0.91,306.5,0.326
51.18130,71.40218,14.8,0.8,1.42,311.5,0.781
51.12108,71.41693,12.0,0.65,1.02,291.8,0.551
51.16154,71.43896,14.8,0.8,1.20,309.2,0.800
51.19590,71.39892,14.8,0.8,0.91,304.7,0.824
51.15192,71.50357,12.0,0.65,1.15,271.9,0.520
51.12947,71.36517,12.0,0.65,0.78,269.5,0.553
51.19909,71.42656,14.8,0.8,0.99,296.1,0.808
51.09631,71.44012,12.0,0.65,0.73,299.9,0.587
51.15967,71.43124,14.8,0.8,1.11,320.2,0.820
51.17818,71.40770,12.0,0.65,1.04,299.1,0.557
51.17093,71.40177,12.0,0.65,1.04,310.2,0.567
51.18112,71.47205,14.8,0.8,0.97,307.6,0.821
51.11190,71.42863,12.0,0.65,1.02,282.9,0.543
51.18664,71.34469,12.0,0.65,1.27,272.2,0.508
51.19905,71.38207,14.8,0.8,1.67,301.8,0.747
51.16595,71.45646,12.0,0.65,0.80,319.1,0.599
51.18078,71.47192,14.8,0.8,0.97,307.6,0.821
51.16778,71.38470,9.2,0.5,0.85,288.6,0.315
51.17890,71.33917,14.8,0.8,0.94,290.5,0.808
51.16119,71.40697,14.8,0.8,0.91,309.9,0.829
51.12517,71.50307,12.0,0.65,1.83,287.7,0.469
51.12164,71.51968,14.8,0.8,0.93,295.8,0.814
51.12067,71.50700,12.0,0.65,0.93,291.7,0.560
51.16342,71.45582,14.8,0.8,1.10,319.1,0.820
51.07301,71.43717,12.0,0.65,-0.74,222.8,0.658
51.12123,71.41708,12.0,0.65,1.02,291.8,0.551
51.14651,71.38377,12.0,0.65,0.35,284.7,0.610
51.26849,71.66224,12.0,0.65,0.92,55.4,0.338
51.16464,71.40249,12.0,0.65,0.91,303.8,0.574
51.13139,71.46230,12.0,0.65,0.92,311.6,0.580
51.11361,71.45932,12.0,0.65,0.77,305.3,0.589
51.11591,71.48959,12.0,0.65,0.34,317.3,0.642
51.19157,71.38040,14.8,0.8,1.68,300.6,0.746
