lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
41.31543,69.39042,24.7,0.65,0.45,185.0,0.365
41.36062,69.43320,24.6,0.65,1.00,130.4,0.293
41.31376,69.10588,30.3,0.8,0.42,181.0,0.586
41.30335,69.11015,24.6,0.65,0.98,190.8,0.297
41.27944,69.11858,24.6,0.65,0.97,124.6,0.296
41.30747,69.13324,24.6,0.65,1.38,171.4,0.248
41.33078,69.15134,30.3,0.8,0.99,158.5,0.516
41.33561,69.11148,30.3,0.8,1.16,151.1,0.495
41.24706,69.15501,30.3,0.8,0.83,159.0,0.535
41.25291,69.15022,30.4,0.8,0.83,161.4,0.537
41.24325,69.14555,30.3,0.8,1.04,151.5,0.509
41.22255,69.10619,30.3,0.8,0.81,142.5,0.537
41.19278,69.15203,27.4,0.65,0.69,156.1,0.378
41.18660,69.15525,24.7,0.65,0.69,143.4,0.333
41.20244,69.16441,25.9,0.65,0.96,141.2,0.320
41.17372,69.15980,30.3,0.8,0.62,174.5,0.562
41.24308,69.14197,24.6,0.65,1.04,154.0,0.288
41.20808,69.18532,25.5,0.65,0.64,105.0,0.351
41.17923,69.13334,31.0,0.8,1.09,178.9,0.516
41.17025,69.12539,25.6,0.65,0.93,168.7,0.320
41.17244,69.20674,25.1,0.65,0.14,2587.8,0.511
41.20382,69.13955,30.3,0.8,1.00,115.3,0.512
41.21819,69.16195,30.3,0.8,0.41,141.7,0.587
41.17025,69.12539,25.6,0.65,0.93,168.7,0.320
41.33152,69.13156,30.3,0.8,1.04,129.9,0.508
41.20587,69.12100,25.0,0.65,0.80,147.0,0.325
41.22713,69.12485,24.6,0.65,0.81,147.3,0.317
41.19954,69.15912,33.5,0.8,0.96,143.4,0.573
41.28019,69.10251,24.6,0.65,0.97,162.8,0.297
41.30748,69.13743,30.3,0.8,1.38,172.6,0.468
41.37139,69.38134,24.6,0.65,0.95,212.9,0.302
41.38411,69.35812,30.3,0.8,1.27,218.5,0.484
41.36644,69.41250,30.8,0.8,1.00,206.4,0.525
41.39106,69.39907,30.3,0.8,0.57,178.0,0.568
41.37736,69.43381,32.7,0.8,0.55,175.1,0.610
41.40272,69.44426,24.6,0.65,0.85,215.0,0.315
41.34839,69.43244,30.3,0.8,0.91,141.0,0.525
41.36015,69.34483,30.6,0.8,1.19,229.5,0.500
41.41582,69.42646,30.3,0.8,0.69,185.2,0.554
41.39937,69.36553,19.0,0.5,0.53,225.8,0.136
41.35648,69.35407,31.0,0.8,1.32,222.3,0.490
41.38565,69.41374,24.6,0.65,0.76,162.6,0.324
41.39301,69.35281,30.3,0.8,1.27,231.6,0.484
41.40700,69.30804,31.8,0.8,0.99,218.5,0.544
41.29824,69.39204,30.3,0.8,0.77,220.2,0.546
41.39896,69.33699,24.6,0.65,0.67,222.0,0.337
41.38565,69.41374,24.6,0.65,0.76,162.6,0.324
41.40888,69.39683,30.3,0.8,0.86,154.0,0.531
41.41606,69.36281,24.6,0.65,0.69,144.6,0.331
41.15442,69.24867,30.3,0.8,0.57,3347.7,0.704
41.18630,69.44025,30.3,0.8,0.68,96.3,0.551
41.17244,69.41116,26.2,0.65,0.05,82.6,0.434
41.23683,69.37180,24.7,0.65,1.18,215.1,0.276
41.41949,69.26739,24.6,0.65,0.58,194.3,0.347
41.40631,69.21912,24.6,0.65,1.10,200.8,0.283
41.40036,69.19476,24.7,0.65,1.06,204.6,0.290
41.40564,69.26703,24.6,0.65,0.84,197.7,0.315
41.40133,69.28438,24.6,0.65,1.13,201.9,0.280
41.38500,69.32184,25.0,0.65,1.02,219.5,0.301
41.41646,69.31069,32.0,0.8,1.10,230.6,0.534
41.36935,69.16686,24.6,0.65,0.61,170.3,0.342
41.37802,69.24239,24.6,0.65,1.21,201.8,0.271
41.40848,69.19148,30.3,0.8,0.90,213.4,0.529
41.41380,69.19481,30.5,0.8,0.74,221.2,0.553
41.39619,69.20457,26.8,0.65,1.06,183.6,0.324
41.22752,69.40245,27.8,0.65,0.35,147.3,0.426
41.27806,69.44678,32.3,0.8,0.59,161.9,0.598
41.25578,69.42922,30.3,0.8,0.52,198.3,0.575
41.22441,69.40576,31.0,0.8,0.35,156.5,0.605
41.32355,69.44538,25.9,0.65,0.55,168.4,0.371
41.18542,69.44025,30.3,0.8,0.68,159.8,0.554
41.18395,69.35546,30.3,0.8,-0.03,94.5,0.638
41.15785,69.35546,24.6,0.65,0.48,98.5,0.355
41.22998,69.37519,26.2,0.65,1.18,213.9,0.301
41.18679,69.42786,24.6,0.65,0.33,99.4,0.374
41.18179,69.11048,24.6,0.65,0.94,132.0,0.300
41.18144,69.22784,30.3,0.8,0.97,4237.8,0.693
41.20746,69.10676,24.7,0.65,0.80,168.1,0.321
41.19046,69.12672,24.6,0.65,1.09,179.7,0.283
41.15924,69.11429,31.1,0.8,0.59,163.8,0.578
41.16106,69.10834,30.4,0.8,0.59,133.7,0.565
41.16231,69.18798,30.3,0.8,-0.05,2304.9,0.736
41.23364,69.33899,30.7,0.8,0.85,238.1,0.543
41.23387,69.35070,30.3,0.8,0.90,222.2,0.529
41.25324,69.22359,30.4,0.8,1.20,179.5,0.493
41.25324,69.37663,30.5,0.8,0.75,228.7,0.551
41.25050,69.30492,24.7,0.65,1.36,192.6,0.253
41.27725,69.29022,30.3,0.8,1.06,168.6,0.508
41.28464,69.28976,30.3,0.8,1.09,174.0,0.504
41.28215,69.27280,31.1,0.8,1.28,179.3,0.494
41.29577,69.28089,31.5,0.8,0.78,184.7,0.562
41.30436,69.27139,25.2,0.65,1.07,190.0,0.297
41.24681,69.30321,25.1,0.65,1.36,192.6,0.259
41.27385,69.27565,30.5,0.8,1.25,172.9,0.488
41.26863,69.29851,30.3,0.8,1.06,165.6,0.508
41.27460,69.29539,30.3,0.8,1.06,175.3,0.508
41.27571,69.28693,30.3,0.8,1.06,168.6,0.508
41.24302,69.32452,31.1,0.8,0.85,204.6,0.549
41.25726,69.31535,30.8,0.8,1.36,191.0,0.480
41.24662,69.31452,30.8,0.8,1.36,191.0,0.480
41.25054,69.30908,30.4,0.8,1.36,192.6,0.473
41.28182,69.28987,30.3,0.8,1.09,174.0,0.504
41.29335,69.27121,33.7,0.8,1.28,182.9,0.538
41.29693,69.27769,31.8,0.8,1.07,184.7,0.533
41.23654,69.23541,24.7,0.65,1.00,156.4,0.295
41.31732,69.29862,31.4,0.8,1.27,185.7,0.501
41.34158,69.33356,33.9,0.8,1.12,246.8,0.564
41.35980,69.38953,27.8,0.65,1.59,247.1,0.280
41.34838,69.35171,32.1,0.8,1.32,226.5,0.509
41.31375,69.28288,32.2,0.8,1.27,192.8,0.515
41.31109,69.29276,31.0,0.8,1.27,182.1,0.494
41.32342,69.31796,33.3,0.8,1.16,212.5,0.547
41.32021,69.34735,30.3,0.8,1.19,238.0,0.495
41.33121,69.37259,31.4,0.8,0.96,217.2,0.541
41.32563,69.30299,30.5,0.8,1.16,184.0,0.499
41.31795,69.32198,31.0,0.8,1.16,231.5,0.510
41.34920,69.34312,30.5,0.8,1.19,232.8,0.498
41.34646,69.36613,30.7,0.8,1.32,233.7,0.486
41.33532,69.36037,30.3,0.8,1.39,233.5,0.470
41.33685,69.37317,19.1,0.5,0.96,216.6,0.084
41.35946,69.39224,19.6,0.5,0.85,247.1,0.108
41.35461,69.38813,30.5,0.8,1.59,247.1,0.450
41.32194,69.35527,24.8,0.65,1.19,228.1,0.278
41.35846,69.36216,30.6,0.8,1.32,245.4,0.484
41.33105,69.32755,31.1,0.8,1.12,240.4,0.517
41.35476,69.38329,30.7,0.8,1.59,261.3,0.454
41.34840,69.38626,30.3,0.8,1.59,229.4,0.446
41.34226,69.38874,30.3,0.8,0.96,198.1,0.522
41.33707,69.37404,24.9,0.65,0.96,216.6,0.307
41.33567,69.35325,19.0,0.5,1.39,233.5,0.030
41.34361,69.36194,32.4,0.8,1.39,225.1,0.504
41.33957,69.23244,33.4,0.8,1.03,183.3,0.563
41.36863,69.20132,24.7,0.65,1.22,186.4,0.270
41.37272,69.23817,24.6,0.65,0.81,182.3,0.318
41.33585,69.24762,30.5,0.8,1.07,189.7,0.511
41.33592,69.23344,33.9,0.8,1.03,191.3,0.572
41.27407,69.22173,30.3,0.8,1.13,190.4,0.500
41.35826,69.18383,30.3,0.8,1.32,179.3,0.476
41.33616,69.21860,25.5,0.65,1.03,169.8,0.305
41.33923,69.22323,32.9,0.8,1.03,175.7,0.555
41.34176,69.24999,31.9,0.8,1.07,191.2,0.535
41.35479,69.23793,30.4,0.8,1.19,182.2,0.494
41.36854,69.19868,30.4,0.8,1.22,186.4,0.490
41.33699,69.24917,30.7,0.8,1.07,191.2,0.515
41.34642,69.24525,31.6,0.8,1.19,189.2,0.514
41.36396,69.23158,30.4,0.8,1.38,177.3,0.471
41.35280,69.23260,30.6,0.8,1.48,182.4,0.462
41.35977,69.22121,30.7,0.8,1.48,173.1,0.463
41.35994,69.22003,30.5,0.8,1.48,173.1,0.460
41.36985,69.21877,30.4,0.8,1.38,187.6,0.471
41.34493,69.22287,30.5,0.8,1.48,172.7,0.460
41.35767,69.23353,30.4,0.8,1.48,178.8,0.458
41.36970,69.20869,24.6,0.65,1.22,190.4,0.268
41.37009,69.21076,30.3,0.8,1.22,190.4,0.489
41.34291,69.20760,26.1,0.65,1.22,158.8,0.292
41.35556,69.19138,30.4,0.8,1.32,174.0,0.478
41.35289,69.18481,30.7,0.8,1.32,179.3,0.483
