priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
1,292-sonli umumiy o’rta ta’lim maktabi,41.17738,69.24700,1233,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.58,4581.7,0.756,262,YES,YES
2,346-sonli umumiy o'rta ta'lim maktabi,41.21623,69.32390,876,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.07,5905.3,0.753,277,YES,YES
3,336-sonli umumiy o`rta ta'lim maktabi,41.18734,69.27654,2091,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.28,3618.9,0.751,264,YES,YES
4,11-sonli umumiy o'rta ta'lim maktabi,41.16231,69.18798,2120,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,-0.05,2304.9,0.736,255,YES,YES
5,"269,Tashkent,Sergeli",41.20770,69.22488,48,pre-1992 (Soviet-era),0.8,33.2,51.8,YES,6.6,1.08,4346.4,0.733,12,YES,no
6,54-sonli umumiy o'rta ta'lim maktabi,41.18819,69.32885,147,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,0.73,3840.7,0.731,48,YES,YES
7,38-sonli umumiy o'rta ta'lim maktabi,41.18675,69.31679,257,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,0.6,3402.1,0.714,92,YES,YES
8,351-sonli umumiy o'rta ta'lim maktabi,41.22496,69.29034,1773,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.77,4012.3,0.709,250,YES,YES
9,37-sonli umumiy o'rta ta'lim maktabi,41.15442,69.24867,1276,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.57,3347.7,0.704,318,YES,YES
10,6-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.21009,69.22444,299,pre-1992 (Soviet-era),0.8,30.9,48.2,YES,6.2,1.08,4346.4,0.695,104,YES,YES
11,264-sonli umumiy o'rta ta'lim maktabi,41.20095,69.25057,1610,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.96,4213.0,0.694,303,YES,YES
12,2-sonli umumiy o’rta ta’lim maktabi,41.19984,69.22257,612,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.08,4531.8,0.694,222,YES,YES
