lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
42.92049,74.61681,23.4,0.65,1.39,80.0,0.257
42.83004,74.61588,28.6,0.8,1.21,819.4,0.532
42.81841,74.63083,28.7,0.8,1.31,111.4,0.486
42.91579,74.56968,29.2,0.8,0.99,83.5,0.534
42.93656,74.60596,28.9,0.8,1.09,123.5,0.517
42.93650,74.62521,23.1,0.65,1.25,90.0,0.270
42.92830,74.63204,24.2,0.65,1.25,87.5,0.289
42.88477,74.56292,31.4,0.8,1.30,4339.9,0.748
42.86338,74.47808,17.8,0.5,0.88,77.8,0.098
42.93750,74.58949,28.5,0.8,0.89,60.9,0.534
42.80383,74.55383,23.1,0.65,0.89,33.4,0.312
42.90655,74.61031,29.7,0.8,1.30,129.9,0.506
42.92367,74.59135,23.1,0.65,1.26,82.1,0.268
42.84131,74.51896,23.4,0.65,1.10,104.5,0.295
42.85285,74.50471,23.2,0.65,1.22,106.2,0.276
42.84883,74.58961,29.2,0.8,1.23,3766.3,0.689
42.88187,74.52615,28.5,0.8,1.06,86.7,0.513
42.84678,74.59586,28.8,0.8,1.23,3465.2,0.666
42.90778,74.63789,28.6,0.8,1.18,76.7,0.499
42.91742,74.63460,23.4,0.65,0.79,39.6,0.330
42.80919,74.70882,28.5,0.8,0.75,49.2,0.550
42.80780,74.65377,23.2,0.65,1.20,72.1,0.277
42.88491,74.65675,28.8,0.8,1.42,134.4,0.475
42.88123,74.67391,28.6,0.8,0.82,111.4,0.546
42.90606,74.67493,28.5,0.8,0.36,52.3,0.599
42.94623,74.70035,23.1,0.65,-0.09,89.8,0.438
42.92988,74.65443,23.1,0.65,0.69,37.0,0.338
42.92282,74.57007,24.5,0.65,0.99,61.3,0.325
42.92567,74.60329,28.5,0.8,1.09,143.8,0.511
42.92567,74.60329,28.5,0.8,1.09,143.8,0.511
42.90203,74.55264,23.1,0.65,1.19,118.6,0.279
42.93109,74.57200,24.1,0.65,0.30,43.7,0.405
42.86860,74.72982,30.6,0.8,0.45,80.4,0.626
42.87313,74.71018,23.3,0.65,0.78,73.2,0.332
42.80385,74.74406,28.5,0.8,0.72,34.3,0.552
42.94052,74.72698,28.5,0.8,0.14,54.3,0.626
42.94460,74.48479,29.3,0.8,1.05,80.9,0.527
42.78063,74.45803,23.1,0.65,-0.35,28.9,0.468
42.87504,74.46840,24.8,0.65,0.88,62.1,0.345
42.87809,74.48319,28.8,0.8,0.75,92.1,0.557
42.79458,74.51240,23.1,0.65,0.91,41.0,0.310
42.83490,74.52370,28.5,0.8,1.10,75.8,0.508
42.87183,74.54438,28.7,0.8,1.25,2960.9,0.637
42.87909,74.58537,29.2,0.8,0.96,3867.3,0.728
42.86453,74.56328,30.7,0.8,0.93,4015.0,0.766
42.87057,74.57362,25.0,0.65,0.93,4927.5,0.587
42.80601,74.55975,23.1,0.65,0.89,76.1,0.314
42.85437,74.54189,28.5,0.8,1.45,1470.6,0.534
42.82416,74.56194,23.2,0.65,1.44,140.2,0.250
42.86236,74.54470,29.3,0.8,1.25,3171.3,0.658
42.87187,74.55787,28.6,0.8,0.93,4315.3,0.744
42.81063,74.54867,23.1,0.65,0.70,53.6,0.337
42.84113,74.56395,23.5,0.65,1.64,3415.1,0.396
42.83448,74.56732,23.2,0.65,1.64,1124.9,0.275
42.86058,74.53767,28.7,0.8,1.25,327.1,0.504
42.81016,74.53503,23.1,0.65,0.70,59.9,0.338
42.87254,74.58020,28.8,0.8,1.51,4266.5,0.672
42.86846,74.58319,29.0,0.8,1.51,4086.9,0.666
42.85812,74.57863,28.5,0.8,1.23,4344.1,0.705
42.87942,74.57445,30.8,0.8,1.30,4986.4,0.770
42.87363,74.55785,23.3,0.65,0.93,4315.3,0.527
42.80000,74.50000,23.1,0.65,0.12,22.0,0.408
42.85058,74.53944,28.5,0.8,1.45,172.8,0.468
42.82047,74.54927,23.2,0.65,0.80,96.1,0.329
42.83315,74.56543,23.4,0.65,1.64,358.9,0.240
42.85144,74.57970,23.2,0.65,1.23,4322.6,0.487
42.81067,74.58283,23.1,0.65,1.14,56.0,0.282
42.87355,74.60809,29.2,0.8,1.42,3710.9,0.663
42.87801,74.54774,29.6,0.8,1.47,2960.9,0.625
42.89028,74.57063,28.8,0.8,1.30,3844.5,0.677
42.87695,74.53751,29.6,0.8,1.47,376.0,0.495
42.89079,74.54856,24.8,0.65,1.47,187.9,0.276
42.84593,74.59847,29.0,0.8,0.98,2912.0,0.674
42.89489,74.59206,28.5,0.8,1.52,3914.9,0.648
42.87597,74.60248,26.3,0.65,1.44,3552.0,0.476
42.84054,74.62698,29.8,0.8,1.16,324.0,0.535
42.88922,74.55627,28.7,0.8,1.30,2483.8,0.607
42.85856,74.60676,29.8,0.8,0.98,4661.9,0.777
42.85514,74.60406,29.4,0.8,0.98,4661.9,0.770
42.85698,74.60415,32.1,0.8,0.98,4661.9,0.817
42.84530,74.58171,29.7,0.8,1.23,3717.0,0.695
42.88945,74.55662,28.6,0.8,1.30,2483.8,0.605
42.85562,74.61523,24.6,0.65,0.98,4915.6,0.573
42.90438,74.59454,28.5,0.8,1.52,3077.0,0.605
42.83290,74.62675,23.4,0.65,1.16,124.1,0.288
42.83865,74.62645,28.9,0.8,1.16,324.0,0.520
