lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
38.56093,68.79782,35.4,0.65,1.81,5644.1,0.428
38.51488,68.75688,42.9,0.8,1.11,1334.2,0.646
38.56126,68.74240,36.5,0.65,1.74,6499.6,0.488
38.56068,68.74289,36.1,0.65,1.74,6499.6,0.483
38.55523,68.75052,43.0,0.8,1.74,6313.8,0.690
38.56054,68.80235,27.0,0.5,1.81,5644.1,0.194
38.53609,68.75871,35.2,0.65,1.32,6353.4,0.557
38.56556,68.78707,35.2,0.65,1.07,6205.4,0.605
38.54770,68.76122,45.5,0.8,1.32,6256.7,0.811
38.57606,68.79220,42.8,0.8,1.07,7306.0,0.868
38.57431,68.79099,43.1,0.8,1.07,6867.9,0.856
38.58278,68.71164,27.2,0.5,1.11,824.0,0.176
38.58640,68.72625,34.8,0.65,1.11,978.0,0.404
38.58758,68.72293,34.7,0.65,1.11,978.0,0.403
38.56461,68.79392,44.0,0.8,1.29,6205.4,0.796
38.56589,68.79872,43.6,0.8,1.34,5644.1,0.761
38.57192,68.79404,43.1,0.8,1.07,6867.9,0.856
38.57766,68.73024,42.8,0.8,1.35,2748.5,0.645
38.55504,68.84841,35.6,0.65,1.47,595.9,0.323
38.53794,68.75152,34.7,0.65,1.03,6463.8,0.617
38.58647,68.72646,34.8,0.65,1.11,978.0,0.404
38.58805,68.78381,43.4,0.8,1.56,6606.8,0.744
38.60482,68.78727,28.7,0.5,1.47,841.8,0.118
38.60744,68.78452,35.5,0.65,1.47,976.6,0.336
38.59033,68.79007,35.1,0.65,1.56,6588.6,0.511
38.58807,68.79622,42.7,0.8,1.56,2990.5,0.605
38.57970,68.79635,42.7,0.8,1.07,5724.7,0.810
38.58795,68.74588,42.8,0.8,1.40,5000.8,0.713
38.56295,68.74074,46.1,0.8,1.74,6499.6,0.737
38.57782,68.73371,34.7,0.65,1.77,2748.5,0.324
38.56045,68.82091,35.5,0.65,1.25,635.2,0.370
38.55856,68.79597,26.7,0.5,1.29,4424.2,0.259
38.55838,68.79751,42.8,0.8,1.81,4424.2,0.604
38.58117,68.79389,42.7,0.8,1.07,7306.0,0.866
38.50888,68.73517,42.7,0.8,1.16,740.7,0.613
38.53151,68.74791,42.7,0.8,1.03,4505.8,0.776
