lat,lon,rwi
43.3171844,77.0251465,0.024
43.3331689,77.0031738,0.948
43.1891572,76.9592285,1.224
43.1731348,76.7834473,1.027
43.3171844,77.0031738,0.354
43.2051753,77.0471191,0.131
43.3011957,76.9372559,0.768
43.3331689,76.9592285,0.924
43.3011957,76.9152832,0.961
43.2211892,76.8493652,1.154
43.3171844,76.7614746,-0.167
43.3491491,76.8713379,1.051
43.2051753,76.8493652,1.351
43.3011957,77.0251465,0.985
43.3491491,76.7614746,0.580
43.1571083,76.7834473,0.667
43.3331689,76.9372559,1.422
43.2371989,76.9592285,1.465
43.2532044,76.9152832,1.360
43.1731348,76.9812012,1.132
43.1891572,76.8933105,1.488
43.2692057,76.9812012,1.585
43.2692057,76.8493652,1.398
43.3491491,76.9812012,1.287
43.3491491,77.0471191,0.835
43.3011957,76.8273926,0.379
43.2852028,76.8713379,1.590
43.3491491,76.9592285,1.519
43.2852028,77.0251465,1.012
43.2211892,77.0471191,0.239
43.1731348,76.7614746,1.205
43.3331689,77.0251465,0.391
43.2692057,76.8933105,1.319
43.1891572,76.8713379,1.113
43.3011957,77.0471191,1.136
43.2371989,76.8933105,1.237
43.2532044,77.0031738,0.884
43.3331689,76.9152832,1.355
43.2852028,76.7614746,-0.341
43.1731348,76.8054199,1.588
43.2692057,76.9372559,1.278
43.2371989,76.8713379,0.872
43.2852028,77.0031738,1.374
43.2371989,76.7834473,1.015
43.3331689,76.8493652,1.093
43.3011957,76.7834473,0.411
43.2371989,76.8054199,1.089
43.3011957,76.8933105,1.076
43.2532044,76.8933105,1.041
43.1891572,76.8493652,1.285
43.2371989,77.0471191,-0.247
43.1891572,77.0471191,-0.233
43.2051753,76.8933105,1.265
43.2371989,76.9372559,1.314
43.2051753,76.7834473,0.517
43.2852028,76.8933105,1.268
43.2371989,76.8273926,1.268
43.2852028,77.0471191,0.128
43.1571083,76.8713379,0.798
43.1571083,77.0251465,-0.626
43.2211892,76.7614746,1.287
43.3171844,76.8054199,0.291
43.1891572,76.8054199,1.400
43.1891572,77.0031738,1.085
43.2532044,76.9372559,1.333
43.3171844,76.9152832,1.226
43.1891572,76.9152832,1.393
43.2532044,76.9592285,1.713
43.2532044,76.7834473,1.291
43.2692057,77.0251465,-0.163
43.2211892,76.9372559,1.213
43.1731348,76.9372559,-0.283
43.1731348,76.9592285,1.512
43.1571083,76.8054199,0.921
43.1571083,76.8273926,0.269
43.3011957,77.0031738,0.643
43.2852028,76.8273926,1.142
