lat,lon,rwi
37.9008646,58.4143066,0.736
38.0221310,58.5241699,-0.623
37.8835245,58.4362793,-0.544
38.0221310,58.3044434,-0.142
37.9875039,58.3044434,0.131
37.9355326,58.4143066,1.127
37.9875039,58.2385254,0.833
37.8835245,58.2385254,0.031
37.9701842,58.5241699,0.336
38.0048195,58.4802246,-0.438
38.0048195,58.2604980,-0.008
38.0048195,58.5461426,0.049
38.0048195,58.3923340,0.225
37.9528604,58.4582520,0.019
37.9528604,58.3483887,1.103
37.8661803,58.5461426,-0.563
38.0048195,58.2385254,-0.207
37.8661803,58.3044434,-0.390
37.8835245,58.3044434,0.156
37.9008646,58.3264160,0.732
37.8835245,58.4582520,0.295
37.8835245,58.5241699,0.569
37.9008646,58.4582520,0.123
37.9875039,58.2165527,-0.393
37.9182006,58.3703613,1.177
37.9701842,58.3703613,0.812
37.9875039,58.5021973,0.804
37.9355326,58.3264160,0.662
37.9701842,58.4582520,-0.779
37.9528604,58.4802246,0.445
37.8835245,58.4802246,0.025
37.8661803,58.2165527,0.261
37.9875039,58.3483887,0.169
37.9875039,58.5241699,-0.263
37.9701842,58.2165527,0.870
37.8661803,58.3923340,0.071
37.9875039,58.2604980,0.093
37.9008646,58.3703613,1.451
37.9355326,58.4802246,-0.199
38.0221310,58.2385254,0.572
37.9182006,58.5021973,0.639
37.9875039,58.4143066,0.963
38.0394384,58.2165527,0.576
37.9528604,58.3923340,1.054
37.8835245,58.3923340,0.814
37.9528604,58.4143066,1.193
37.9528604,58.5241699,-0.372
38.0048195,58.5241699,0.186
38.0394384,58.3044434,0.178
37.9875039,58.4802246,0.437
37.9355326,58.2824707,0.025
37.9182006,58.3264160,0.431
37.9701842,58.4802246,-0.044
37.9701842,58.5021973,-0.151
37.9528604,58.2385254,-0.134
38.0221310,58.3703613,-0.007
38.0048195,58.3044434,0.743
38.0221310,58.2165527,-0.194
38.0221310,58.3264160,-0.328
37.9701842,58.4362793,1.176
37.9355326,58.3923340,1.287
37.9008646,58.4802246,1.067
37.9182006,58.4143066,1.209
37.9355326,58.4362793,0.908
38.0394384,58.2824707,0.196
37.9182006,58.2385254,-0.125
38.0048195,58.4362793,-0.076
37.9528604,58.2165527,0.392
37.9182006,58.3483887,0.684
37.8835245,58.3483887,0.808
38.0221310,58.4362793,0.487
37.9528604,58.5021973,0.516
38.0221310,58.4143066,0.673
37.9008646,58.4362793,-0.051
37.9875039,58.4362793,0.264
38.0394384,58.4143066,0.312
38.0221310,58.3923340,0.827
37.8835245,58.5021973,0.825
37.9182006,58.4582520,0.308
38.0394384,58.3264160,-0.138
37.9355326,58.3703613,0.608
37.9182006,58.5461426,-0.303
38.0048195,58.4143066,0.885
37.9875039,58.5461426,0.054
37.8661803,58.2385254,0.359
37.9008646,58.2604980,0.377
37.9701842,58.3483887,1.048
38.0221310,58.2824707,0.009
37.9875039,58.4582520,0.324
37.9008646,58.3044434,0.597
38.0221310,58.4802246,-0.197
37.9008646,58.3923340,1.190
37.8835245,58.2824707,0.136
37.9875039,58.3703613,0.428
37.9355326,58.2385254,0.382
38.0394384,58.3483887,-0.139
38.0048195,58.2824707,-0.514
37.9008646,58.2824707,0.618
37.9182006,58.3923340,1.072
37.9528604,58.3264160,1.279
37.9528604,58.3044434,0.481
37.8835245,58.2604980,0.133
37.9528604,58.5461426,-0.124
37.8835245,58.3264160,0.054
37.9182006,58.5241699,-0.121
38.0048195,58.4582520,0.109
37.9528604,58.3703613,0.992
37.8661803,58.2824707,-0.143
37.9008646,58.5241699,0.510
37.9008646,58.2385254,0.288
37.9355326,58.5021973,0.647
37.9355326,58.4582520,-0.323
37.8661803,58.3703613,0.562
37.9701842,58.4143066,0.622
38.0048195,58.2165527,-0.281
37.8661803,58.5241699,-0.787
37.8835245,58.3703613,0.890
38.0048195,58.3703613,0.236
38.0221310,58.2604980,0.633
37.9355326,58.2165527,0.173
37.8835245,58.4143066,0.220
37.9355326,58.5461426,0.034
38.0394384,58.2385254,-0.309
38.0048195,58.3264160,-0.063
38.0048195,58.3483887,-0.069
37.9875039,58.2824707,0.323
38.0048195,58.5021973,0.000
37.9182006,58.2824707,0.126
37.9701842,58.3264160,0.879
38.0221310,58.3483887,-0.320
37.8661803,58.3483887,0.198
37.9008646,58.5461426,0.079
38.0394384,58.2604980,0.351
37.9701842,58.2604980,0.101
37.9875039,58.3264160,0.691
37.9355326,58.5241699,-0.048
38.0394384,58.4362793,0.537
37.9701842,58.3044434,-0.030
37.9701842,58.3923340,0.707
37.9701842,58.2824707,0.487
37.9182006,58.4802246,0.115
37.9875039,58.3923340,0.872
37.9528604,58.4362793,0.981
37.9182006,58.3044434,0.583
37.9008646,58.5021973,1.300
37.9701842,58.2385254,0.460
37.9355326,58.3044434,0.340
37.9355326,58.3483887,0.711
37.9008646,58.3483887,0.565
37.9182006,58.4362793,1.084
