lat,lon,rwi
51.0897224,71.2243652,0.473
51.1999993,71.5100098,0.037
51.1035214,71.4660645,1.066
51.2275274,71.2463379,0.563
51.1035214,71.5539551,-0.279
51.2962756,71.3562012,-0.150
51.1035214,71.6857910,0.419
51.0621120,71.5759277,0.706
51.1173163,71.5100098,0.926
51.2825342,71.6638184,0.637
51.0206655,71.3781738,0.539
51.1586763,71.4001465,0.907
51.1035214,71.2243652,0.432
51.1862291,71.3122559,0.738
51.1999993,71.3562012,0.966
51.2550390,71.4001465,-0.083
51.2412853,71.3781738,0.553
51.2687886,71.4660645,-0.922
51.1448938,71.5100098,1.432
51.1724548,71.5539551,0.388
51.2687886,71.4001465,-0.544
51.2825342,71.6198730,0.075
51.1999993,71.3781738,1.674
51.1586763,71.4440918,1.202
51.2275274,71.3562012,0.189
51.2687886,71.6857910,-0.596
51.2137654,71.3342285,-0.432
51.1448938,71.4221191,1.160
51.1173163,71.3562012,0.868
51.1724548,71.4440918,1.364
51.2412853,71.2463379,0.061
51.2137654,71.4440918,0.320
51.1173163,71.4660645,0.768
51.1448938,71.2463379,-0.009
51.1311071,71.2463379,0.852
51.2412853,71.5759277,-0.662
51.0897224,71.2023926,0.282
51.1448938,71.5539551,1.026
51.1448938,71.5759277,0.824
51.0483006,71.3781738,0.044
51.1448938,71.5319824,0.780
51.1311071,71.2683105,0.798
51.2550390,71.5979004,-0.275
51.0344851,71.4440918,0.214
51.1586763,71.5319824,0.618
51.0483006,71.5759277,0.431
51.1311071,71.5759277,0.611
51.1311071,71.4880371,0.929
51.2275274,71.5539551,0.020
51.1035214,71.4440918,0.913
51.2962756,71.6418457,0.696
51.1724548,71.5100098,0.573
51.1035214,71.5319824,-0.629
51.0483006,71.4880371,-0.176
51.1862291,71.3562012,0.835
51.0206655,71.4440918,0.120
51.2137654,71.4001465,0.929
51.1724548,71.4880371,1.379
51.0483006,71.4221191,1.265
51.0206655,71.4660645,0.906
51.1724548,71.3342285,0.941
51.1999993,71.4660645,1.226
51.2412853,71.2683105,0.144
51.1448938,71.4440918,0.622
51.1311071,71.5539551,0.244
51.0759193,71.2243652,0.528
51.1035214,71.6638184,0.406
51.0759193,71.3781738,0.233
51.1586763,71.4660645,1.096
51.0897224,71.4880371,0.839
51.2550390,71.6418457,-0.824
51.1862291,71.4001465,1.417
51.2825342,71.6418457,1.274
51.2550390,71.2683105,-0.416
51.2550390,71.2463379,-0.229
51.1173163,71.6638184,0.377
51.1173163,71.5979004,0.555
51.2962756,71.3342285,0.126
51.0759193,71.4221191,0.933
51.1173163,71.6418457,0.487
51.2550390,71.4440918,-0.026
51.1586763,71.4880371,1.367
51.2275274,71.2243652,0.057
51.1724548,71.5319824,0.486
51.1999993,71.3122559,-0.005
51.1035214,71.4221191,0.889
51.2275274,71.3342285,-0.059
51.1448938,71.2243652,-0.310
51.0068418,71.3781738,0.793
51.0068418,71.3562012,0.044
51.0068418,71.4001465,-0.251
51.0897224,71.4440918,0.730
51.2137654,71.2902832,0.021
51.1999993,71.4001465,0.914
51.1035214,71.5759277,-0.071
51.0206655,71.3342285,-0.620
51.2687886,71.6198730,0.120
51.2687886,71.3562012,-0.013
51.1311071,71.2023926,0.051
51.1035214,71.5100098,-0.225
51.1724548,71.4221191,1.325
51.1586763,71.6638184,-0.755
51.2137654,71.3562012,0.117
51.0897224,71.4221191,1.197
51.1311071,71.3342285,0.579
51.1999993,71.4880371,0.580
51.0206655,71.4001465,-0.358
51.2137654,71.6418457,-0.362
51.1999993,71.6857910,0.044
51.1586763,71.5979004,-0.120
51.1724548,71.6638184,-0.731
51.1586763,71.5539551,0.282
51.0759193,71.4440918,-0.743
51.0483006,71.5539551,-0.469
51.1862291,71.5319824,0.210
51.1035214,71.6418457,-0.117
51.2137654,71.2243652,-0.186
51.2550390,71.3122559,-0.337
51.2550390,71.6638184,-0.517
51.1035214,71.2023926,0.710
51.2137654,71.4221191,0.209
51.2137654,71.4660645,-0.754
51.1999993,71.3342285,0.805
51.2412853,71.3562012,0.702
51.1448938,71.6418457,0.112
51.2275274,71.4221191,0.099
51.2687886,71.6638184,0.919
51.1999993,71.4221191,0.993
51.1173163,71.2463379,0.959
51.1035214,71.3781738,0.035
51.1311071,71.2902832,0.905
51.1173163,71.5319824,0.670
51.2137654,71.5100098,0.184
51.0621120,71.4001465,0.666
51.2687886,71.5979004,-0.606
51.1311071,71.2243652,0.835
51.1448938,71.2023926,0.107
51.0897224,71.5979004,0.314
51.1173163,71.5759277,0.236
51.1448938,71.3342285,0.602
51.2275274,71.2023926,-0.158
51.1173163,71.2243652,0.779
51.0483006,71.4001465,0.414
51.1586763,71.3562012,0.258
51.1311071,71.4440918,0.823
51.1586763,71.4221191,1.106
51.2550390,71.3562012,0.115
51.0759193,71.2463379,-0.245
51.1448938,71.3781738,0.352
51.2137654,71.6857910,-0.263
51.1724548,71.4001465,1.037
51.2412853,71.3342285,-0.364
51.2137654,71.2683105,0.166
51.1173163,71.6857910,0.063
51.1311071,71.4001465,0.655
51.0483006,71.4440918,0.136
51.1173163,71.6198730,0.199
51.2550390,71.5759277,-0.601
51.1724548,71.6418457,-0.383
51.2687886,71.4440918,-0.299
51.1862291,71.4440918,0.859
51.2550390,71.3781738,0.459
51.1173163,71.4880371,0.339
51.1448938,71.4660645,1.376
51.1999993,71.4440918,0.772
51.1173163,71.2683105,0.213
51.0344851,71.4001465,0.968
51.2275274,71.6857910,-0.531
51.1862291,71.3781738,1.676
51.0621120,71.4221191,0.831
51.2412853,71.5979004,-0.058
51.1173163,71.4440918,0.810
51.1586763,71.3342285,0.006
51.2275274,71.3781738,0.498
51.0897224,71.4660645,0.526
51.1862291,71.4880371,0.919
51.1035214,71.4001465,0.833
51.1035214,71.4880371,0.356
51.2687886,71.6418457,1.307
51.2962756,71.6638184,-0.502
51.1862291,71.4221191,1.251
51.0897224,71.4001465,0.747
51.0759193,71.4001465,0.774
51.1448938,71.4001465,0.607
51.0344851,71.4660645,1.249
51.1173163,71.2023926,0.901
51.0897224,71.3781738,0.169
51.2412853,71.2023926,0.025
51.1586763,71.5759277,0.291
51.1173163,71.5539551,0.136
51.0344851,71.4880371,0.032
51.1173163,71.2902832,0.311
51.1311071,71.5100098,1.826
51.0621120,71.4440918,-0.436
51.1724548,71.3781738,0.854
51.1448938,71.4880371,0.932
51.1448938,71.3562012,0.431
51.0344851,71.4221191,0.391
51.1311071,71.6198730,0.285
51.1724548,71.3562012,0.855
51.1724548,71.4660645,0.798
51.1311071,71.4221191,0.986
51.1311071,71.3562012,0.783
51.2275274,71.4001465,-0.059
51.2137654,71.5319824,0.202
51.1173163,71.4221191,1.021
51.1586763,71.3781738,0.931
51.2137654,71.3122559,0.287
51.1173163,71.4001465,1.065
51.0621120,71.3781738,-0.136
51.2137654,71.6198730,0.084
51.1311071,71.4660645,0.916
51.2137654,71.3781738,0.944
51.2412853,71.5539551,0.193
51.2687886,71.3781738,-0.344
51.1862291,71.4660645,0.970
51.1311071,71.5319824,1.134
51.1586763,71.5100098,1.145
51.1862291,71.3342285,1.275
51.2137654,71.4880371,0.379
51.1311071,71.3781738,0.269
51.1862291,71.5100098,0.571
51.1311071,71.5979004,0.527
