lat,lon,rwi
38.5567566,68.7414551,1.735
38.6082854,68.8293457,0.295
38.5223836,68.8073730,0.819
38.6082854,68.8732910,0.042
38.5223836,68.7634277,1.111
38.4879941,68.8732910,-0.554
38.5911133,68.7414551,1.404
38.5223836,68.8513184,-0.122
38.5223836,68.8732910,0.206
38.5051909,68.8732910,0.706
38.5223836,68.7854004,0.436
38.6082854,68.7194824,-0.109
38.5911133,68.7634277,1.607
38.5051909,68.7854004,0.819
38.6082854,68.7414551,-0.159
38.4879941,68.6975098,0.756
38.5395722,68.7854004,1.293
38.5739370,68.7414551,1.768
38.5051909,68.6975098,0.820
38.5911133,68.6975098,0.386
38.5911133,68.8732910,0.205
38.5051909,68.7194824,0.750
38.5395722,68.8073730,0.656
38.5051909,68.7414551,1.157
38.5739370,68.8732910,0.488
38.5911133,68.7854004,1.562
38.5395722,68.8513184,1.013
38.5739370,68.8073730,1.336
38.4879941,68.7634277,0.881
38.5911133,68.8293457,-0.092
38.5739370,68.6975098,1.079
38.5395722,68.7194824,0.774
38.5223836,68.7194824,0.864
38.5567566,68.7194824,1.093
38.5739370,68.8513184,1.310
38.6082854,68.7634277,0.866
38.5567566,68.8732910,0.650
38.4879941,68.7194824,0.583
38.5051909,68.8073730,0.899
38.5051909,68.8513184,0.799
38.5911133,68.8073730,0.885
38.5395722,68.7634277,1.319
38.5911133,68.7194824,1.112
38.4879941,68.8073730,0.850
38.5739370,68.7634277,1.153
38.4879941,68.8293457,0.723
38.6082854,68.6975098,-0.005
38.5567566,68.6975098,0.362
38.6082854,68.8073730,0.037
38.5395722,68.8293457,0.660
38.5395722,68.7414551,1.027
38.5051909,68.7634277,0.998
38.5739370,68.8293457,1.281
38.5223836,68.8293457,0.543
38.5567566,68.8513184,1.472
38.5739370,68.7854004,1.070
38.6082854,68.7854004,1.468
38.5223836,68.6975098,0.835
38.4879941,68.7854004,0.966
38.4879941,68.7414551,0.942
38.5567566,68.8293457,1.255
38.5051909,68.8293457,0.898
38.5567566,68.8073730,1.808
38.5395722,68.6975098,0.644
38.4879941,68.8513184,0.153
38.5395722,68.8732910,0.835
38.5911133,68.8513184,-0.229
38.5739370,68.7194824,1.347
38.5567566,68.7634277,1.713
38.5223836,68.7414551,1.153
38.5567566,68.7854004,1.290
