lat,lon,child_u20_100m,child_u20_500m
41.31543,69.39042,1.7,40.4
41.36062,69.43320,1.5,36.5
41.31376,69.10588,2.0,48.0
41.30335,69.11015,2.0,50.5
41.27944,69.11858,1.3,32.3
41.30747,69.13324,1.7,39.4
41.33078,69.15134,1.7,39.7
41.33561,69.11148,1.8,45.1
41.24706,69.15501,1.6,40.4
41.25291,69.15022,1.6,39.4
41.24325,69.14555,1.6,40.1
41.22255,69.10619,1.7,43.4
41.19278,69.15203,1.5,39.5
41.18660,69.15525,1.7,42.4
41.20244,69.16441,1.3,34.8
41.17372,69.15980,1.7,38.8
41.24308,69.14197,1.6,40.4
41.20808,69.18532,1.0,25.0
41.17923,69.13334,1.7,43.2
41.17025,69.12539,1.8,44.2
41.17244,69.20674,25.7,652.1
41.20382,69.13955,1.8,42.2
41.21819,69.16195,1.3,31.1
41.17025,69.12539,1.8,44.2
41.33152,69.13156,1.5,36.5
41.20587,69.12100,1.8,44.9
41.22713,69.12485,1.4,37.9
41.19954,69.15912,1.5,37.9
41.28019,69.10251,1.7,44.3
41.30748,69.13743,1.7,42.4
41.37139,69.38134,2.1,54.0
41.38411,69.35812,2.1,55.0
41.36644,69.41250,2.5,61.1
41.39106,69.39907,1.9,47.9
41.37736,69.43381,2.3,49.2
41.40272,69.44426,2.3,57.9
41.34839,69.43244,1.7,40.5
41.36015,69.34483,2.5,62.2
41.41582,69.42646,2.1,50.8
41.39937,69.36553,2.2,56.2
41.35648,69.35407,2.3,58.1
41.38565,69.41374,1.6,40.2
41.39301,69.35281,2.4,57.8
41.40700,69.30804,2.2,57.9
41.29824,69.39204,2.3,56.3
41.39896,69.33699,2.4,54.7
41.38565,69.41374,1.6,40.2
41.40888,69.39683,2.0,47.3
41.41606,69.36281,1.5,36.4
41.15442,69.24867,38.5,978.1
41.18630,69.44025,1.7,44.8
41.17244,69.41116,0.8,19.9
41.23683,69.37180,2.0,50.6
41.41949,69.26739,2.3,53.3
41.40631,69.21912,2.2,51.8
41.40036,69.19476,2.3,51.5
41.40564,69.26703,2.0,50.7
41.40133,69.28438,2.0,50.9
41.38500,69.32184,2.6,59.7
41.41646,69.31069,2.1,54.4
41.36935,69.16686,2.0,48.1
41.37802,69.24239,2.1,51.7
41.40848,69.19148,2.1,54.3
41.41380,69.19481,2.1,52.9
41.39619,69.20457,2.0,50.8
41.22752,69.40245,1.5,37.7
41.27806,69.44678,1.8,42.8
41.25578,69.42922,1.6,40.6
41.22441,69.40576,1.6,40.3
41.32355,69.44538,1.6,32.4
41.18542,69.44025,2.1,46.5
41.18395,69.35546,1.1,26.3
41.15785,69.35546,1.1,28.7
41.22998,69.37519,2.2,55.1
41.18679,69.42786,1.1,27.6
41.18179,69.11048,1.9,45.7
41.18144,69.22784,41.1,1007.3
41.20746,69.10676,1.8,43.5
41.19046,69.12672,1.8,44.7
41.15924,69.11429,2.0,47.3
41.16106,69.10834,1.6,42.2
41.16231,69.18798,36.2,904.9
41.23364,69.33899,2.4,60.9
41.23387,69.35070,2.2,53.8
41.25324,69.22359,1.8,44.9
41.25324,69.37663,2.3,58.9
41.25050,69.30492,1.9,48.4
41.27725,69.29022,1.7,43.3
41.28464,69.28976,1.7,43.8
41.28215,69.27280,1.8,45.1
41.29577,69.28089,1.9,47.9
41.30436,69.27139,1.8,47.4
41.24681,69.30321,1.8,46.2
41.27385,69.27565,1.8,43.9
41.26863,69.29851,1.7,42.4
41.27460,69.29539,1.7,43.3
41.27571,69.28693,1.7,43.4
41.24302,69.32452,2.4,54.2
41.25726,69.31535,1.9,48.9
41.24662,69.31452,1.8,44.0
41.25054,69.30908,2.0,48.2
41.28182,69.28987,1.8,44.1
41.29335,69.27121,1.9,47.4
41.29693,69.27769,1.9,46.9
41.23654,69.23541,1.5,39.4
41.31732,69.29862,2.0,48.3
41.34158,69.33356,2.5,62.1
41.35980,69.38953,2.5,64.7
41.34838,69.35171,2.5,57.1
41.31375,69.28288,1.9,48.7
41.31109,69.29276,1.8,45.2
41.32342,69.31796,2.0,47.5
41.32021,69.34735,2.6,63.9
41.33121,69.37259,2.3,57.7
41.32563,69.30299,1.9,48.7
41.31795,69.32198,2.2,58.5
41.34920,69.34312,2.5,61.4
41.34646,69.36613,2.5,60.9
41.33532,69.36037,2.4,60.2
41.33685,69.37317,2.2,56.1
41.35946,69.39224,2.5,61.4
41.35461,69.38813,2.8,68.0
41.32194,69.35527,2.4,58.1
41.35846,69.36216,2.5,58.6
41.33105,69.32755,2.5,64.2
41.35476,69.38329,2.5,66.0
41.34840,69.38626,2.4,60.1
41.34226,69.38874,2.3,57.1
41.33707,69.37404,2.2,56.2
41.33567,69.35325,2.4,59.2
41.34361,69.36194,2.2,58.5
41.33957,69.23244,1.8,44.6
41.36863,69.20132,1.8,47.0
41.37272,69.23817,1.8,45.1
41.33585,69.24762,1.9,47.8
41.33592,69.23344,1.8,45.7
41.27407,69.22173,1.9,48.3
41.35826,69.18383,1.8,45.3
41.33616,69.21860,1.7,42.8
41.33923,69.22323,1.7,42.8
41.34176,69.24999,1.9,46.9
41.35479,69.23793,1.7,43.8
41.36854,69.19868,1.8,46.9
41.33699,69.24917,2.1,48.2
41.34642,69.24525,1.9,46.3
41.36396,69.23158,1.8,46.2
41.35280,69.23260,1.7,43.8
41.35977,69.22121,1.8,45.2
41.35994,69.22003,1.7,45.0
41.36985,69.21877,1.9,47.2
41.34493,69.22287,1.7,42.9
41.35767,69.23353,1.9,45.3
41.36970,69.20869,1.8,47.3
41.37009,69.21076,1.9,47.3
41.34291,69.20760,1.6,39.2
41.35556,69.19138,1.8,44.4
41.35289,69.18481,1.8,44.7
41.36547,69.19156,1.8,46.0
41.33226,69.22387,1.8,45.5
41.38461,69.21991,2.3,53.1
41.35573,69.21844,1.7,44.3
41.34310,69.25071,1.9,46.5
41.36398,69.19308,1.9,47.3
41.36318,69.19750,1.9,46.5
41.34464,69.21716,1.6,41.4
41.33536,69.24840,1.9,47.7
41.22234,69.21693,1.8,44.7
41.21752,69.26434,35.9,921.6
41.21009,69.22444,44.8,1150.9
41.21282,69.23337,43.4,1064.1
41.21885,69.21581,1.8,45.3
41.22657,69.21137,1.7,43.0
41.22867,69.20947,1.6,41.1
41.21146,69.23195,42.2,1060.9
41.23195,69.20138,1.8,42.9
41.21695,69.24140,43.4,1085.2
41.25957,69.25684,1.6,41.1
41.20095,69.25057,41.1,1035.3
41.24760,69.29112,1.8,44.9
41.24733,69.22485,1.7,42.4
41.24724,69.28484,2.0,46.4
41.24663,69.25727,1.7,40.3
41.24759,69.28818,1.8,44.5
41.22100,69.21744,1.8,44.9
41.20770,69.22488,45.1,1120.2
41.22189,69.21418,1.7,44.1
41.21762,69.21864,2.0,44.4
41.21112,69.19886,1.2,32.4
41.31593,69.18068,1.6,39.6
41.29142,69.15828,1.8,48.2
41.31516,69.17394,1.6,39.0
41.28657,69.17678,2.0,45.0
41.29360,69.18921,1.8,45.4
