school_i,dist_m,no2_umol_m2
0,116,314.4
1,231,206.5
2,361,289.5
3,174,262.3
4,316,309.8
5,586,290.3
6,20,285.7
7,428,310.4
8,34,276.3
9,257,217.8
10,56,269.7
11,51,285.7
12,663,299.6
13,377,280.2
14,36,254.9
15,318,273.5
16,677,213.5
17,50,309.8
18,38,302.6
19,1328,209.1
20,1099,206.0
21,86,261.5
22,35,267.7
23,323,202.3
24,117,289.5
25,149,270.7
26,123,298.9
27,191,290.3
28,61,269.9
29,114,316.9
30,35,284.1
31,1010,207.3
32,47,232.7
33,26,309.8
34,65,217.0
35,129,306.3
36,51,205.1
37,22,217.0
38,22,217.0
39,49,269.5
40,41,291.9
41,326,165.3
42,82,302.6
43,851,308.6
44,284,291.9
45,92,307.4
46,51,304.5
47,4592,103.2
48,153,298.9
49,63,310.5
50,112,217.0
51,180,304.5
52,51,273.8
53,58,285.7
54,28,309.8
55,35,284.1
56,24,296.5
57,95,254.5
58,54,309.8
59,18,234.4
60,36,245.5
61,30,309.8
62,2255,269.1
63,13,254.9
64,544,223.1
65,438,254.7
66,82,255.3
67,584,254.7
68,230,311.4
69,48,285.7
70,34,263.9
71,65,303.3
72,171,217.0
73,16,285.7
74,746,194.8
75,690,300.7
76,109,306.3
77,125,302.6
78,72,261.5
79,120,206.0
80,1588,219.0
81,27,262.3
82,58,285.7
83,366,235.6
84,957,308.6
85,956,308.6
86,942,308.6
87,924,308.6
88,1419,180.4
89,67,302.6
90,28,285.7
91,175,284.7
92,1091,195.9
93,1058,185.1
94,55,296.5
95,85,285.7
96,936,276.9
97,922,276.9
98,128,162.3
99,373,295.6
100,48,239.5
101,322,226.3
102,51,224.9
103,21,285.7
104,410,269.5
105,80,269.5
106,77,303.1
107,573,242.7
108,401,166.4
109,695,284.8
110,50,239.5
111,393,262.3
112,372,262.3
113,456,302.6
114,1027,311.1
115,254,224.9
116,329,296.5
117,53,265.2
118,56,265.2
119,234,304.5
120,423,269.5
121,387,250.5
122,355,274.0
123,478,297.9
124,507,299.0
125,204,298.9
126,87,262.3
127,60,262.3
128,677,305.2
129,674,305.2
130,332,305.2
131,359,302.6
132,787,307.9
133,276,305.2
134,488,270.0
135,1245,209.5
136,151,306.3
137,673,300.6
138,481,308.6
139,538,308.6
140,274,273.8
141,172,273.8
142,1140,175.5
143,504,175.5
144,681,166.7
145,880,315.8
146,566,200.0
147,496,200.0
148,539,200.0
149,242,300.7
150,1349,311.8
151,548,309.0
152,1363,316.3
153,876,318.0
154,528,209.4
155,320,232.1
156,367,314.4
157,384,307.9
158,425,300.6
159,452,175.2
160,1079,195.9
161,513,185.1
162,1030,185.1
163,500,311.4
164,211,194.1
165,679,207.1
166,244,207.1
167,1624,215.4
168,71,253.4
169,365,202.3
170,1192,266.1
171,1109,276.9
172,289,254.5
173,502,254.5
174,276,254.7
175,156,254.5
176,87,280.0
177,67,311.9
178,794,270.7
179,91,314.5
180,63,300.4
181,201,263.6
182,215,318.1
183,1367,310.1
184,1574,313.7
185,64,281.2
186,83,251.3
187,1126,310.1
188,163,239.5
189,1392,312.3
190,715,308.6
191,424,235.6
192,289,261.5
193,394,245.5
194,311,225.1
195,1111,241.9
196,324,285.5
197,229,285.5
198,268,248.4
199,1122,266.1
200,658,292.6
201,467,250.5
202,376,250.5
203,379,302.3
204,916,265.7
205,120,307.0
206,442,290.3
207,421,262.3
208,291,265.7
209,740,169.3
210,168,284.7
211,675,206.0
212,364,309.8
213,343,286.3
214,566,290.3
215,256,307.9
216,3046,165.8
217,361,277.1
218,258,241.9
219,3845,128.4
220,391,318.2
221,1456,211.4
222,882,305.8
223,666,302.5
224,1581,250.3
225,705,205.0
226,903,318.0
227,362,261.2
228,1824,230.2
229,508,207.1
230,196,245.8
231,646,251.5
232,965,204.3
233,370,230.0
234,755,217.8
235,468,252.3
236,865,252.3
237,227,273.8
238,196,244.3
239,76,290.1
240,200,303.1
241,203,262.4
242,196,262.4
243,679,308.8
244,330,318.0
245,165,309.8
246,78,292.2
247,676,302.9
248,192,224.9
249,213,298.9
250,601,221.8
251,94,218.1
252,340,251.5
253,116,270.7
254,361,208.6
255,223,279.6
256,60,162.3
257,450,254.7
258,811,244.7
259,478,259.4
260,516,301.3
261,399,223.1
262,1506,166.7
263,172,245.5
264,254,291.9
265,263,311.4
266,1066,221.2
267,1135,162.1
268,884,162.1
269,282,250.2
270,871,216.2
271,388,187.3
272,595,257.8
273,358,305.5
274,1002,315.8
275,352,304.5
276,784,306.3
277,564,226.1
278,444,242.7
279,185,264.8
280,852,260.7
281,84,256.6
282,262,221.1
283,1614,189.8
284,488,270.7
285,500,282.6
286,346,270.0
287,116,295.5
288,639,291.0
289,136,312.5
290,332,305.5
291,264,224.9
292,1319,310.1
293,327,235.6
294,571,303.6
295,453,310.4
296,1115,189.3
297,476,223.2
298,704,183.4
299,258,218.1
300,321,240.5
301,557,230.5
302,517,218.1
303,384,230.5
304,887,240.5
305,461,230.5
306,828,166.7
307,584,265.8
308,212,217.8
309,658,187.3
310,60,190.5
311,408,245.5
312,482,209.4
313,1369,209.1
314,993,223.2
315,516,209.4
316,320,232.1
317,991,223.1
318,1062,223.1
319,229,287.1
320,356,268.1
321,221,248.4
322,430,242.7
323,169,285.7
324,1322,209.1
325,1597,219.0
326,873,194.8
327,383,261.5
328,118,263.6
329,299,262.3
330,1060,311.8
331,761,300.7
332,1309,272.3
333,351,283.0
334,230,263.6
335,302,234.4
336,558,280.9
337,95,178.5
338,480,190.5
339,674,178.5
340,1066,198.5
341,291,238.6
342,165,217.0
343,506,217.0
344,391,217.8
345,330,306.0
346,1216,241.9
347,410,264.2
348,446,179.4
349,1118,316.3
350,341,164.0
351,77,239.5
352,442,204.5
353,603,275.7
354,310,174.7
355,360,258.1
356,345,273.5
357,81,257.9
358,103,251.4
359,325,297.9
360,374,297.9
361,241,309.8
362,227,302.3
363,984,193.8
364,489,190.6
365,364,166.4
366,309,251.5
367,665,251.5
368,647,281.3
369,137,217.0
370,225,217.0
371,510,305.2
372,245,258.1
373,236,314.4
374,1923,119.6
375,791,189.3
376,433,198.5
377,777,281.2
378,362,255.3
379,78,145.7
380,549,132.1
381,737,138.3
382,289,254.5
383,676,225.7
384,486,295.6
385,673,265.7
386,1491,219.0
387,548,221.8
388,501,263.6
389,468,217.0
390,1126,263.5
391,74,242.7
392,525,304.1
393,231,273.6
394,418,263.4
395,273,248.4
396,256,153.7
397,1308,213.5
398,277,285.5
399,56,280.7
400,2314,134.1
401,508,310.4
402,1604,173.6
403,2902,232.4
404,3123,232.4
405,409,297.9
406,310,165.3
407,146,235.2
408,144,226.4
409,235,269.5
410,405,215.0
411,133,263.9
412,215,234.3
413,2836,169.9
414,1620,179.3
415,72,235.1
416,3432,140.4
417,251,217.0
418,204,296.5
419,292,175.9
420,159,308.2
421,1776,316.6
422,80,235.1
423,298,230.5
424,991,241.9
425,115,235.3
426,274,275.7
427,166,162.3
428,88,269.7
429,474,251.3
430,392,191.4
431,431,210.8
432,384,210.8
433,1013,254.5
434,336,269.9
435,387,257.8
436,1870,279.4
437,244,166.4
438,241,166.4
439,221,217.0
440,399,278.2
441,772,173.8
442,1575,149.6
443,222,249.1
444,128,246.3
445,1259,192.0
446,228,274.0
447,553,284.8
448,2462,259.4
449,1035,211.1
450,219,244.3
451,282,240.7
452,354,297.9
453,128,295.0
454,835,251.0
455,1499,155.0
456,79,182.6
457,774,264.6
458,557,240.7
459,540,316.9
460,138,263.9
461,88,263.9
462,87,276.3
463,2356,155.4
464,4265,139.6
465,4088,125.1
466,1452,184.5
467,869,271.5
468,2452,135.7
469,152,177.4
470,1822,166.4
471,987,202.7
472,809,282.7
473,763,159.7
474,1827,145.4
475,686,171.3
476,223,194.8
477,872,162.1
478,194,221.0
479,1953,125.2
480,4307,114.0
481,3166,109.3
482,1499,143.2
483,135,130.1
484,2566,146.3
485,1348,138.4
486,1091,161.9
487,1314,182.6
488,354,213.8
489,1117,136.8
490,533,125.6
491,302,221.2
492,193,205.5
493,385,254.4
494,1114,194.0
495,2188,206.7
496,1856,150.5
497,281,159.7
498,1229,244.3
499,276,241.9
500,2223,224.7
501,1183,202.4
502,2440,221.3
503,1054,253.4
504,4154,195.1
505,173,175.0
506,2587,271.3
507,391,258.1
508,338,215.9
509,623,183.6
510,499,218.7
511,2024,173.0
512,878,252.8
513,1246,183.4
514,1704,147.6
515,610,145.4
516,278,138.9
517,2111,180.5
518,715,143.3
519,2060,182.9
520,200,285.7
521,291,225.6
522,354,258.1
523,304,190.8
524,241,232.6
525,343,221.0
526,1198,175.5
527,522,191.4
528,430,249.6
529,419,269.5
530,394,235.6
531,6701,97.0
532,6455,95.4
533,6145,99.6
534,4565,103.2
535,3779,110.2
536,400,250.5
537,114,298.7
538,173,235.3
539,589,241.9
540,588,241.9
541,568,232.6
542,276,202.5
543,207,152.2
544,298,160.7
545,3660,133.5
546,1183,159.2
547,453,172.7
548,1270,265.0
549,1761,208.1
550,90,194.3
551,303,273.0
552,2924,217.1
553,4100,173.6
554,1928,204.2
555,1460,182.6
556,1782,230.4
557,478,251.5
558,546,209.4
559,175,215.0
560,223,273.5
561,78,280.0
562,247,300.4
563,199,226.3
564,471,292.6
565,453,207.1
566,621,252.1
