clat,clon,pop,dens_per_km2
41.2079,69.275,353970,19710.3
41.1693,69.225,303496,16899.7
41.2079,69.325,300830,16751.2
41.2079,69.225,282304,15719.6
41.1693,69.275,272094,15151.1
41.1693,69.325,232385,12940.0
41.1693,69.175,118808,6615.6
41.2464,69.275,46529,2590.9
41.2079,69.175,27045,1505.9
41.2464,69.325,26279,1463.3
41.285,69.225,18775,1045.5
41.3236,69.275,18513,1030.9
41.3236,69.325,18345,1021.5
41.285,69.275,18316,1019.9
41.3621,69.275,18187,1012.7
41.285,69.175,18103,1008.1
41.3236,69.225,17977,1001.0
41.3621,69.325,17909,997.2
41.3621,69.225,17578,978.8
41.285,69.325,17572,978.5
41.3621,69.375,17395,968.6
41.2464,69.225,16818,936.5
41.2464,69.175,16435,915.1
41.3236,69.175,16432,915.0
41.2464,69.375,16201,902.1
41.285,69.375,15946,887.9
41.3621,69.175,15909,885.9
41.3236,69.375,15667,872.4
41.4007,69.325,15137,842.9
41.285,69.125,15054,838.2
41.4007,69.275,14707,818.9
41.4007,69.225,14424,803.2
41.4007,69.375,13490,751.2
41.2079,69.375,13440,748.4
41.3236,69.425,13247,737.6
41.3621,69.425,13195,734.8
41.3236,69.125,13149,732.2
41.4007,69.175,13036,725.9
41.4007,69.425,12697,707.0
41.2079,69.125,12534,697.9
41.2464,69.125,12193,678.9
41.2464,69.425,11888,661.9
41.3621,69.125,11770,655.4
41.285,69.425,11755,654.5
41.1693,69.125,11561,643.8
41.1693,69.425,8122,452.3
41.2079,69.425,7602,423.3
41.1693,69.375,7040,392.0
41.4007,69.125,6811,379.3
