lat,lon,rwi
41.3355755,69.3786621,0.957
41.2365107,69.2028809,1.052
41.3190751,69.2468262,0.986
41.1538418,69.2468262,0.573
41.4180145,69.4006348,0.229
41.4180145,69.2028809,0.736
41.3685636,69.2687988,1.548
41.3355755,69.2468262,1.066
41.1703840,69.2028809,0.143
41.1538418,69.4006348,-0.051
41.1703840,69.4006348,0.052
41.1703840,69.1369629,0.961
41.3025706,69.2248535,0.986
41.2034557,69.4006348,0.608
41.4015351,69.1369629,-0.010
41.3355755,69.4006348,0.718
41.1703840,69.2687988,0.192
41.2530319,69.1809082,1.067
41.3850514,69.3786621,0.638
41.3190751,69.3347168,1.407
41.1869219,69.2907715,0.539
41.3850514,69.1369629,0.952
41.2530319,69.4226074,0.523
41.3520716,69.3127441,1.213
41.3850514,69.2907715,1.053
41.3025706,69.4445801,0.560
41.4180145,69.3786621,0.114
41.2034557,69.2028809,1.232
41.2695490,69.2028809,0.940
41.1869219,69.3566895,-0.034
41.1869219,69.2028809,0.474
41.2365107,69.1809082,1.174
41.2199853,69.3786621,0.363
41.4015351,69.2468262,0.975
41.3355755,69.1369629,1.044
41.3190751,69.3786621,0.604
41.3520716,69.1149902,1.199
41.3190751,69.2907715,1.269
41.3685636,69.1809082,1.102
41.2530319,69.2248535,1.201
41.3520716,69.4006348,0.847
41.2695490,69.3127441,0.665
41.2860619,69.1149902,0.974
41.1538418,69.4445801,0.551
41.3190751,69.2687988,1.213
41.3520716,69.1809082,1.319
41.3685636,69.1149902,0.723
41.3190751,69.1369629,0.384
41.2860619,69.3347168,0.940
41.2365107,69.3786621,1.179
41.3190751,69.1589355,0.994
41.4015351,69.2907715,1.133
41.4015351,69.4226074,1.097
41.3520716,69.2468262,1.193
41.2199853,69.2687988,0.929
41.4180145,69.3127441,1.103
41.3355755,69.3566895,1.394
41.2860619,69.1809082,1.032
41.1538418,69.1369629,-0.398
41.2034557,69.1369629,1.004
41.2199853,69.4006348,0.355
41.3685636,69.4445801,0.070
41.1538418,69.2248535,-0.203
41.1703840,69.2248535,0.641
41.3850514,69.1589355,0.438
41.2034557,69.3347168,0.828
41.2034557,69.4226074,0.300
41.1538418,69.1149902,0.590
41.3025706,69.1369629,1.382
41.3850514,69.1809082,0.421
41.3355755,69.1149902,1.155
41.2199853,69.1589355,0.405
41.3850514,69.4226074,0.756
41.1703840,69.1809082,-0.053
41.1869219,69.4226074,0.325
41.2530319,69.3566895,1.150
41.1538418,69.2687988,-0.457
41.3520716,69.3786621,1.586
41.4015351,69.2248535,1.104
41.4015351,69.4445801,0.851
41.1869219,69.2687988,0.281
41.2695490,69.3347168,0.889
41.3685636,69.2028809,1.223
41.2695490,69.2248535,1.132
41.3025706,69.2028809,0.973
41.3190751,69.3127441,1.162
41.3355755,69.2028809,1.224
41.3850514,69.4445801,0.552
41.2860619,69.3786621,0.912
41.1869219,69.4445801,0.679
41.3685636,69.1589355,0.614
41.3190751,69.2248535,0.904
41.4180145,69.3347168,0.568
41.3190751,69.4226074,0.742
41.3355755,69.1809082,1.246
41.3025706,69.1149902,0.985
41.4015351,69.2687988,0.840
41.2199853,69.1369629,1.030
41.3190751,69.1809082,1.410
41.2530319,69.3786621,0.754
41.3025706,69.2468262,1.333
41.2860619,69.4226074,0.289
41.3025706,69.3566895,1.098
41.1538418,69.2028809,0.261
41.3025706,69.4006348,0.765
41.2034557,69.1149902,0.799
41.4180145,69.4445801,-0.257
41.3685636,69.2468262,0.808
41.3520716,69.2028809,1.238
41.1869219,69.1369629,1.093
41.2365107,69.4006348,0.543
41.3355755,69.3347168,1.122
41.2034557,69.2248535,1.079
41.2695490,69.4006348,0.170
41.4180145,69.1809082,1.198
41.2860619,69.2248535,1.169
41.2199853,69.3566895,0.535
41.4180145,69.2687988,0.581
41.2034557,69.1809082,0.640
41.2199853,69.2907715,0.767
41.3355755,69.3127441,1.146
41.2695490,69.3566895,1.152
41.2365107,69.1369629,1.044
41.3355755,69.1589355,0.989
41.4015351,69.1809082,0.904
41.2695490,69.1149902,0.642
41.1869219,69.4006348,0.050
41.2034557,69.3566895,-0.088
41.2365107,69.2248535,1.001
41.3025706,69.1589355,0.913
41.2034557,69.2907715,0.390
41.3355755,69.2907715,1.133
41.2695490,69.1369629,0.755
41.2695490,69.1589355,1.152
41.3685636,69.2248535,1.379
41.2860619,69.2028809,1.055
41.3685636,69.3127441,1.412
41.2530319,69.2907715,1.014
41.2695490,69.2907715,1.058
41.1869219,69.2248535,0.973
41.1538418,69.3566895,0.483
41.1538418,69.3786621,0.205
41.2860619,69.3566895,0.870
41.2365107,69.2907715,1.091
41.3025706,69.1809082,1.100
41.1869219,69.2468262,0.994
41.3685636,69.4006348,0.771
41.1869219,69.1589355,0.692
41.4015351,69.3127441,0.986
41.4015351,69.3347168,0.667
41.2365107,69.2468262,1.486
41.3520716,69.2248535,1.481
41.3025706,69.2687988,1.067
41.3025706,69.3127441,1.073
41.2365107,69.3566895,0.904
41.3355755,69.2248535,1.034
41.1869219,69.3127441,0.601
41.4015351,69.1589355,0.001
41.2365107,69.4226074,0.051
41.3850514,69.2687988,1.570
41.2530319,69.2468262,1.053
41.2695490,69.2468262,1.018
41.1869219,69.3786621,0.360
41.2530319,69.3347168,0.904
41.2860619,69.2468262,1.284
41.2199853,69.4445801,0.496
41.2199853,69.2248535,1.000
41.3355755,69.4226074,0.473
41.2860619,69.3127441,0.818
41.2199853,69.1149902,0.807
41.2860619,69.2687988,1.283
41.2199853,69.1809082,0.692
41.3685636,69.3566895,1.028
41.1703840,69.3566895,0.983
41.3025706,69.2907715,0.784
41.3850514,69.2468262,1.205
41.4015351,69.3786621,0.467
41.1703840,69.1589355,0.616
41.2530319,69.4445801,1.171
41.4180145,69.4226074,0.685
41.3850514,69.4006348,0.571
41.2530319,69.1589355,0.831
41.3355755,69.2687988,1.113
41.2860619,69.4006348,0.580
41.2034557,69.2687988,0.779
41.2034557,69.1589355,0.960
41.2199853,69.3127441,0.462
41.3520716,69.2687988,1.106
41.1538418,69.3347168,0.305
41.3520716,69.1589355,1.185
41.2860619,69.4445801,0.592
41.3685636,69.4226074,0.998
41.2530319,69.3127441,1.363
41.2695490,69.2687988,1.251
41.2860619,69.1369629,0.988
41.2695490,69.3786621,0.344
41.2365107,69.1589355,1.097
41.3190751,69.2028809,1.064
41.1703840,69.3127441,0.778
41.3025706,69.3786621,0.401
41.2530319,69.1369629,0.715
41.3025706,69.4226074,0.554
41.2860619,69.1589355,1.251
41.1869219,69.1149902,0.945
41.2695490,69.4226074,0.731
41.3190751,69.1149902,0.424
41.2365107,69.3347168,0.847
41.3850514,69.2028809,1.226
41.2860619,69.2907715,1.095
41.2034557,69.3127441,-0.019
41.1703840,69.1149902,0.929
41.1703840,69.2907715,0.696
41.2365107,69.4445801,0.736
41.2199853,69.3347168,1.070
41.1538418,69.1589355,-0.018
41.1869219,69.1809082,-0.087
41.2695490,69.1809082,1.359
41.3520716,69.2907715,0.874
41.3850514,69.3127441,1.018
41.2199853,69.2468262,1.084
41.3850514,69.2248535,1.109
41.3520716,69.4445801,0.158
41.1538418,69.1809082,0.376
41.3685636,69.3347168,1.280
41.2530319,69.2687988,0.935
41.2365107,69.3127441,1.131
41.1869219,69.3347168,0.727
41.4180145,69.3566895,0.693
41.2695490,69.4445801,0.390
41.3190751,69.3566895,1.185
41.3685636,69.3786621,0.950
41.1703840,69.3347168,0.548
41.3355755,69.4445801,0.802
41.4180145,69.2468262,0.991
41.3520716,69.1369629,0.999
41.2365107,69.2687988,1.124
41.1538418,69.2907715,0.248
41.3685636,69.2907715,0.845
41.4015351,69.3566895,0.527
41.4015351,69.4006348,0.863
41.4180145,69.2248535,0.843
41.3190751,69.4006348,0.446
41.2199853,69.2028809,1.033
41.3850514,69.3347168,0.944
41.2199853,69.4226074,0.419
41.2530319,69.4006348,0.988
41.2034557,69.3786621,0.347
41.2034557,69.2468262,0.958
41.3190751,69.4445801,0.549
41.3520716,69.4226074,0.910
41.4015351,69.2028809,1.063
41.3850514,69.3566895,1.273
41.1538418,69.3127441,0.159
41.1538418,69.4226074,0.147
41.3520716,69.3347168,1.188
41.3025706,69.3347168,0.959
41.2530319,69.1149902,0.460
41.4180145,69.2907715,0.145
41.3520716,69.3566895,1.318
41.2365107,69.1149902,0.650
41.4180145,69.1589355,0.465
41.2530319,69.2028809,1.326
41.3685636,69.1369629,0.749
41.1703840,69.2468262,0.580
