hour,hour_label,weekday_mean,weekend_mean
0,00:00,43.1,45.81
1,01:00,39.9,43.03
2,02:00,39.69,41.94
3,03:00,40.28,42.87
4,04:00,37.24,41.62
5,05:00,38.8,37.53
6,06:00,39.39,38.74
7,07:00,40.61,40.36
8,08:00,39.41,40.79
9,09:00,38.66,39.9
10,10:00,39.18,37.54
11,11:00,36.67,34.79
12,12:00,30.43,32.77
13,13:00,29.42,32.19
14,14:00,27.47,30.9
15,15:00,27.93,31.85
16,16:00,28.4,31.02
17,17:00,30.96,33.58
18,18:00,33.89,35.62
19,19:00,38.85,39.5
20,20:00,41.76,45.02
21,21:00,44.4,47.73
22,22:00,44.48,47.34
23,23:00,43.38,47.14
