parameter,hour,hour_label,weekday_mean,weekend_mean
pm25,0,00:00,31.06798762807792,45.58971987984799
pm25,1,01:00,34.032853911875826,46.574739698127466
pm25,2,02:00,35.06149824524439,45.01332400816458
pm25,3,03:00,34.34805001493928,44.29029048283895
pm25,4,04:00,33.87450310457565,42.712039361176664
pm25,5,05:00,34.313585481036945,42.23357062229403
pm25,6,06:00,36.48169976135309,41.89986114965544
pm25,7,07:00,35.33269170800418,41.36484018961588
pm25,8,08:00,35.313790714980435,41.67710540868618
pm25,9,09:00,33.46220690254051,39.64480445605737
pm25,10,10:00,28.847512440622186,37.9895779126421
pm25,11,11:00,25.361430049245158,34.4455278162603
pm25,12,12:00,20.72953347400459,31.34584584871928
pm25,13,13:00,18.13100466431291,27.8235593747892
pm25,14,14:00,16.312031977195982,26.657908659138954
pm25,15,15:00,13.79254530517904,20.84947621221494
pm25,16,16:00,12.266457182842654,20.69321638331001
pm25,17,17:00,12.10945456793544,13.190968060656028
pm25,18,18:00,13.856508356860719,17.892968749265663
pm25,19,19:00,18.547161006497745,27.070294613866658
pm25,20,20:00,26.294545693992944,37.68128896173002
pm25,21,21:00,28.22182326507941,44.17172961027534
pm25,22,22:00,29.267787998616985,46.05824706997936
pm25,23,23:00,29.760660328636654,42.17499067231461
