hour,mean,median,p25,p75,p95,count,day_type
0,43.096774193548384,29.0,22.0,44.0,124.8499999999998,248,Weekday
0,45.80612244897959,31.0,22.0,47.75,139.04999999999978,98,Weekend
1,39.9,26.0,19.0,42.0,116.19999999999993,250,Weekday
1,43.03092783505155,28.0,18.0,44.0,119.59999999999991,97,Weekend
2,39.69477911646587,26.0,18.0,42.0,117.19999999999999,249,Weekday
2,41.93877551020408,27.0,18.5,42.0,128.39999999999952,98,Weekend
3,40.282786885245905,26.0,18.0,42.25,127.79999999999995,244,Weekday
3,42.86734693877551,26.5,19.25,41.75,116.84999999999984,98,Weekend
4,37.242798353909464,25.0,17.0,40.0,118.39999999999986,243,Weekday
4,41.62244897959184,25.0,17.0,40.25,135.49999999999991,98,Weekend
5,38.79838709677419,25.5,17.0,40.25,135.0,248,Weekday
5,37.53061224489796,24.5,17.0,38.0,124.99999999999983,98,Weekend
6,39.386178861788615,27.0,19.0,43.0,129.0,246,Weekday
6,38.74,23.5,18.75,40.5,115.44999999999992,100,Weekend
7,40.607142857142854,29.0,19.0,46.0,118.89999999999998,252,Weekday
7,40.36363636363637,26.0,18.5,43.5,122.29999999999998,99,Weekend
8,39.41434262948207,29.0,18.0,46.0,122.5,251,Weekday
8,40.785714285714285,26.5,18.25,44.0,118.39999999999986,98,Weekend
9,38.66265060240964,28.0,19.0,46.0,104.19999999999999,249,Weekday
9,39.89795918367347,27.0,20.0,46.75,119.34999999999975,98,Weekend
10,39.17695473251029,28.0,18.0,41.0,94.59999999999991,243,Weekday
10,37.541666666666664,30.5,18.75,45.25,87.25,96,Weekend
11,36.67219917012448,27.0,17.0,39.0,89.0,241,Weekday
11,34.785714285714285,28.0,18.0,38.75,92.59999999999997,98,Weekend
12,30.42798353909465,25.0,17.0,37.0,65.89999999999998,243,Weekday
12,32.77319587628866,26.0,18.0,36.0,94.59999999999997,97,Weekend
13,29.422764227642276,25.0,16.0,34.0,60.5,246,Weekday
13,32.19387755102041,25.0,16.0,33.75,95.29999999999998,98,Weekend
14,27.473469387755102,23.0,15.0,35.0,60.0,245,Weekday
14,30.897959183673468,24.0,16.0,34.5,81.14999999999999,98,Weekend
15,27.93415637860082,23.0,15.0,35.0,64.89999999999998,243,Weekday
15,31.846938775510203,26.0,17.0,38.0,72.59999999999997,98,Weekend
16,28.4,24.0,16.0,34.0,64.39999999999995,245,Weekday
16,31.020408163265305,26.0,17.25,34.0,68.0,98,Weekend
17,30.955465587044536,25.0,18.0,37.5,76.2999999999999,247,Weekday
17,33.58,27.0,18.0,42.0,77.0,100,Weekend
18,33.89370078740158,27.0,19.0,40.0,82.09999999999997,254,Weekday
18,35.62,29.5,20.0,40.25,85.74999999999996,100,Weekend
19,38.84584980237154,30.0,21.0,42.0,106.39999999999998,253,Weekday
19,39.5,31.0,20.75,45.25,107.39999999999998,100,Weekend
20,41.757936507936506,32.5,23.0,46.0,120.49999999999989,252,Weekday
20,45.02020202020202,35.0,23.5,47.0,120.79999999999995,99,Weekend
21,44.40239043824701,35.0,21.0,49.0,144.0,251,Weekday
21,47.734693877551024,35.0,23.25,50.75,145.0,98,Weekend
22,44.48192771084337,31.0,21.0,48.0,145.19999999999996,249,Weekday
22,47.343434343434346,32.0,23.0,48.0,164.09999999999988,99,Weekend
23,43.377510040160644,30.0,21.0,46.0,138.59999999999994,249,Weekday
23,47.14141414141414,34.0,23.0,48.5,164.09999999999994,99,Weekend
