lat,lon,dist_to_major_road_m,infiltration,indoor_pm25
41.30757,69.30771,116,0.65,24.6
41.25781,69.15703,231,0.8,30.3
41.28917,69.24727,361,0.65,24.6
41.29452,69.22287,174,0.65,24.6
41.27442,69.26259,316,0.8,30.3
41.33477,69.32621,586,0.5,18.9
41.29757,69.25035,20,0.65,24.6
41.26959,69.27191,428,0.65,24.6
41.32152,69.24432,34,0.8,30.3
41.31039,69.18156,257,0.8,30.3
41.33904,69.28629,56,0.8,30.3
41.30918,69.24363,51,0.5,18.9
41.29912,69.35989,663,0.65,24.6
41.33079,69.27806,377,0.65,24.6
41.33492,69.25334,36,0.8,30.3
41.35786,69.37442,318,0.8,30.3
41.36822,69.27707,677,0.8,30.3
41.27143,69.26051,50,0.8,30.3
41.29696,69.27454,38,0.65,24.6
41.36956,69.26831,1328,0.65,24.6
41.35811,69.21074,1099,0.65,24.6
41.27655,69.20515,86,0.8,30.3
41.24605,69.21776,35,0.5,18.9
41.38949,69.28002,323,0.65,24.6
41.29416,69.24924,117,0.65,24.6
41.26428,69.22366,149,0.8,30.3
41.29017,69.25684,123,0.8,30.3
41.33265,69.33001,191,0.8,30.3
41.29489,69.22553,61,0.8,30.3
41.27923,69.30892,114,0.65,24.6
41.32099,69.25186,35,0.65,24.6
41.35853,69.23877,1010,0.5,18.9
41.36657,69.41696,47,0.8,30.3
41.31806,69.29632,26,0.8,30.3
41.29540,69.17737,65,0.8,30.3
41.30797,69.28330,129,0.8,30.3
41.37804,69.29543,51,0.8,30.3
41.34371,69.21158,22,0.8,30.3
41.34388,69.21176,22,0.8,30.3
41.32526,69.25836,49,0.65,24.6
41.32686,69.28369,41,0.8,30.3
41.35644,69.17395,326,0.65,24.6
41.29899,69.27502,82,0.65,24.6
41.29319,69.34167,851,0.8,30.3
41.32534,69.28632,284,0.65,24.6
41.29466,69.27618,92,0.65,24.6
41.31663,69.29094,51,0.8,30.3
41.40881,69.14622,4592,0.8,30.3
41.29461,69.25264,153,0.65,24.6
41.30235,69.28747,63,0.8,30.3
41.33796,69.20412,112,0.8,30.3
41.31985,69.29519,180,0.8,30.3
41.31307,69.24066,51,0.65,24.6
41.30784,69.24497,58,0.65,24.6
41.31800,69.29623,28,0.65,24.6
41.32090,69.25323,35,0.65,24.6
41.30742,69.26626,24,0.8,30.3
41.32332,69.23791,95,0.8,30.3
41.31977,69.29805,54,0.8,30.3
41.34813,69.24192,18,0.8,30.3
41.28281,69.19093,36,0.65,24.6
41.32036,69.29993,30,0.8,30.3
41.29898,69.39185,2255,0.8,30.3
41.34008,69.25151,13,0.65,24.6
41.28458,69.17882,544,0.65,24.6
41.28130,69.20243,438,0.8,30.3
41.26096,69.19582,82,0.8,30.3
41.28332,69.20189,584,0.8,30.3
41.31845,69.32172,230,0.8,30.3
41.30748,69.24518,48,0.8,30.3
41.32424,69.24448,34,0.8,30.3
41.29291,69.26500,65,0.8,30.3
41.33609,69.20129,171,0.65,24.6
41.30334,69.24753,16,0.8,30.3
41.38084,69.27358,746,0.8,30.3
41.26606,69.35623,690,0.8,30.3
41.30786,69.28348,109,0.8,30.3
41.29644,69.27376,125,0.65,24.6
41.27622,69.20503,72,0.8,30.3
41.35115,69.22212,120,0.65,24.6
41.26611,69.16923,1588,0.65,24.6
41.29485,69.21824,27,0.8,30.3
41.30678,69.24596,58,0.65,24.6
41.28371,69.18348,366,0.8,30.3
41.28691,69.34744,957,0.8,30.3
41.28691,69.34745,956,0.8,30.3
41.28698,69.34758,942,0.65,24.6
41.28708,69.34776,924,0.8,30.3
41.35971,69.20503,1419,0.8,30.3
41.30161,69.27600,67,0.8,30.3
41.31059,69.24326,28,0.8,30.3
41.34805,69.35214,175,0.65,24.6
41.33954,69.18112,1091,0.8,30.3
41.33958,69.17924,1058,0.8,30.3
41.29599,69.26756,55,0.8,30.3
41.30813,69.24510,85,0.65,24.6
41.34648,69.38345,936,0.8,30.3
41.34880,69.38336,922,0.8,30.3
41.41760,69.31166,128,0.8,30.3
41.33504,69.35201,373,0.5,18.9
41.34082,69.25012,48,0.5,18.9
