lat,lon,dist_m,nearroad_inc,outdoor_pm25,infiltration,indoor_pm25
41.30757,69.30771,116,2.31,40.2,0.65,26.1
41.25781,69.15703,231,1.07,39.0,0.8,31.2
41.28917,69.24727,361,0.45,38.4,0.65,24.9
41.29452,69.22287,174,1.57,39.5,0.65,25.7
41.27442,69.26259,316,0.61,38.5,0.8,30.8
41.33477,69.32621,586,0.10,38.0,0.5,19.0
41.29757,69.25035,20,4.38,42.3,0.65,27.5
41.26959,69.27191,428,0.29,38.2,0.65,24.8
41.32152,69.24432,34,3.99,41.9,0.8,33.5
41.31039,69.18156,257,0.90,38.8,0.8,31.0
41.33904,69.28629,56,3.44,41.3,0.8,33.1
41.30918,69.24363,51,3.56,41.5,0.5,20.7
41.29912,69.35989,663,0.06,38.0,0.65,24.7
41.33079,69.27806,377,0.40,38.3,0.65,24.9
41.33492,69.25334,36,3.93,41.8,0.8,33.5
41.35786,69.37442,318,0.60,38.5,0.8,30.8
41.36822,69.27707,677,0.05,38.0,0.8,30.4
41.27143,69.26051,50,3.58,41.5,0.8,33.2
41.29696,69.27454,38,3.88,41.8,0.65,27.2
41.36956,69.26831,1328,0.00,37.9,0.65,24.6
41.35811,69.21074,1099,0.00,37.9,0.65,24.6
41.27655,69.20515,86,2.82,40.7,0.8,32.6
41.24605,69.21776,35,3.96,41.9,0.5,20.9
41.38949,69.28002,323,0.58,38.5,0.65,25.0
41.29416,69.24924,117,2.29,40.2,0.65,26.1
41.26428,69.22366,149,1.85,39.8,0.8,31.8
41.29017,69.25684,123,2.20,40.1,0.8,32.1
41.33265,69.33001,191,1.40,39.3,0.8,31.4
41.29489,69.22553,61,3.33,41.2,0.8,33.0
41.27923,69.30892,114,2.34,40.2,0.65,26.2
41.32099,69.25186,35,3.96,41.9,0.65,27.2
41.35853,69.23877,1010,0.01,37.9,0.5,19.0
41.36657,69.41696,47,3.66,41.6,0.8,33.2
41.31806,69.29632,26,4.20,42.1,0.8,33.7
41.29540,69.17737,65,3.24,41.1,0.8,32.9
41.30797,69.28330,129,2.12,40.0,0.8,32.0
41.37804,69.29543,51,3.56,41.5,0.8,33.2
41.34371,69.21158,22,4.32,42.2,0.8,33.8
41.34388,69.21176,22,4.32,42.2,0.8,33.8
41.32526,69.25836,49,3.61,41.5,0.65,27.0
41.32686,69.28369,41,3.80,41.7,0.8,33.4
41.35644,69.17395,326,0.57,38.5,0.65,25.0
41.29899,69.27502,82,2.89,40.8,0.65,26.5
41.29319,69.34167,851,0.02,37.9,0.8,30.3
41.32534,69.28632,284,0.75,38.7,0.65,25.1
41.29466,69.27618,92,2.71,40.6,0.65,26.4
41.31663,69.29094,51,3.56,41.5,0.8,33.2
41.40881,69.14622,4592,0.00,37.9,0.8,30.3
41.29461,69.25264,153,1.80,39.7,0.65,25.8
41.30235,69.28747,63,3.29,41.2,0.8,32.9
41.33796,69.20412,112,2.37,40.3,0.8,32.2
41.31985,69.29519,180,1.51,39.4,0.8,31.5
41.31307,69.24066,51,3.56,41.5,0.65,26.9
41.30784,69.24497,58,3.40,41.3,0.65,26.8
41.31800,69.29623,28,4.15,42.0,0.65,27.3
41.32090,69.25323,35,3.96,41.9,0.65,27.2
41.30742,69.26626,24,4.26,42.2,0.8,33.7
41.32332,69.23791,95,2.65,40.6,0.8,32.4
41.31977,69.29805,54,3.49,41.4,0.8,33.1
41.34813,69.24192,18,4.43,42.3,0.8,33.9
41.28281,69.19093,36,3.93,41.8,0.65,27.2
41.32036,69.29993,30,4.09,42.0,0.8,33.6
41.29898,69.39185,2255,0.00,37.9,0.8,30.3
41.34008,69.25151,13,4.58,42.5,0.65,27.6
41.28458,69.17882,544,0.13,38.0,0.65,24.7
41.28130,69.20243,438,0.27,38.2,0.8,30.5
41.26096,69.19582,82,2.89,40.8,0.8,32.6
41.28332,69.20189,584,0.10,38.0,0.8,30.4
41.31845,69.32172,230,1.08,39.0,0.8,31.2
41.30748,69.24518,48,3.63,41.5,0.8,33.2
41.32424,69.24448,34,3.99,41.9,0.8,33.5
41.29291,69.26500,65,3.24,41.1,0.8,32.9
41.33609,69.20129,171,1.60,39.5,0.65,25.7
41.30334,69.24753,16,4.49,42.4,0.8,33.9
41.38084,69.27358,746,0.03,37.9,0.8,30.3
41.26606,69.35623,690,0.05,38.0,0.8,30.4
41.30786,69.28348,109,2.42,40.3,0.8,32.3
41.29644,69.27376,125,2.17,40.1,0.65,26.0
41.27622,69.20503,72,3.09,41.0,0.8,32.8
41.35115,69.22212,120,2.25,40.1,0.65,26.1
41.26611,69.16923,1588,0.00,37.9,0.65,24.6
41.29485,69.21824,27,4.18,42.1,0.8,33.7
41.30678,69.24596,58,3.40,41.3,0.65,26.8
41.28371,69.18348,366,0.44,38.3,0.8,30.7
41.28691,69.34744,957,0.01,37.9,0.8,30.3
41.28691,69.34745,956,0.01,37.9,0.8,30.3
41.28698,69.34758,942,0.01,37.9,0.65,24.6
41.28708,69.34776,924,0.01,37.9,0.8,30.3
41.35971,69.20503,1419,0.00,37.9,0.8,30.3
41.30161,69.27600,67,3.20,41.1,0.8,32.9
41.31059,69.24326,28,4.15,42.0,0.8,33.6
41.34805,69.35214,175,1.56,39.5,0.65,25.6
41.33954,69.18112,1091,0.00,37.9,0.8,30.3
41.33958,69.17924,1058,0.00,37.9,0.8,30.3
41.29599,69.26756,55,3.47,41.4,0.8,33.1
41.30813,69.24510,85,2.84,40.7,0.65,26.5
41.34648,69.38345,936,0.01,37.9,0.8,30.3
41.34880,69.38336,922,0.01,37.9,0.8,30.3
41.41760,69.31166,128,2.13,40.0,0.8,32.0
41.33504,69.35201,373,0.42,38.3,0.5,19.2
41.34082,69.25012,48,3.63,41.5,0.5,20.8
41.34405,69.22540,322,0.58,38.5,0.65,25.0
41.33912,69.22322,51,3.56,41.5,0.8,33.2
41.29736,69.25043,21,4.35,42.2,0.5,21.1
41.32862,69.25724,410,0.33,38.2,0.65,24.8
41.32353,69.25676,80,2.93,40.8,0.65,26.5
41.31884,69.35742,77,2.99,40.9,0.8,32.7
41.31627,69.21703,573,0.11,38.0,0.8,30.4
41.34288,69.16954,401,0.35,38.2,0.8,30.6
41.33276,69.32244,695,0.05,37.9,0.5,19.0
41.34106,69.24929,50,3.58,41.5,0.8,33.2
41.28860,69.21334,393,0.36,38.3,0.8,30.6
41.28773,69.21269,372,0.42,38.3,0.8,30.7
41.30658,69.27317,456,0.24,38.1,0.8,30.5
41.29397,69.33719,1027,0.01,37.9,0.8,30.3
41.33632,69.21720,254,0.92,38.8,0.65,25.2
41.29578,69.26166,329,0.56,38.5,0.65,25.0
41.23479,69.21566,53,3.51,41.4,0.65,26.9
41.23406,69.21614,56,3.44,41.3,0.8,33.1
41.31841,69.28815,234,1.05,39.0,0.65,25.3
41.32874,69.25724,423,0.30,38.2,0.8,30.6
41.33616,69.24934,387,0.38,38.3,0.65,24.9
41.33064,69.26441,355,0.47,38.4,0.8,30.7
41.32824,69.29181,478,0.21,38.1,0.8,30.5
41.32561,69.30280,507,0.17,38.1,0.8,30.5
41.29501,69.25317,204,1.28,39.2,0.8,31.3
41.29291,69.22018,87,2.80,40.7,0.8,32.6
41.29471,69.22044,60,3.35,41.3,0.8,33.0
41.25037,69.30734,677,0.05,38.0,0.8,30.4
41.25036,69.30871,674,0.06,38.0,0.8,30.4
41.24729,69.29867,332,0.55,38.4,0.8,30.8
41.30419,69.27387,359,0.46,38.4,0.5,19.2
41.28368,69.35086,787,0.03,37.9,0.8,30.3
41.24677,69.30541,276,0.79,38.7,0.8,31.0
41.35051,69.34335,488,0.19,38.1,0.8,30.5
41.17747,69.24733,1245,0.00,37.9,0.8,30.3
41.29618,69.27847,151,1.83,39.7,0.5,19.9
41.29296,69.36583,673,0.06,38.0,0.8,30.4
41.29454,69.34648,481,0.20,38.1,0.65,24.8
41.29497,69.34470,538,0.14,38.0,0.8,30.4
41.30874,69.23502,274,0.80,38.7,0.8,31.0
41.30831,69.23610,172,1.59,39.5,0.8,31.6
41.36936,69.20893,1140,0.00,37.9,0.5,19.0
41.36947,69.21899,504,0.17,38.1,0.8,30.5
41.36811,69.19837,681,0.05,38.0,0.8,30.4
41.28196,69.28908,880,0.01,37.9,0.8,30.3
41.36451,69.23207,566,0.11,38.0,0.8,30.4
41.36399,69.23121,496,0.18,38.1,0.8,30.5
41.36424,69.23173,539,0.14,38.0,0.8,30.4
41.33130,69.32781,242,1.00,38.9,0.8,31.1
41.27480,69.34558,1349,0.00,37.9,0.65,24.6
41.27583,69.35505,548,0.13,38.0,0.65,24.7
41.27037,69.29447,1363,0.00,37.9,0.8,30.3
41.27460,69.29794,876,0.01,37.9,0.8,30.3
41.37926,69.30385,528,0.15,38.0,0.8,30.4
41.36371,69.27886,320,0.59,38.5,0.65,25.0
41.30121,69.30949,367,0.43,38.3,0.8,30.7
41.28638,69.35529,384,0.39,38.3,0.65,24.9
41.29165,69.36342,425,0.29,38.2,0.65,24.8
41.33286,69.16855,452,0.25,38.1,0.65,24.8
41.33965,69.18099,1079,0.00,37.9,0.8,30.3
41.33815,69.17057,513,0.16,38.1,0.5,19.0
41.33979,69.17899,1030,0.01,37.9,0.8,30.3
41.31056,69.32376,500,0.18,38.1,0.8,30.5
41.26545,69.14974,211,1.22,39.1,0.8,31.3
41.26694,69.15526,679,0.05,38.0,0.8,30.4
41.26046,69.15356,244,0.98,38.9,0.65,25.3
41.27756,69.16665,1624,0.00,37.9,0.65,24.6
41.31878,69.22963,71,3.11,41.0,0.8,32.8
41.37961,69.28471,365,0.44,38.3,0.5,19.2
41.34782,69.38780,1192,0.00,37.9,0.8,30.3
41.34756,69.38498,1109,0.00,37.9,0.8,30.3
41.30550,69.21161,289,0.73,38.6,0.8,30.9
41.30284,69.21653,502,0.18,38.1,0.5,19.0
41.28615,69.19788,276,0.79,38.7,0.8,31.0
41.30324,69.20695,156,1.77,39.7,0.8,31.7
41.26199,69.22609,87,2.80,40.7,0.8,32.6
41.28231,69.27548,67,3.20,41.1,0.5,20.5
41.27632,69.21832,794,0.03,37.9,0.65,24.7
41.28662,69.30467,91,2.73,40.6,0.65,26.4
41.32321,69.31788,63,3.29,41.2,0.65,26.8
41.29981,69.22850,201,1.31,39.2,0.65,25.5
41.25966,69.32129,215,1.19,39.1,0.8,31.3
41.28604,69.34223,1367,0.00,37.9,0.8,30.3
41.28487,69.34029,1574,0.00,37.9,0.65,24.6
41.33314,69.30394,64,3.26,41.2,0.65,26.8
41.22096,69.33315,83,2.88,40.8,0.8,32.6
41.28121,69.34718,1126,0.00,37.9,0.8,30.3
41.34655,69.24523,163,1.69,39.6,0.65,25.7
41.29248,69.32990,1392,0.00,37.9,0.8,30.3
41.29430,69.34244,715,0.04,37.9,0.5,19.0
41.28052,69.18735,424,0.30,38.2,0.8,30.6
