lat,lon,dist_m,outdoor_pm25,infiltration,indoor_pm25
38.56093,68.79782,226,54.4,0.65,35.4
38.51488,68.75688,424,53.6,0.8,42.9
38.56126,68.74240,83,56.2,0.65,36.5
38.56068,68.74289,125,55.5,0.65,36.1
38.55523,68.75052,348,53.8,0.8,43.0
38.56054,68.80235,276,54.1,0.5,27.0
38.53609,68.75871,268,54.1,0.65,35.2
38.56556,68.78707,267,54.1,0.65,35.2
38.54770,68.76122,52,56.8,0.8,45.5
38.57606,68.79220,491,53.5,0.8,42.8
38.57431,68.79099,309,53.9,0.8,43.1
38.58278,68.71164,237,54.3,0.5,27.2
38.58640,68.72625,489,53.5,0.65,34.8
38.58758,68.72293,636,53.4,0.65,34.7
38.56461,68.79392,165,55.0,0.8,44.0
38.56589,68.79872,218,54.5,0.8,43.6
38.57192,68.79404,340,53.8,0.8,43.1
38.57766,68.73024,499,53.5,0.8,42.8
38.55504,68.84841,177,54.8,0.65,35.6
38.53794,68.75152,885,53.3,0.65,34.7
38.58647,68.72646,495,53.5,0.65,34.8
38.58805,68.78381,249,54.3,0.8,43.4
38.60482,68.78727,29,57.4,0.5,28.7
38.60744,68.78452,202,54.6,0.65,35.5
38.59033,68.79007,285,54.0,0.65,35.1
38.58807,68.79622,822,53.3,0.8,42.7
38.57970,68.79635,848,53.3,0.8,42.7
38.58795,68.74588,464,53.5,0.8,42.8
38.56295,68.74074,20,57.7,0.8,46.1
38.57782,68.73371,516,53.5,0.65,34.7
38.56045,68.82091,200,54.6,0.65,35.5
38.55856,68.79597,484,53.5,0.5,26.7
38.55838,68.79751,508,53.5,0.8,42.8
38.58117,68.79389,633,53.4,0.8,42.7
38.50888,68.73517,564,53.4,0.8,42.7
38.53151,68.74791,794,53.3,0.8,42.7
38.52790,68.76503,254,54.2,0.8,43.4
38.52968,68.76644,376,53.7,0.8,43.0
38.53021,68.76508,257,54.2,0.8,43.4
38.52975,68.74989,1036,53.3,0.65,34.6
38.56585,68.82243,367,53.7,0.8,43.0
38.58007,68.74789,414,53.6,0.65,34.9
38.57116,68.73007,945,53.3,0.65,34.7
38.56884,68.80642,640,53.4,0.8,42.7
38.56826,68.75896,1088,53.3,0.65,34.6
38.57986,68.74794,437,53.6,0.65,34.8
38.60895,68.78537,108,55.7,0.8,44.6
38.56928,68.76188,1169,53.3,0.8,42.6
38.56980,68.75083,834,53.3,0.65,34.7
38.57377,68.80260,1042,53.3,0.8,42.6
38.57435,68.75555,1109,53.3,0.8,42.6
38.57595,68.79195,469,53.5,0.8,42.8
38.55165,68.81610,1254,53.3,0.65,34.6
38.59498,68.78559,100,55.9,0.65,36.3
38.52824,68.72007,462,53.5,0.65,34.8
38.53594,68.74366,207,54.6,0.65,35.5
38.52054,68.73064,766,53.3,0.8,42.7
38.57200,68.72266,1046,53.3,0.8,42.6
38.56052,68.72455,1428,53.3,0.8,42.6
38.60908,68.79008,280,54.1,0.8,43.3
38.57214,68.79960,726,53.3,0.65,34.7
38.56014,68.76641,85,56.1,0.8,44.9
38.56326,68.79670,27,57.5,0.8,46.0
38.58432,68.74658,55,56.8,0.65,36.9
38.58005,68.79347,597,53.4,0.65,34.7
38.57819,68.79903,1083,53.3,0.8,42.6
38.57573,68.80042,1039,53.3,0.8,42.6
38.57199,68.79503,411,53.6,0.8,42.9
38.56323,68.82994,440,53.6,0.8,42.9
38.56782,68.83072,931,53.3,0.8,42.6
38.56516,68.80093,230,54.4,0.8,43.5
38.56484,68.81524,196,54.7,0.8,43.7
38.58280,68.78365,26,57.5,0.65,37.4
38.52387,68.75362,710,53.3,0.8,42.7
38.51557,68.75008,1016,53.3,0.8,42.6
38.51587,68.74858,1147,53.3,0.8,42.6
38.51489,68.74840,1163,53.3,0.8,42.6
38.51397,68.74895,1115,53.3,0.65,34.6
38.52050,68.74195,1332,53.3,0.8,42.6
38.52308,68.74624,1325,53.3,0.65,34.6
38.52142,68.76969,662,53.4,0.65,34.7
38.52025,68.76806,520,53.5,0.8,42.8
38.52087,68.76586,328,53.9,0.65,35.0
38.51444,68.76569,316,53.9,0.8,43.1
38.51569,68.76727,453,53.5,0.8,42.8
38.58476,68.72037,367,53.7,0.8,43.0
38.58401,68.71656,323,53.9,0.65,35.0
38.58772,68.73595,540,53.4,0.8,42.7
38.58805,68.72319,686,53.4,0.8,42.7
38.59588,68.75174,1282,53.3,0.8,42.6
38.52780,68.76657,388,53.7,0.8,42.9
38.52845,68.76629,363,53.7,0.65,34.9
38.52867,68.76569,311,53.9,0.8,43.1
38.56137,68.76371,277,54.1,0.8,43.3
38.56178,68.75246,365,53.7,0.8,43.0
38.55613,68.74431,250,54.2,0.65,35.3
38.55390,68.74479,295,54.0,0.8,43.2
38.57269,68.79033,148,55.2,0.8,44.1
38.58223,68.78453,86,56.1,0.8,44.9
38.52253,68.76683,412,53.6,0.5,26.8
38.58767,68.74578,434,53.6,0.5,26.8
38.52338,68.76500,253,54.2,0.65,35.2
38.52017,68.76781,499,53.5,0.8,42.8
38.58532,68.75648,100,55.9,0.5,27.9
38.51591,68.74856,1149,53.3,0.65,34.6
38.51553,68.75017,1009,53.3,0.65,34.6
38.51981,68.76500,254,54.2,0.8,43.4
38.56367,68.74467,287,54.0,0.8,43.2
38.58049,68.74563,344,53.8,0.8,43.0
38.58033,68.74540,358,53.8,0.5,26.9
38.58042,68.74743,370,53.7,0.8,43.0
38.58062,68.74544,328,53.9,0.8,43.1
38.56650,68.75716,893,53.3,0.8,42.7
38.56333,68.76255,514,53.5,0.8,42.8
38.56341,68.76238,525,53.5,0.8,42.8
38.58766,68.73163,575,53.4,0.65,34.7
38.52993,68.76490,242,54.3,0.65,35.3
38.53180,68.76495,246,54.3,0.65,35.3
38.52605,68.76509,260,54.2,0.8,43.3
38.52791,68.76502,254,54.2,0.65,35.2
38.59202,68.77865,701,53.3,0.8,42.7
38.57242,68.75050,805,53.3,0.65,34.7
38.59286,68.75348,933,53.3,0.8,42.6
38.60340,68.78624,50,56.9,0.8,45.5
38.60512,68.78735,36,57.2,0.8,45.8
38.55466,68.76793,497,53.5,0.8,42.8
38.57098,68.73791,262,54.2,0.8,43.3
38.57065,68.73690,351,53.8,0.8,43.0
38.57047,68.73790,263,54.2,0.8,43.3
38.61700,68.78224,67,56.5,0.8,45.2
38.57129,68.72700,1151,53.3,0.8,42.6
38.53004,68.74617,792,53.3,0.5,26.7
38.51375,68.74897,1113,53.3,0.8,42.6
38.51569,68.76763,483,53.5,0.8,42.8
38.51527,68.73901,1136,53.3,0.8,42.6
38.56702,68.75891,950,53.3,0.8,42.6
38.55011,68.79916,1432,53.3,0.5,26.7
38.54023,68.79976,2533,53.3,0.8,42.6
38.59212,68.75058,876,53.3,0.65,34.7
38.53107,68.75761,364,53.7,0.8,43.0
38.55970,68.75727,135,55.3,0.8,44.3
38.51175,68.73788,856,53.3,0.8,42.7
38.57988,68.73773,276,54.1,0.5,27.0
38.55251,68.77293,870,53.3,0.8,42.7
38.58392,68.71653,313,53.9,0.8,43.1
38.58468,68.72066,356,53.8,0.8,43.0
38.56525,68.78339,315,53.9,0.8,43.1
38.59410,68.75483,1067,53.3,0.8,42.6
38.58770,68.73682,523,53.5,0.8,42.8
38.58898,68.73763,652,53.4,0.8,42.7
38.51410,68.76606,347,53.8,0.65,35.0
38.52114,68.75240,816,53.3,0.65,34.7
38.52137,68.75228,826,53.3,0.8,42.7
38.52067,68.74219,1328,53.3,0.8,42.6
38.52806,68.76665,395,53.7,0.8,42.9
38.52083,68.76549,296,54.0,0.65,35.1
38.54938,68.74461,281,54.1,0.8,43.3
38.56074,68.75970,250,54.2,0.65,35.3
38.57279,68.73313,677,53.4,0.65,34.7
38.55247,68.84532,112,55.7,0.65,36.2
38.52092,68.75264,795,53.3,0.8,42.7
