lat,lon,annual_pm25,n_hours
41.16,69.13,20.98,7915
41.16,69.21,20.98,7915
41.16,69.29,20.98,7915
41.16,69.37,20.98,7915
41.16,69.44,13.75,7915
41.22,69.13,20.98,7915
41.22,69.21,20.98,7915
41.22,69.29,20.98,7915
41.22,69.37,20.98,7915
41.22,69.44,13.75,7915
41.28,69.13,20.98,7915
41.28,69.21,20.98,7915
41.28,69.29,20.98,7915
41.28,69.37,20.98,7915
41.28,69.44,13.75,7915
41.34,69.13,20.98,7915
41.34,69.21,20.98,7915
41.34,69.29,20.98,7915
41.34,69.37,20.98,7915
41.34,69.44,13.75,7915
41.4,69.13,20.98,7915
41.4,69.21,20.98,7915
41.4,69.29,20.98,7915
41.4,69.37,20.98,7915
41.4,69.44,13.75,7915
